ブランド,フレーバー名,価格,詳細URL
不明,デクラウド サワーアップル&キウイ,990,https://www.aslaj.com/view/item/000000002207?category_page_id=ct6
不明,デクラウド アイス,990,https://www.aslaj.com/view/item/000000002206?category_page_id=ct6
不明,デクラウド ザクロパッション,990,https://www.aslaj.com/view/item/000000002203?category_page_id=ct6
不明,デクラウド シナモン,990,https://www.aslaj.com/view/item/000000002200?category_page_id=ct6
不明,デクラウド スイートポテト,990,https://www.aslaj.com/view/item/000000002199?category_page_id=ct6
DARKSIDE シーシャフレーバー,KASHMIR GOA JAVA(カシミールゴアジャバ),4400,https://www.aslaj.com/view/item/000000002192?category_page_id=ct6
DARKSIDE シーシャフレーバー,WAFFLE SHUFFLE(ワッフルシャッフル),4400,https://www.aslaj.com/view/item/000000002191?category_page_id=ct6
DARKSIDE シーシャフレーバー,POLAR CREAM(ポーラクリーム),4400,https://www.aslaj.com/view/item/000000002190?category_page_id=ct6
DARKSIDE シーシャフレーバー,PEAR(ペア),4400,https://www.aslaj.com/view/item/000000002189?category_page_id=ct6
DARKSIDE シーシャフレーバー,GLITCH ICE TEA(グリッチアイスティー),4400,https://www.aslaj.com/view/item/000000002188?category_page_id=ct6
DARKSIDE シーシャフレーバー,CODE CHERRY(コードチェリー),4400,https://www.aslaj.com/view/item/000000002187?category_page_id=ct6
DARKSIDE シーシャフレーバー,BLACKCURRANT(ブラックカラント),4400,https://www.aslaj.com/view/item/000000002186?category_page_id=ct6
DARKSIDE シーシャフレーバー,BASSBERRY(バスベリー),4400,https://www.aslaj.com/view/item/000000002185?category_page_id=ct6
REVOSHI(レボシ) シーシャフレーバー 50ｇ,Eskimo Lemon(エスキモレモン),1750,https://www.aslaj.com/view/item/000000002169?category_page_id=ct6
JiBiAR(ジビアール) シーシャフレーバー 50ｇ,BLUE BERRY(ブルーベリー),1750,https://www.aslaj.com/view/item/000000002167?category_page_id=ct6
JiBiAR(ジビアール) シーシャフレーバー 50ｇ,VANILLA LATTE(バニララテ),1750,https://www.aslaj.com/view/item/000000002166?category_page_id=ct6
Starline シーシャフレーバー 50g,STRAWBERRY MILLEFEUILLE(ストロベリーミルフィーユ),1850,https://www.aslaj.com/view/item/000000002148?category_page_id=ct6
Starline シーシャフレーバー 50g,PAPAYA(パパイヤ),1850,https://www.aslaj.com/view/item/000000002147?category_page_id=ct6
Starline シーシャフレーバー 50g,ORANGINA(オランジーナ),1850,https://www.aslaj.com/view/item/000000002146?category_page_id=ct6
Starline シーシャフレーバー 50g,NECTARINE(ネクタリン),1850,https://www.aslaj.com/view/item/000000002145?category_page_id=ct6
Starline シーシャフレーバー 50g,LEMON FIZZ(レモンフィズ),1850,https://www.aslaj.com/view/item/000000002144?category_page_id=ct6
Starline シーシャフレーバー 50g,FREE CUBA(フリーキューバ),1850,https://www.aslaj.com/view/item/000000002143?category_page_id=ct6
Starline シーシャフレーバー 50g,BLUEBERRY CRUMBLE(ブルーベリークランブル),1850,https://www.aslaj.com/view/item/000000002142?category_page_id=ct6
Starline シーシャフレーバー 50g,BERRY POPCORN(ベリーポップコーン),1850,https://www.aslaj.com/view/item/000000002141?category_page_id=ct6
Starline シーシャフレーバー 50g,BELGIAN WAFFLE(ベルギアンワッフル),1850,https://www.aslaj.com/view/item/000000002140?category_page_id=ct6
Starline シーシャフレーバー 50g,APPLE JUICE(アップルジュース),1850,https://www.aslaj.com/view/item/000000002139?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,トロピックラブ,1200,https://www.aslaj.com/view/item/000000002137?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,タンジェリンストロベリーライチ,1200,https://www.aslaj.com/view/item/000000002136?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,ストロベリーモヒート,1200,https://www.aslaj.com/view/item/000000002135?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,ラズベリーブラックベリー,1200,https://www.aslaj.com/view/item/000000002133?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,ピーチライム,1200,https://www.aslaj.com/view/item/000000002131?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,レモンミント,1200,https://www.aslaj.com/view/item/000000002128?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,アイスボンボン,1200,https://www.aslaj.com/view/item/000000002126?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,クレメンタインチェリー,1200,https://www.aslaj.com/view/item/000000002122?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,ブースターアイス,1200,https://www.aslaj.com/view/item/000000002120?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,ポッピーロール,1200,https://www.aslaj.com/view/item/000000002117?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,ポメロ,1200,https://www.aslaj.com/view/item/000000002116?category_page_id=ct6
CHABA(チャバ) シーシャフレーバー 50ｇ,メリッサ & ベリーズ,1200,https://www.aslaj.com/view/item/000000002114?category_page_id=ct6
