source_site,source_type,article_id,article_url,article_title,target_brand,target_flavor_raw,target_flavor_normalized,table_index,row_index,cell_index,header_cell_text,source_heading,source_text,recommended_flavor_raw,recommended_flavor_normalized,directed_pair_key,mix_pair_key,extraction_status,exclusion_reason,is_valid_pair,is_self_pair,is_duplicate_pair
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,1,フルーツ系,Al Fakherスイカのおすすめミックス,レモン/オレンジ ライム/グアバ メロン/マンゴー,レモン,レモン,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,1,フルーツ系,Al Fakherスイカのおすすめミックス,レモン/オレンジ ライム/グアバ メロン/マンゴー,オレンジ,オレンジ,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,1,フルーツ系,Al Fakherスイカのおすすめミックス,レモン/オレンジ ライム/グアバ メロン/マンゴー,ライム,ライム,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,1,フルーツ系,Al Fakherスイカのおすすめミックス,レモン/オレンジ ライム/グアバ メロン/マンゴー,グアバ,グアバ,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,1,フルーツ系,Al Fakherスイカのおすすめミックス,レモン/オレンジ ライム/グアバ メロン/マンゴー,メロン,メロン,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,1,フルーツ系,Al Fakherスイカのおすすめミックス,レモン/オレンジ ライム/グアバ メロン/マンゴー,マンゴー,マンゴー,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,2,スイーツ系,Al Fakherスイカのおすすめミックス,バニラ チョコレート,バニラ,バニラ,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,2,スイーツ系,Al Fakherスイカのおすすめミックス,バニラ チョコレート,チョコレート,チョコレート,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,3,スパイス系,Al Fakherスイカのおすすめミックス,カルダモン シナモン,カルダモン,カルダモン,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,,3,2,3,スパイス系,Al Fakherスイカのおすすめミックス,カルダモン シナモン,シナモン,シナモン,,,unresolved,target_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,Al Fakherココナッツのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,ココナッツ,ココナッツ,3,2,1,フルーツ系,Al Fakherココナッツのおすすめミックス,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,ピーチ,ピーチ,ココナッツ -> ピーチ,ココナッツ||ピーチ,ok,,True,False,False
shisha_lagos,editorial_review,lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,Al Fakherココナッツのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,ココナッツ,ココナッツ,3,2,1,フルーツ系,Al Fakherココナッツのおすすめミックス,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,マンゴー,マンゴー,ココナッツ -> マンゴー,ココナッツ||マンゴー,ok,,True,False,False
shisha_lagos,editorial_review,lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,Al Fakherココナッツのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,ココナッツ,ココナッツ,3,2,1,フルーツ系,Al Fakherココナッツのおすすめミックス,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,パイン,,,,unresolved,recommended_flavor_unregistered,False,False,False
shisha_lagos,editorial_review,lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,Al Fakherココナッツのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,ココナッツ,ココナッツ,3,2,1,フルーツ系,Al Fakherココナッツのおすすめミックス,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,ライチ,ライチ,ココナッツ -> ライチ,ココナッツ||ライチ,ok,,True,False,False
shisha_lagos,editorial_review,lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,Al Fakherココナッツのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,ココナッツ,ココナッツ,3,2,1,フルーツ系,Al Fakherココナッツのおすすめミックス,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,ストロベリー,ストロベリー,ココナッツ -> ストロベリー,ココナッツ||ストロベリー,ok,,True,False,False
