article_id,article_url,table_index,row_index,cell_index,section_heading,cell_text,is_recommended_mix_section
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,1,1,1,Al Fakherスイカの特徴,温度,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,1,1,2,Al Fakherスイカの特徴,味の変化,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,1,2,1,Al Fakherスイカの特徴,中低温,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,1,2,2,Al Fakherスイカの特徴,瓜っぽさ/スイカの白い部分の味/ややゴム臭,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,1,3,1,Al Fakherスイカの特徴,高温,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,1,3,2,Al Fakherスイカの特徴,やや瓜っぽさ/果肉に近い甘み,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,2,1,1,Al Fakherスイカの重さは?,とても重い,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,2,1,2,Al Fakherスイカの重さは?,ミント/ツーアップル,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,2,2,1,Al Fakherスイカの重さは?,かなり重い,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,2,2,2,Al Fakherスイカの重さは?,グレープフルーツ/グレナデン スイカ /メロン/レモン,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,2,3,1,Al Fakherスイカの重さは?,やや重い,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,2,3,2,Al Fakherスイカの重さは?,ブルーベリー/ストロベリー/キウイ オレンジ/ピーチ マンゴー/グアバ/グレープ/ローズ,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,2,4,1,Al Fakherスイカの重さは?,重い,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,2,4,2,Al Fakherスイカの重さは?,ココナッツ/バニラ/カルダモン チョコレート/カプチーノ,False
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,3,1,1,Al Fakherスイカのおすすめミックス,フルーツ系,True
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,3,1,2,Al Fakherスイカのおすすめミックス,スイーツ系,True
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,3,1,3,Al Fakherスイカのおすすめミックス,スパイス系,True
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,3,2,1,Al Fakherスイカのおすすめミックス,レモン/オレンジ ライム/グアバ メロン/マンゴー,True
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,3,2,2,Al Fakherスイカのおすすめミックス,バニラ チョコレート,True
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,3,2,3,Al Fakherスイカのおすすめミックス,カルダモン シナモン,True
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,1,1,1,Al Fakherココナッツの特徴,温度,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,1,1,2,Al Fakherココナッツの特徴,味の変化,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,1,2,1,Al Fakherココナッツの特徴,中低温,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,1,2,2,Al Fakherココナッツの特徴,渋み/ほのかな甘み,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,1,3,1,Al Fakherココナッツの特徴,高温,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,1,3,2,Al Fakherココナッツの特徴,渋みを伴う甘み/皮っぽさ,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,2,1,1,Al Fakherココナッツの重さは?,とても重い,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,2,1,2,Al Fakherココナッツの重さは?,ミント/ツーアップル,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,2,2,1,Al Fakherココナッツの重さは?,かなり重い,False
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,2,2,2,Al Fakherココナッツの重さは?,グレープフルーツ/グレナデン スイカ/メロン/レモン,False
