rank_overall,flavor_a,flavor_b,pair_count,support,lift,overall_score_v2,ranking_tier,pair_key
2,グレープ,ミント,7,0.0897435897435897,3.25,0.4360498497010558,Tier1,グレープ||ミント
4,ライム,レモン,5,0.0641025641025641,3.046875,0.4258825934426249,Tier1,ライム||レモン
5,コニャック,バニラ,5,0.0641025641025641,5.0,0.2967720142235994,Tier1,コニャック||バニラ
6,アイス,ミント,3,0.0384615384615384,1.95,0.2812545442844642,Tier1,アイス||ミント
7,ベリー,レモン,3,0.0384615384615384,1.625,0.2631858232969137,Tier1,ベリー||レモン
14,グレープ,ベリー,3,0.0384615384615384,3.7142857142857135,0.211944055859584,Tier1,グレープ||ベリー
15,グアバ,レモン,3,0.0384615384615384,1.21875,0.2007295584577749,Tier1,グアバ||レモン
18,ライチ,レモン,3,0.0384615384615384,1.828125,0.1688135384857892,Tier1,ライチ||レモン
19,ベリー,ミント,3,0.0384615384615384,1.0833333333333333,0.1619038908911224,Tier2,ベリー||ミント
21,ダブルアップル,リコリス,3,0.0384615384615384,13.0,0.143368523685663,Tier2,ダブルアップル||リコリス
24,ダブルアップル,ミント,2,0.0256410256410256,1.0833333333333333,0.1071679957633504,Tier2,ダブルアップル||ミント
25,ガムシナモン,バブルガム,2,0.0256410256410256,39.0,0.1,Tier2,ガムシナモン||バブルガム
27,グレープフルーツ,ライム,3,0.0384615384615384,2.4375,0.0971252344253596,Tier2,グレープフルーツ||ライム
28,バナナ,ミルク,3,0.0384615384615384,3.5454545454545454,0.0970121015799948,Tier2,バナナ||ミルク
29,ツーアップル,リコリス,2,0.0256410256410256,26.0,0.0876420955037684,Tier2,ツーアップル||リコリス
30,カルダモン,レモン,2,0.0256410256410256,2.4375,0.0721117081310584,Tier2,カルダモン||レモン
32,グアバ,ダブルアップル,2,0.0256410256410256,2.1666666666666665,0.06212818481135,Tier2,グアバ||ダブルアップル
33,ダブルアップル,ツーアップル,2,0.0256410256410256,13.0,0.0599325560545692,Tier2,ダブルアップル||ツーアップル
34,グアバ,リコリス,2,0.0256410256410256,4.333333333333333,0.0528259943892363,Tier2,グアバ||リコリス
36,グアバ,ベリー,2,0.0256410256410256,1.4444444444444444,0.0519275142490101,Tier2,グアバ||ベリー
37,グアバ,パイナップル,2,0.0256410256410256,3.25,0.0513311441347147,Tier2,グアバ||パイナップル
38,ジャスミン,ダブルアップル,2,0.0256410256410256,8.666666666666666,0.049089017127735,Tier2,ジャスミン||ダブルアップル
39,グアバ,パッションフルーツ,2,0.0256410256410256,1.8571428571428568,0.0478732726760767,Tier2,グアバ||パッションフルーツ
40,ゴールデンデリシャスアップル,ダブルアップル,2,0.0256410256410256,8.666666666666666,0.0464511891689697,Tier2,ゴールデンデリシャスアップル||ダブルアップル
41,カルダモン,チェリー,2,0.0256410256410256,9.75,0.036219257306243,Tier2,カルダモン||チェリー
42,キウイ,ピーチ,2,0.0256410256410256,8.666666666666666,0.0288421813665403,Tier2,キウイ||ピーチ
43,ハニー,ミルク,2,0.0256410256410256,3.5454545454545454,0.0285616611852263,Tier2,ハニー||ミルク
44,ココナッツ,ハニー,2,0.0256410256410256,6.5,0.0279434852631947,Tier2,ココナッツ||ハニー
45,グレープフルーツ,ライチ,2,0.0256410256410256,1.625,0.0269130026042732,Tier2,グレープフルーツ||ライチ
46,シガー,チョコレート,2,0.0256410256410256,6.24,0.0247317907130304,Tier2,シガー||チョコレート
47,オレンジ,ベリー,2,0.0256410256410256,1.7333333333333334,0.0205178480746757,Tier2,オレンジ||ベリー
49,アイス,ライチ,2,0.0256410256410256,3.9,0.015872684686382,Tier2,アイス||ライチ
50,アイス,オレンジ,2,0.0256410256410256,3.12,0.0158500791779558,Tier2,アイス||オレンジ
