flavor,degree,weighted_degree,betweenness_centrality,weighted_betweenness_centrality,cooccurrence_pair_count,total_cooccurrence_count
ミルク,29,61.0,0.10050283594545345,0.2912926601215521,29,61.0
ミント,29,54.0,0.06620306841041365,0.22714506482038047,29,54.0
バニラ,32,55.0,0.12056617991442889,0.22413900576593426,32,55.0
ハニー,23,38.0,0.10851813465648937,0.15715287517531554,23,38.0
アールグレイ,19,29.0,0.07353003899373212,0.09969092514674563,19,29.0
オレンジ,25,35.0,0.05670662042231262,0.09141844208464128,25,35.0
ベリー,22,30.0,0.05886139856861382,0.0717741935483871,22,30.0
レモン,27,40.0,0.10052229666954382,0.07160472183263207,27,40.0
メロン,14,27.0,0.014655630116627147,0.059315100514259,14,27.0
グレープ,15,26.0,0.015647432535494624,0.05868303687378021,15,26.0
ココナッツ,14,21.0,0.040900302926991254,0.058161913666822496,14,21.0
バナナ,22,35.0,0.043616305330613246,0.04482067721899419,22,35.0
アプリコット,6,6.0,0.04254324450677887,0.04254324450677887,6,6.0
グアバ,20,24.0,0.04620096522888564,0.038012403808336495,20,24.0
ブルーベリー,18,24.0,0.03697425129393855,0.0361812373383201,18,24.0
ジャスミン,16,16.0,0.05441024208711468,0.03344149098006041,16,16.0
マンゴー,23,26.0,0.06282163161236945,0.031554019457245265,23,26.0
シナモン,17,21.0,0.025536665582943482,0.03030176539994212,17,21.0
パイナップル,9,10.0,0.033282875934396106,0.026790445023264095,9,10.0
グレープフルーツ,14,18.0,0.026808742540159296,0.024700015583606048,14,18.0
シガー,13,13.0,0.03864203302319739,0.02379319812699897,13,13.0
カルダモン,11,13.0,0.020646339102970482,0.02359218816091187,11,13.0
コーラ,7,7.0,0.021971369211008406,0.021505376344086023,7,7.0
ベルガモットティー,4,4.0,0.021505376344086023,0.021505376344086023,4,4.0
ピーナッツバター,2,2.0,0.021505376344086023,0.021505376344086023,2,2.0
ペア,12,14.0,0.011544864500376445,0.017764012259103422,12,14.0
ライム,17,21.0,0.025848081426338106,0.014375783818280313,17,21.0
キャラメル,14,20.0,0.04093112725187696,0.011600046750818138,14,20.0
ミントクリーム,10,11.0,0.01973075555156515,0.010822814399251986,10,11.0
チェリー,10,11.0,0.016847822625228083,0.00978093902357577,10,11.0
ライチ,17,20.0,0.031585169189276105,0.007876770779996586,17,20.0
ダブルアップル,11,11.0,0.014318554599494744,0.0075689018010196155,11,11.0
ピーチ,15,17.0,0.01300933969294063,0.0070603011346349375,15,17.0
リンデンティー,6,6.0,0.005352511429706777,0.006076122205154464,6,6.0
ストロベリー,10,12.0,0.009675741644916596,0.005999688327879071,10,12.0
パッションフルーツ,12,14.0,0.012067132948696152,0.0034946236559139786,12,14.0
ゴールデンデリシャスアップル,12,13.0,0.011155486787176197,0.003047708096796456,12,13.0
ウォーターメロン/スイカ,8,9.0,0.0031447788851931583,0.002688172043010753,8,9.0
ローズ,12,12.0,0.02532713634069703,0.001402524544179523,12,12.0
モヒート,10,17.0,0.004196749487239132,0.0012272089761570827,10,17.0
コニャック,8,16.0,0.0035670205700650743,0.0010129343930185444,8,16.0
アイス,9,9.0,0.006248320068355745,0.0009350163627863488,9,9.0
タンジェリン,5,6.0,0.001508002303381354,0.0007382733364500546,5,6.0
キウイ,12,12.0,0.01127762430548555,0.0006428237494156148,12,12.0
カルダモンミルク,9,16.0,0.0024291337033685028,0.0006233442418575658,9,16.0
ジンジャー,6,6.0,0.002938655612218024,0.0002337540906965872,6,6.0
カクタス,3,3.0,0.0010475194381225237,0.0002337540906965872,3,3.0
アサイー,7,8.0,0.0015249201346676804,0.00019479507558048932,7,8.0
グレープミント,5,7.0,0.0002382234149415075,0.00014284972209235885,5,7.0
チョコレート,8,8.0,0.0022825619007647586,0.0001168770453482936,8,8.0
ツーアップル,6,6.0,0.003514933325283131,0.0,6,6.0
ブルーヘブン,7,7.0,0.0021507902424938536,0.0,7,7.0
ピスタチオブリーズ,6,6.0,0.000981227536091846,0.0,6,6.0
ウォーターメロン,5,5.0,0.0006407779641776672,0.0,5,5.0
BTS,5,5.0,0.0002804359337786173,0.0,5,5.0
カプチーノ,5,6.0,0.0001246688483715132,0.0,5,6.0
アイススパイシーコーラ,4,4.0,0.0,0.0,4,4.0
アマゾン,4,4.0,0.0,0.0,4,4.0
オレンジミント,4,4.0,0.0,0.0,4,4.0
グラニーズキス,4,4.0,0.0,0.0,4,4.0
サワーアジア,4,4.0,0.0,0.0,4,4.0
スペシャルパン,4,4.0,0.0,0.0,4,4.0
ニードルス,4,4.0,0.0,0.0,4,4.0
ビタースイート,4,4.0,0.0,0.0,4,4.0
フィグ,4,4.0,0.0,0.0,4,4.0
ブルークラウド,4,4.0,0.0,0.0,4,4.0
ヘーゼルナッツ,4,4.0,0.0,0.0,4,4.0
ホワイトピーチ,4,4.0,0.0,0.0,4,4.0
ラズベリー,4,4.0,0.0,0.0,4,4.0
ワイルドストロベリー,4,4.0,0.0,0.0,4,4.0
クインス,3,3.0,0.0,0.0,3,3.0
クールブリーズ,3,3.0,0.0,0.0,3,3.0
コットンキャンディー,3,3.0,0.0,0.0,3,3.0
ジンジャーココナッツ,3,3.0,0.0,0.0,3,3.0
