flavor_a,flavor_b,pair_key,pair_count,same_sentence_count,same_document_count,evidence_document_count,positive_expression_count,negative_expression_count,positive_document_ratio,negative_document_ratio,taste_role_explanation_count,taste_role_explanation_ratio,taste_sweetness_count,taste_acidity_count,taste_bitterness_count,taste_roastiness_count,taste_richness_count,taste_fruity_count,taste_spicy_count,experience_coolness_count,experience_smoothness_count,experience_heaviness_count,experience_balance_count,experience_aroma_count,experience_smoke_count,evaluation_positive_count,evaluation_negative_count
グレープ,ミント,グレープ||ミント,7,5,7,7,3,0,0.42857142857142855,0.0,5,0.7142857142857143,0,2,0,0,0,0,0,4,1,0,3,1,0,6,0
アールグレイ,バニラ,アールグレイ||バニラ,6,0,6,6,0,0,0.0,0.0,5,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
ミント,レモン,ミント||レモン,6,6,6,6,2,0,0.3333333333333333,0.0,5,0.8333333333333334,0,1,0,0,0,0,0,5,0,0,2,1,0,2,0
ハニー,ミルク,ハニー||ミルク,6,4,6,6,4,0,0.6666666666666666,0.0,3,0.5,3,0,0,0,1,0,1,1,0,0,1,0,0,6,0
バニラ,ミルク,バニラ||ミルク,6,4,6,6,2,0,0.3333333333333333,0.0,5,0.8333333333333334,3,1,0,0,0,0,0,0,0,0,2,1,0,5,0
アールグレイ,コニャック,アールグレイ||コニャック,5,0,5,5,0,0,0.0,0.0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
コニャック,バニラ,コニャック||バニラ,5,5,5,5,0,0,0.0,0.0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ミルク,メロン,ミルク||メロン,5,4,5,5,3,0,0.6,0.0,3,0.6,2,0,0,0,1,0,0,1,0,0,1,1,0,5,0
バナナ,ミルク,バナナ||ミルク,5,1,5,5,2,0,0.4,0.0,2,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,4,4,4,4,0,0,0.0,0.0,3,0.75,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
カルダモンミルク,ミルク,カルダモンミルク||ミルク,4,4,4,4,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハニー,メロン,ハニー||メロン,4,2,4,4,2,0,0.5,0.0,3,0.75,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0
ココナッツ,ミルク,ココナッツ||ミルク,4,3,4,4,3,0,0.75,0.0,3,0.75,2,0,0,0,2,0,0,1,0,0,1,0,0,6,0
カルダモンミルク,モヒート,カルダモンミルク||モヒート,3,0,3,3,1,0,0.3333333333333333,0.0,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
グアバ,パッションフルーツ,グアバ||パッションフルーツ,3,2,3,3,1,0,0.3333333333333333,0.0,3,1.0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0
カルダモンミルク,バナナ,カルダモンミルク||バナナ,3,0,3,3,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バナナ,モヒート,バナナ||モヒート,3,0,3,3,1,0,0.3333333333333333,0.0,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
ココナッツ,ハニー,ココナッツ||ハニー,3,3,3,3,1,0,0.3333333333333333,0.0,2,0.6666666666666666,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ブルーベリー,ベリー,ブルーベリー||ベリー,3,2,3,3,2,0,0.6666666666666666,0.0,2,0.6666666666666666,0,0,0,0,0,1,0,3,1,0,0,2,0,3,0
ミルク,モヒート,ミルク||モヒート,3,0,3,3,1,0,0.3333333333333333,0.0,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
ミント,ライム,ミント||ライム,3,3,3,3,0,0,0.0,0.0,1,0.3333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
メロン,レモン,メロン||レモン,3,0,3,3,2,0,0.6666666666666666,0.0,3,1.0,2,1,1,0,0,0,0,7,0,0,3,0,0,3,0
グレープ,ベリー,グレープ||ベリー,3,1,3,3,1,0,0.3333333333333333,0.0,2,0.6666666666666666,0,1,0,0,0,0,0,3,1,0,1,1,0,2,0
ミント,メロン,ミント||メロン,3,0,3,3,2,0,0.6666666666666666,0.0,3,1.0,2,1,1,0,0,0,0,7,0,0,3,0,0,3,0
