rank_overall,rank_support,rank_lift,rank_support_lift,flavor_a,flavor_b,pair_key,support,lift,centrality_mean,centrality_max,centrality_geometric_mean,positive_document_ratio,negative_document_ratio,taste_role_explanation_ratio,normalized_support,normalized_lift,normalized_centrality_mean,normalized_positive_document_ratio,normalized_taste_role_explanation_ratio,support_log1p,lift_clipped,support_lift_score,overall_score,pair_count,evidence_document_count,frequency_a,frequency_b,centrality_a,centrality_b,same_sentence_count,same_document_count,positive_expression_count,negative_expression_count,taste_role_explanation_count,taste_sweetness_count,taste_acidity_count,taste_bitterness_count,taste_roastiness_count,taste_richness_count,taste_fruity_count,taste_spicy_count,experience_coolness_count,experience_smoothness_count,experience_heaviness_count,experience_balance_count,experience_aroma_count,experience_smoke_count,evaluation_positive_count,evaluation_negative_count,pair_count_log1p,normalized_pair_count
4,6,2,1,アールグレイ,コニャック,アールグレイ||コニャック,0.041666666666666664,13.333333333333334,0.050351929769882085,0.09969092514674563,0.010048898783099367,0.0,0.0,1.0,0.6048067353801994,0.910839351163045,0.19135842261019242,0.0,1.0,0.040821994520255124,13.333333333333334,0.7578230432716222,0.5474235429268596,5,5,9,5,0.09969092514674563,0.0010129343930185444,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1.791759469228055,0.7066950526114238
20,14,1,2,カルダモンミルク,モヒート,カルダモンミルク||モヒート,0.025,18.0,0.0009252766090073242,0.0012272089761570827,0.0008746277201435113,0.3333333333333333,0.0,0.0,0.2032391116601348,1.0,0.0,0.3333333333333333,0.0,0.0246926125903715,14.593333333333316,0.6016195558300674,0.3609717334980404,3,3,4,5,0.0006233442418575658,0.0012272089761570827,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.3862943611198906,0.2933049473885764
1,1,28,3,グレープ,ミント,グレープ||ミント,0.058333333333333334,3.230769230769231,0.14291405084708034,0.22714506482038047,0.11545372325980476,0.42857142857142855,0.0,0.7142857142857143,1.0,0.1959574699713324,0.549718545136296,0.42857142857142855,0.7142857142857143,0.05669534367654528,3.230769230769231,0.5979787349856662,0.594647362234378,7,7,13,20,0.05868303687378021,0.22714506482038047,5,7,3,0,5,0,2,0,0,0,0,0,4,1,0,3,1,0,6,0,2.0794415416798357,1.0
5,2,21,4,アールグレイ,バニラ,アールグレイ||バニラ,0.05,4.705882352941177,0.16191496545633993,0.22413900576593426,0.14948118559296264,0.0,0.0,0.8333333333333334,0.8031874895422646,0.3003400438449506,0.6232817911838163,0.0,0.8333333333333334,0.04879016416943201,4.705882352941177,0.5517637666936076,0.5240309493940136,6,6,9,17,0.09969092514674563,0.22413900576593426,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1.9459101490553132,0.8638586765081668
8,7,12,5,コニャック,バニラ,コニャック||バニラ,0.041666666666666664,7.0588235294117645,0.11257597007947641,0.22413900576593426,0.015067783770591368,0.0,0.0,1.0,0.6048067353801994,0.4668398549317036,0.43226274124414027,0.0,1.0,0.040821994520255124,7.0588235294117645,0.5358232951559515,0.4846045325958137,5,5,5,17,0.0010129343930185444,0.22413900576593426,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1.791759469228055,0.7066950526114238
6,3,48,6,ミント,レモン,ミント||レモン,0.05,2.0,0.14937489332650628,0.22714506482038047,0.12753297292119603,0.3333333333333333,0.0,0.8333333333333334,0.8031874895422646,0.10886526109518466,0.5747321065759472,0.3333333333333333,0.8333333333333334,0.04879016416943201,2.0,0.45602637531872464,0.5164523167849983,6,6,20,18,0.22714506482038047,0.07160472183263207,6,6,2,0,5,0,1,0,0,0,0,0,5,0,0,2,1,0,2,0,1.9459101490553132,0.8638586765081668
3,4,53,7,ハニー,ミルク,ハニー||ミルク,0.05,1.8461538461538463,0.2242227676484338,0.2912926601215521,0.21395672238929042,0.6666666666666666,0.0,0.5,0.8031874895422646,0.0979787349856662,0.8645103992584795,0.6666666666666666,0.5,0.04879016416943201,1.8461538461538463,0.4505831122639654,0.5883530104607919,6,6,15,26,0.15715287517531554,0.2912926601215521,4,6,4,0,3,3,0,0,0,1,0,1,1,0,0,1,0,0,6,0,1.9459101490553132,0.8638586765081668
2,5,58,8,バニラ,ミルク,バニラ||ミルク,0.05,1.6289592760180995,0.2577158329437432,0.2912926601215521,0.25551917193541246,0.3333333333333333,0.0,0.8333333333333334,0.8031874895422646,0.0826095216545813,0.9941809258553314,0.3333333333333333,0.8333333333333334,0.04879016416943201,1.6289592760180995,0.4428985055984229,0.5937781457807243,6,6,17,26,0.22413900576593426,0.2912926601215521,4,6,2,0,5,3,1,0,0,0,0,0,0,0,0,2,1,0,5,0,1.9459101490553132,0.8638586765081668
28,27,3,9,カルダモン,チェリー,カルダモン||チェリー,0.016666666666666666,12.0,0.01668656359224382,0.02359218816091187,0.015190581089431873,0.0,0.0,1.0,0.0,0.816489458213885,0.061020822219177664,0.0,1.0,0.016529301951210565,12.0,0.4082447291069425,0.3163265289973068,2,2,4,5,0.02359218816091187,0.00978093902357577,0,2,0,0,2,0,1,1,0,0,0,3,0,0,0,0,2,0,0,0,1.0986122886681096,0.0
18,15,5,10,グアバ,パッションフルーツ,グアバ||パッションフルーツ,0.025,9.0,0.020753513732125237,0.038012403808336495,0.01152558222246353,0.3333333333333333,0.0,1.0,0.2032391116601348,0.6042021990782749,0.07676627763306058,0.3333333333333333,1.0,0.0246926125903715,9.0,0.4037206553692049,0.37737553879422125,3,3,8,5,0.038012403808336495,0.0034946236559139786,2,3,1,0,3,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1.3862943611198906,0.2933049473885764
27,10,20,11,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,0.03333333333333333,5.454545454545454,0.05805922883412366,0.09141844208464128,0.04751880621521996,0.0,0.0,0.75,0.4048325444407431,0.3533172564634629,0.2211977197747787,0.0,0.75,0.03278982282299087,5.454545454545454,0.379074900452103,0.32901862140304444,4,4,11,8,0.09141844208464128,0.024700015583606048,4,4,0,0,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.6094379124341003,0.5208099393420963
56,16,9,12,カルダモンミルク,バナナ,カルダモンミルク||バナナ,0.025,8.181818181818182,0.022722010730425877,0.04482067721899419,0.005285708189128171,0.0,0.0,0.0,0.2032391116601348,0.5463056738594722,0.08438743861439706,0.0,0.0,0.0246926125903715,8.181818181818182,0.37477239275980345,0.2144256396857879,3,3,4,11,0.0006233442418575658,0.04482067721899419,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,0.2933049473885764
7,8,41,13,ミルク,メロン,ミルク||メロン,0.041666666666666664,2.3076923076923075,0.17530388031790553,0.2912926601215521,0.131446009502669,0.6,0.0,0.6,0.6048067353801994,0.13063831331422157,0.6751178242656486,0.6,0.6,0.040821994520255124,2.3076923076923075,0.3677225243472105,0.49912516379574495,5,5,26,10,0.2912926601215521,0.059315100514259,4,5,3,0,3,2,0,0,0,1,0,0,1,0,0,1,1,0,5,0,1.791759469228055,0.7066950526114238
11,9,45,14,バナナ,ミルク,バナナ||ミルク,0.041666666666666664,2.097902097902098,0.16805666867027313,0.2912926601215521,0.11426256734193516,0.4,0.0,0.4,0.6048067353801994,0.1157930504376055,0.6470597847156244,0.4,0.4,0.040821994520255124,2.097902097902098,0.3602998929089024,0.4398022401665861,5,5,11,26,0.04482067721899419,0.2912926601215521,1,5,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1.791759469228055,0.7066950526114238
33,11,22,15,カルダモンミルク,ミルク,カルダモンミルク||ミルク,0.03333333333333333,4.615384615384615,0.14595800218170482,0.2912926601215521,0.013474999160747377,0.0,0.0,0.0,0.4048325444407431,0.29393620495699857,0.5615033957916711,0.0,0.0,0.03278982282299087,4.615384615384615,0.34938437469887085,0.3072344937298068,4,4,4,26,0.0006233442418575658,0.2912926601215521,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341003,0.5208099393420963
47,17,15,16,バナナ,モヒート,バナナ||モヒート,0.025,6.545454545454546,0.023023943097575633,0.04482067721899419,0.0074164909088186,0.3333333333333333,0.0,0.0,0.2032391116601348,0.43051262342186664,0.0855563889239534,0.3333333333333333,0.0,0.0246926125903715,6.545454545454546,0.3168758675410007,0.2357111671382978,3,3,11,5,0.04482067721899419,0.0012272089761570827,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.3862943611198906,0.2933049473885764
13,28,4,17,グレープ,グレープミント,グレープ||グレープミント,0.016666666666666666,9.23076923076923,0.029412943297936284,0.05868303687378021,0.0028953161328178225,1.0,0.0,1.0,0.0,0.6205319882425525,0.11029180842358881,1.0,1.0,0.016529301951210565,9.23076923076923,0.31026599412127626,0.42719135874535585,2,2,13,2,0.05868303687378021,0.00014284972209235885,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.0986122886681096,0.0
14,12,29,18,ハニー,メロン,ハニー||メロン,0.03333333333333333,3.2,0.10823398784478727,0.15715287517531554,0.09654811539915545,0.5,0.0,0.75,0.4048325444407431,0.1937801647494287,0.4154524816312297,0.5,0.75,0.03278982282299087,3.2,0.2993063545950859,0.40298530084582607,4,4,15,10,0.15715287517531554,0.059315100514259,2,4,2,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1.6094379124341003,0.5208099393420963
55,29,6,19,ブルーベリー,ミントクリーム,ブルーベリー||ミントクリーム,0.016666666666666666,8.88888888888889,0.023502025868786042,0.0361812373383201,0.019788451592985347,0.0,0.0,0.5,0.0,0.5963397079991782,0.0874073166952141,0.0,0.5,0.016529301951210565,8.88888888888889,0.2981698539995891,0.2165663903388374,2,2,9,3,0.0361812373383201,0.010822814399251986,2,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1.0986122886681096,0.0
37,30,7,20,アサイー,ベリー,アサイー||ベリー,0.016666666666666666,8.571428571428571,0.03598449431198379,0.0717741935483871,0.0037391522377387544,0.5,0.0,0.5,0.0,0.5738754477731877,0.13573398497674397,0.5,0.5,0.016529301951210565,8.571428571428571,0.28693772388659383,0.2956156589386457,2,2,2,14,0.00019479507558048932,0.0717741935483871,2,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0986122886681096,0.0
