pair_key,flavor_a,flavor_b,pair_count,lift,score,rank_SettingA_balanced,setting,rank_SettingB_cooccurrence,rank_SettingC_context
グレープ||ミント,グレープ,ミント,7,3.230769230769231,0.594647362234378,1.0,SettingA_balanced,,
バニラ||ミルク,バニラ,ミルク,6,1.6289592760180995,0.5937781457807243,2.0,SettingA_balanced,,
ハニー||ミルク,ハニー,ミルク,6,1.8461538461538463,0.5883530104607919,3.0,SettingA_balanced,,
アールグレイ||コニャック,アールグレイ,コニャック,5,13.333333333333334,0.5474235429268596,4.0,SettingA_balanced,,
アールグレイ||バニラ,アールグレイ,バニラ,6,4.705882352941177,0.5240309493940136,5.0,SettingA_balanced,,
ミント||レモン,ミント,レモン,6,2.0,0.5164523167849983,6.0,SettingA_balanced,,
ミルク||メロン,ミルク,メロン,5,2.3076923076923075,0.49912516379574495,7.0,SettingA_balanced,,
コニャック||バニラ,コニャック,バニラ,5,7.0588235294117645,0.4846045325958137,8.0,SettingA_balanced,,
ココナッツ||ミルク,ココナッツ,ミルク,4,2.6373626373626373,0.48201851047047717,9.0,SettingA_balanced,,
ミルク||ミント,ミルク,ミント,2,0.46153846153846156,0.44999999999999996,10.0,SettingA_balanced,,
バナナ||ミルク,バナナ,ミルク,5,2.097902097902098,0.4398022401665861,11.0,SettingA_balanced,,
グレープミント||ミント,グレープミント,ミント,2,6.0,0.4352582392645451,12.0,SettingA_balanced,,
グレープ||グレープミント,グレープ,グレープミント,2,9.23076923076923,0.42719135874535585,13.0,SettingA_balanced,,
ハニー||メロン,ハニー,メロン,4,3.2,0.40298530084582607,14.0,SettingA_balanced,,
ストロベリー||ミルク,ストロベリー,ミルク,2,2.3076923076923075,0.39704174319939,15.0,SettingA_balanced,,
ミント||メロン,ミント,メロン,3,1.8,0.3948383442607931,16.0,SettingA_balanced,,
ストロベリー||ミント,ストロベリー,ミント,2,3.0,0.3844539366940185,17.0,SettingA_balanced,,
グアバ||パッションフルーツ,グアバ,パッションフルーツ,3,9.0,0.37737553879422125,18.0,SettingA_balanced,,
バナナ||バニラ,バナナ,バニラ,2,1.2834224598930482,0.3679526188471207,19.0,SettingA_balanced,,
カルダモンミルク||モヒート,カルダモンミルク,モヒート,3,18.0,0.3609717334980404,20.0,SettingA_balanced,,
ウォーターメロン/スイカ||メロン,ウォーターメロン/スイカ,メロン,2,8.0,0.35664845165392395,21.0,SettingA_balanced,,
バニラ||ミント,バニラ,ミント,2,0.7058823529411765,0.35332362804185424,22.0,SettingA_balanced,,
ハニー||バナナ,ハニー,バナナ,2,1.4545454545454546,0.3450457828202368,23.0,SettingA_balanced,,
ハニー||マンゴー,ハニー,マンゴー,2,1.6,0.3424826910222798,24.0,SettingA_balanced,,
ハニー||バニラ,ハニー,バニラ,3,1.411764705882353,0.34135159388976366,25.0,SettingA_balanced,,
メロン||レモン,メロン,レモン,3,2.0,0.3381580349401557,26.0,SettingA_balanced,,
オレンジ||グレープフルーツ,オレンジ,グレープフルーツ,4,5.454545454545454,0.32901862140304444,27.0,SettingA_balanced,,
カルダモン||チェリー,カルダモン,チェリー,2,12.0,0.3163265289973068,28.0,SettingA_balanced,,
シナモン||ミルク,シナモン,ミルク,2,1.3186813186813187,0.31395424379836034,29.0,SettingA_balanced,,
ココナッツ||ハニー,ココナッツ,ハニー,3,3.4285714285714284,0.31277104091688696,30.0,SettingA_balanced,,
ブルーベリー||ベリー,ブルーベリー,ベリー,3,2.857142857142857,0.31109726745332733,31.0,SettingA_balanced,,
ココナッツ||バニラ,ココナッツ,バニラ,2,2.0168067226890756,0.3110917744085373,32.0,SettingA_balanced,,
カルダモンミルク||ミルク,カルダモンミルク,ミルク,4,4.615384615384615,0.3072344937298068,33.0,SettingA_balanced,,
カプチーノ||バニラ,カプチーノ,バニラ,2,7.0588235294117645,0.30277034800693503,34.0,SettingA_balanced,,
バニラ||メロン,バニラ,メロン,2,1.411764705882353,0.3008346787264904,35.0,SettingA_balanced,,
ベリー||ミント,ベリー,ミント,2,0.8571428571428571,0.2970105144352273,36.0,SettingA_balanced,,
アサイー||ベリー,アサイー,ベリー,2,8.571428571428571,0.2956156589386457,37.0,SettingA_balanced,,
カルダモン||シナモン,カルダモン,シナモン,2,8.571428571428571,0.28861779447259833,38.0,SettingA_balanced,,
オレンジ||ミント,オレンジ,ミント,3,1.6363636363636365,0.28770586363840844,39.0,SettingA_balanced,,
ミント||ライチ,ミント,ライチ,2,1.7142857142857142,0.287435597591983,40.0,SettingA_balanced,,
キャラメル||シナモン,キャラメル,シナモン,2,5.714285714285714,0.28343037535674453,41.0,SettingA_balanced,,
ペア||ミルク,ペア,ミルク,2,1.8461538461538463,0.268431481242744,42.0,SettingA_balanced,,
ミルク||モヒート,ミルク,モヒート,3,2.769230769230769,0.26433067562898016,43.0,SettingA_balanced,,
グレープ||ベリー,グレープ,ベリー,3,1.978021978021978,0.25425680170525333,44.0,SettingA_balanced,,
オレンジ||マンゴー,オレンジ,マンゴー,2,2.1818181818181817,0.2523259039233895,45.0,SettingA_balanced,,
キャラメル||バナナ,キャラメル,バナナ,2,3.6363636363636362,0.25229176560243183,46.0,SettingA_balanced,,
バナナ||モヒート,バナナ,モヒート,3,6.545454545454546,0.2357111671382978,47.0,SettingA_balanced,,
バナナ||マンゴー,バナナ,マンゴー,2,2.1818181818181817,0.23428528370816257,48.0,SettingA_balanced,,
ライチ||レモン,ライチ,レモン,2,1.9047619047619047,0.23058680631965064,49.0,SettingA_balanced,,
キャラメル||ハニー,キャラメル,ハニー,2,2.6666666666666665,0.22862736252024646,50.0,SettingA_balanced,,
ミント||ライム,ミント,ライム,3,2.5714285714285716,0.22442017419382498,51.0,SettingA_balanced,,
キャラメル||バニラ,キャラメル,バニラ,2,2.3529411764705883,0.22401147413672506,52.0,SettingA_balanced,,
バニラ||ブルーベリー,バニラ,ブルーベリー,2,1.5686274509803921,0.21965325372226452,53.0,SettingA_balanced,,
キャラメル||ココナッツ,キャラメル,ココナッツ,2,5.714285714285714,0.21921660846195595,54.0,SettingA_balanced,,
ブルーベリー||ミントクリーム,ブルーベリー,ミントクリーム,2,8.88888888888889,0.2165663903388374,55.0,SettingA_balanced,,
カルダモンミルク||バナナ,カルダモンミルク,バナナ,3,8.181818181818182,0.2144256396857879,56.0,SettingA_balanced,,
オレンジ||タンジェリン,オレンジ,タンジェリン,2,7.2727272727272725,0.20545665381455241,57.0,SettingA_balanced,,
モヒート||レモン,モヒート,レモン,2,2.6666666666666665,0.19149094242787607,58.0,SettingA_balanced,,
オレンジ||グアバ,オレンジ,グアバ,2,2.727272727272727,0.1894757292571796,59.0,SettingA_balanced,,
グレープ||ブルーベリー,グレープ,ブルーベリー,2,2.051282051282051,0.1891343778076398,60.0,SettingA_balanced,,
バナナ||ピーチ,バナナ,ピーチ,2,4.363636363636363,0.18840006878674342,61.0,SettingA_balanced,,
キャラメル||ミルク,キャラメル,ミルク,2,1.5384615384615385,0.18560179984634645,62.0,SettingA_balanced,,
ゴールデンデリシャスアップル||シナモン,ゴールデンデリシャスアップル,シナモン,2,6.857142857142857,0.17533711740680913,63.0,SettingA_balanced,,
グアバ||パイナップル,グアバ,パイナップル,2,6.0,0.17235111550897886,64.0,SettingA_balanced,,
ベリー||ミルク,ベリー,ミルク,2,0.6593406593406593,0.14334642227860467,65.0,SettingA_balanced,,
ベリー||レモン,ベリー,レモン,2,0.9523809523809523,0.13847690364594573,66.0,SettingA_balanced,,
ペア||レモン,ペア,レモン,2,2.6666666666666665,0.12289327070395807,67.0,SettingA_balanced,,
ブルーベリー||ミント,ブルーベリー,ミント,2,1.3333333333333333,0.11665457327402941,68.0,SettingA_balanced,,
グレープフルーツ||ミント,グレープフルーツ,ミント,2,1.5,0.11515797960641636,69.0,SettingA_balanced,,
アールグレイ||ライチ,アールグレイ,ライチ,2,3.8095238095238093,0.10015694840914396,70.0,SettingA_balanced,,
オレンジ||ライム,オレンジ,ライム,2,3.116883116883117,0.08721710539060348,71.0,SettingA_balanced,,
グレープ||ピーチ,グレープ,ピーチ,2,3.6923076923076925,0.08189075894816454,72.0,SettingA_balanced,,
オレンジ||レモン,オレンジ,レモン,2,1.2121212121212122,0.07567726137984786,73.0,SettingA_balanced,,
ライム||レモン,ライム,レモン,2,1.9047619047619047,0.0581029404375753,74.0,SettingA_balanced,,
アールグレイ||コニャック,アールグレイ,コニャック,5,13.333333333333334,0.6298523093201648,,SettingB_cooccurrence,1.0,
グレープ||ミント,グレープ,ミント,7,3.230769230769231,0.6021283975750245,,SettingB_cooccurrence,2.0,
ハニー||ミルク,ハニー,ミルク,6,1.8461538461538463,0.5336852596544037,,SettingB_cooccurrence,3.0,
アールグレイ||バニラ,アールグレイ,バニラ,6,4.705882352941177,0.5303888569476869,,SettingB_cooccurrence,4.0,
バニラ||ミルク,バニラ,ミルク,6,1.6289592760180995,0.5246064209815424,,SettingB_cooccurrence,5.0,
コニャック||バニラ,コニャック,バニラ,5,7.0588235294117645,0.49854291750259006,,SettingB_cooccurrence,6.0,
ミント||レモン,ミント,レモン,6,2.0,0.49185104785781525,,SettingB_cooccurrence,7.0,
カルダモンミルク||モヒート,カルダモンミルク,モヒート,3,18.0,0.4646289779973872,,SettingB_cooccurrence,8.0,
ミルク||メロン,ミルク,メロン,5,2.3076923076923075,0.4451578862386222,,SettingB_cooccurrence,9.0,
バナナ||ミルク,バナナ,ミルク,5,2.097902097902098,0.4071562402768042,,SettingB_cooccurrence,10.0,
ココナッツ||ミルク,ココナッツ,ミルク,4,2.6373626373626373,0.3956098726439278,,SettingB_cooccurrence,11.0,
グアバ||パッションフルーツ,グアバ,パッションフルーツ,3,9.0,0.3837763754380895,,SettingB_cooccurrence,12.0,
グレープ||グレープミント,グレープ,グレープミント,2,9.23076923076923,0.37821537672725225,,SettingB_cooccurrence,13.0,
ハニー||メロン,ハニー,メロン,4,3.2,0.35880132360172023,,SettingB_cooccurrence,14.0,
オレンジ||グレープフルーツ,オレンジ,グレープフルーツ,4,5.454545454545454,0.3452138295159871,,SettingB_cooccurrence,15.0,
カルダモン||チェリー,カルダモン,チェリー,2,12.0,0.34187339259677746,,SettingB_cooccurrence,16.0,
グレープミント||ミント,グレープミント,ミント,2,6.0,0.33080998111937215,,SettingB_cooccurrence,17.0,
ウォーターメロン/スイカ||メロン,ウォーターメロン/スイカ,メロン,2,8.0,0.32334817618440315,,SettingB_cooccurrence,18.0,
カルダモンミルク||ミルク,カルダモンミルク,ミルク,4,4.615384615384615,0.32096102909041385,,SettingB_cooccurrence,19.0,
アサイー||ベリー,アサイー,ベリー,2,8.571428571428571,0.2894298052182901,,SettingB_cooccurrence,20.0,
ミント||メロン,ミント,メロン,3,1.8,0.2862059915714793,,SettingB_cooccurrence,21.0,
カルダモン||シナモン,カルダモン,シナモン,2,8.571428571428571,0.2859308729852664,,SettingB_cooccurrence,22.0,
カルダモンミルク||バナナ,カルダモンミルク,バナナ,3,8.181818181818182,0.2809413743763089,,SettingB_cooccurrence,23.0,
バナナ||モヒート,バナナ,モヒート,3,6.545454545454546,0.2738640350874359,,SettingB_cooccurrence,24.0,
ココナッツ||ハニー,ココナッツ,ハニー,3,3.4285714285714284,0.2627683789320424,,SettingB_cooccurrence,25.0,
ブルーベリー||ベリー,ブルーベリー,ベリー,3,2.857142857142857,0.2611668001420698,,SettingB_cooccurrence,26.0,
メロン||レモン,メロン,レモン,3,2.0,0.2610501457981948,,SettingB_cooccurrence,27.0,
ストロベリー||ミント,ストロベリー,ミント,2,3.0,0.2576431965285966,,SettingB_cooccurrence,28.0,
カプチーノ||バニラ,カプチーノ,バニラ,2,7.0588235294117645,0.2564241413631008,,SettingB_cooccurrence,29.0,
ストロベリー||ミルク,ストロベリー,ミルク,2,2.3076923076923075,0.25291449209539485,,SettingB_cooccurrence,30.0,
