flavor,degree,weighted_degree,betweenness_centrality,weighted_betweenness_centrality,cooccurrence_pair_count,total_cooccurrence_count
ミント,33,67.0,0.16920833408127617,0.3319686316939065,33,67.0
レモン,26,52.0,0.0935080672966705,0.23455235240949526,26,52.0
バニラ,26,40.0,0.11197717291588898,0.19665432247849826,26,40.0
グアバ,29,44.0,0.13132941308802362,0.1479915688706897,29,44.0
グレープフルーツ,21,38.0,0.05719709225571427,0.07167647167647169,21,38.0
ミルク,17,26.0,0.03960527447165591,0.06546033331747617,17,26.0
ダブルアップル,14,21.0,0.05848311524054152,0.0653567230490307,14,21.0
アールグレイ,15,25.0,0.02748738031540059,0.055518291232576934,15,25.0
パンラズナ,5,5.0,0.04928404928404928,0.04928404928404928,5,5.0
ベリー,18,28.0,0.032468413964378676,0.036167007595579025,18,28.0
シナモン,11,11.0,0.03719116692983463,0.027694527694527696,11,11.0
ライム,19,29.0,0.04446216180523023,0.025752025752025755,19,29.0
オレンジ,19,33.0,0.03487905480262237,0.025707625707625713,19,33.0
ココナッツ,17,21.0,0.05773896451860743,0.025025889861054695,17,21.0
キャラメル,13,17.0,0.023652741839453973,0.024698652995356295,13,17.0
チョコレート,11,14.0,0.007717406557365864,0.018997668997668995,11,14.0
ライチ,19,27.0,0.035221763159382816,0.015734265734265732,19,27.0
パッションフルーツ,14,17.0,0.0318729701040211,0.015541865541865546,14,17.0
ジャスミン,9,11.0,0.013428558892653628,0.014951714951714956,9,11.0
カルダモン,14,16.0,0.01733152603742376,0.012987012987012988,14,16.0
パイナップル,9,11.0,0.014106086624110075,0.010631960631960632,9,11.0
コニャック,12,21.0,0.013865765931288883,0.010212010212010212,12,21.0
バナナ,14,16.0,0.022646180178682335,0.01010927412026313,14,16.0
マンゴー,17,18.0,0.033525293627860844,0.005485479111852737,17,18.0
ゴールデンデリシャスアップル,8,9.0,0.014691672131087814,0.004995004995004996,8,9.0
チェリー,11,12.0,0.012846439928199588,0.004773004773004773,11,12.0
ハニー,12,14.0,0.012699805027700422,0.0034077034077034073,12,14.0
ピーチ,16,18.0,0.013034348154475026,0.003274503274503274,16,18.0
メロン,9,11.0,0.002015546234935939,0.002913752913752914,9,11.0
プラム,12,13.0,0.009569746865389708,0.002442002442002442,12,13.0
リコリス,7,11.0,0.0014670282964682063,0.0023040045018066996,7,11.0
グレープ,10,20.0,0.006747034451881092,0.0007215007215007215,10,20.0
アイス,8,12.0,0.0058445409891399284,0.000666000666000666,8,12.0
シガー,8,10.0,0.004884014493534932,0.000666000666000666,8,10.0
キウイ,11,12.0,0.009502946473783948,0.0006105006105006105,11,12.0
ガムシナモン,7,8.0,0.0013109660643241612,0.0001665001665001665,7,8.0
バブルガム,7,8.0,0.0013109660643241612,0.0001665001665001665,7,8.0
コーラ,5,5.0,0.0028596346521068848,0.0,5,5.0
ブルーベリー,6,8.0,0.0016316997349123115,0.0,6,8.0
グレープミント,6,8.0,0.0009992714130681428,0.0,6,8.0
ザクロ,5,6.0,0.0008700629800118547,0.0,5,6.0
ビスケット,4,5.0,0.00018379330630546905,0.0,4,5.0
ツーアップル,5,7.0,8.178955547376598e-05,0.0,5,7.0
アブサン,4,4.0,0.0,0.0,4,4.0
アマゾン,4,4.0,0.0,0.0,4,4.0
オレンジミント,4,4.0,0.0,0.0,4,4.0
カプチーノ,4,4.0,0.0,0.0,4,4.0
クールブリーズ,4,4.0,0.0,0.0,4,4.0
サワーアジア,4,4.0,0.0,0.0,4,4.0
ジンジャー,4,4.0,0.0,0.0,4,4.0
ジンジャーココナッツ,4,4.0,0.0,0.0,4,4.0
スパイスドチャイ,4,4.0,0.0,0.0,4,4.0
スペクトラ,4,4.0,0.0,0.0,4,4.0
ビタースイート,4,4.0,0.0,0.0,4,4.0
フィグ,4,4.0,0.0,0.0,4,4.0
ブラウンシュガー,4,4.0,0.0,0.0,4,4.0
ブラックカラント,4,4.0,0.0,0.0,4,4.0
ブルーヘブン,4,4.0,0.0,0.0,4,4.0
ベルガモットティー,4,4.0,0.0,0.0,4,4.0
ベルベット,4,4.0,0.0,0.0,4,4.0
ペアチル,4,4.0,0.0,0.0,4,4.0
ポメロ,4,4.0,0.0,0.0,4,4.0
モヒート,4,4.0,0.0,0.0,4,4.0
ラズベリー,4,4.0,0.0,0.0,4,4.0
クインス,3,3.0,0.0,0.0,3,3.0
コットンキャンディー,3,3.0,0.0,0.0,3,3.0
タンジェリン,3,3.0,0.0,0.0,3,3.0
ピスタチオ,3,3.0,0.0,0.0,3,3.0
リンデンティー,3,3.0,0.0,0.0,3,3.0
アイスクリームレモン,2,2.0,0.0,0.0,2,2.0
アプリコット,2,2.0,0.0,0.0,2,2.0
アーモンド,2,2.0,0.0,0.0,2,2.0
カクタス,2,2.0,0.0,0.0,2,2.0
カシミール,2,2.0,0.0,0.0,2,2.0
ブラックティー,2,2.0,0.0,0.0,2,2.0
ストロベリー,1,1.0,0.0,0.0,1,1.0
スプリングウォーター,1,1.0,0.0,0.0,1,1.0
マカロンピンク,1,1.0,0.0,0.0,1,1.0
ヨーグルト,1,1.0,0.0,0.0,1,1.0
