document_id,review_title,review_url,product_name,flavor_a,flavor_b,pair_key,sentence,matched_categories,matched_terms,matched_negated_categories,matched_negated_terms,is_same_sentence_pair,has_explicit_mix_expression,explicit_mix_text,is_template_sentence,template_pattern,has_positive_expression,has_negative_expression,has_taste_role_explanation,role_detection_rule,role_action_term,role_effect_term,is_product_name_derived,is_parent_child_pair,parent_child_reason
R0044,MALAKI – Berry(ベリー),https://cloud-jp.net/malaki-berry/,MALAKI – Berry(ベリー),グレープ,ミント,グレープ||ミント,・ベリー×ブルーヘブン×ミント – ベリーの甘酸っぱさ、ブルーヘブンのすっきりとした酸味・甘み・清涼感、そしてミントの清涼感の調和を楽しむミックスです。,experience:balance|experience:coolness|taste:acidity,清涼感|調和|酸味,,,False,False,,False,,False,False,False,,,,True,False,
R0044,MALAKI – Berry(ベリー),https://cloud-jp.net/malaki-berry/,MALAKI – Berry(ベリー),グレープ,ミント,グレープ||ミント,・ベリー×グレープ×グレナデン – ベリーとグレナデンの酸味を生かしつつ、グレープの優しい甘さのバランスを楽しむミックスです。,experience:balance|experience:smoothness|taste:acidity,バランス|優しい|酸味,,,False,False,,False,,False,False,False,,,,True,False,
R0047,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/,MALAKI – Grape Mint(グレープミント),グレープ,ミント,グレープ||ミント,MALAKI – Grape Mint(グレープミント)の特徴,,,,,True,False,,True,^[^。！？!?]*の特徴$,False,False,False,,,,True,False,
R0047,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/,MALAKI – Grape Mint(グレープミント),グレープ,ミント,グレープ||ミント,MALAKI – Grape Mint(グレープミント)のおすすめミックス,evaluation:positive,おすすめ,,,True,True,グレープミント)のおすすめミックス,True,^[^。！？!?]*おすすめ(?:の)?ミックス(?:・組み合わせ)?$,True,False,False,,,,True,False,
R0047,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/,MALAKI – Grape Mint(グレープミント),グレープ,ミント,グレープ||ミント,名前の通り、グレープとミントのミックスフレーバーです。,,,,,True,True,グレープとミントのミックス,False,,False,False,False,,,,True,False,
R0047,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/,MALAKI – Grape Mint(グレープミント),グレープ,ミント,グレープ||ミント,全体として、グレープとミントのバランスが非常に良く、単体でも十分に楽しめます。,experience:balance,バランス,,,True,False,,False,,False,False,False,,,,True,False,
R0047,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/,MALAKI – Grape Mint(グレープミント),グレープ,ミント,グレープ||ミント,MALAKI – Grape Mint(グレープミント)はCLOUD SHOPにてご購入いただけます！,,,,,True,False,,True,CLOUD SHOPにてご購入いただけます,False,False,False,,,,True,False,
R0070,DOZAJ – Grape(グレープ)レビュー,https://cloud-jp.net/dozaj-grape/,DOZAJ – Grape(グレープ)レビュー,グレープ,ミント,グレープ||ミント,・グレープ×ライム×ミント – スッキリとグレープを楽しみたい方に向けたミックス。,,,,,True,True,ミント – スッキリとグレープを楽しみたい方に向けたミックス,False,,False,False,False,,,,True,False,
R0130,DOZAJ – Fury Winter(フューリーウィンター)レビュー,https://cloud-jp.net/dozaj-furywinter/,DOZAJ – Fury Winter(フューリーウィンター)レビュー,グレープ,ミント,グレープ||ミント,Fury Winterはミント、アイス系のフレーバーなので基本的には何でも合います。,,,,,False,False,,False,,False,False,False,,,,True,False,
R0130,DOZAJ – Fury Winter(フューリーウィンター)レビュー,https://cloud-jp.net/dozaj-furywinter/,DOZAJ – Fury Winter(フューリーウィンター)レビュー,グレープ,ミント,グレープ||ミント,純粋なミントではなく、若干のハーブっぽさが味付けされているためコーラ系フレーバーとの相性がいいと感じました。,experience:balance,相性,,,False,False,,False,,False,False,False,,,,True,False,
R0130,DOZAJ – Fury Winter(フューリーウィンター)レビュー,https://cloud-jp.net/dozaj-furywinter/,DOZAJ – Fury Winter(フューリーウィンター)レビュー,グレープ,ミント,グレープ||ミント,あとはAFのGrapeやGrenadin、Freshといった若干重ためのベリー系、カシス系フレーバーとミックスすることで、爽快感アップさせて吸うのが個人的に好きです。,evaluation:positive,好き,,,False,False,,False,,True,False,False,,,,True,False,
R0171,旬-SHUN- MINT,https://cloud-jp.net/shun-mint/,旬-SHUN- MINT,グレープ,ミント,グレープ||ミント,・【Al Fakher】GRAPE(60%)　＋　【旬-SHUN-】MINT(30%),,,,,True,False,,False,,False,False,False,,,,True,False,
R0173,旬-SHUN- WHITEGRAPE,https://cloud-jp.net/shun-white-grape/,旬-SHUN- WHITEGRAPE,グレープ,ミント,グレープ||ミント,・【Social Smoke】 GRAPE CHILL (40%)＋【旬-SHUN-】WHITE GRAPE(30%) +【旬-SHUN-】MINT(30%),,,,,True,False,,False,,False,False,False,,,,True,False,
R0209,Social Smoke Grape Chill(グレープチル)レビュー,https://cloud-jp.net/socialsmoke-grapechill-review/,Social Smoke Grape Chill(グレープチル)レビュー,グレープ,ミント,グレープ||ミント,Social Smoke(ソーシャルスモーク) Grape Chill(グレープチル)のレビューです。,,,,,False,False,,True,^[^。！？!?]*のレビューです。?$,False,False,False,,,,True,False,
R0209,Social Smoke Grape Chill(グレープチル)レビュー,https://cloud-jp.net/socialsmoke-grapechill-review/,Social Smoke Grape Chill(グレープチル)レビュー,グレープ,ミント,グレープ||ミント,Social Smoke Grape Chill(グレープチル)の特徴,,,,,False,False,,True,^[^。！？!?]*の特徴$,False,False,False,,,,True,False,
R0209,Social Smoke Grape Chill(グレープチル)レビュー,https://cloud-jp.net/socialsmoke-grapechill-review/,Social Smoke Grape Chill(グレープチル)レビュー,グレープ,ミント,グレープ||ミント,Social Smoke Grape Chill(グレープチル)を使ったMIX,,,,,False,False,,False,,False,False,False,,,,True,False,
R0209,Social Smoke Grape Chill(グレープチル)レビュー,https://cloud-jp.net/socialsmoke-grapechill-review/,Social Smoke Grape Chill(グレープチル)レビュー,グレープ,ミント,グレープ||ミント,香りは、AFのグレープのような甘味と渋みがあるクラシックな味ではなく、グレープ味のハイチュウやファンタグレープのような、はっきりとしたグレープのお菓子のような甘みを感じられます。,experience:aroma,香り,,,False,False,,False,,False,False,False,,,,True,False,
R0209,Social Smoke Grape Chill(グレープチル)レビュー,https://cloud-jp.net/socialsmoke-grapechill-review/,Social Smoke Grape Chill(グレープチル)レビュー,グレープ,ミント,グレープ||ミント,ミントの清涼感も加わってまさにファンタグレープのような味に仕上がっています。,experience:coolness,清涼感,,,False,False,,False,,False,False,False,,,,True,False,
R0209,Social Smoke Grape Chill(グレープチル)レビュー,https://cloud-jp.net/socialsmoke-grapechill-review/,Social Smoke Grape Chill(グレープチル)レビュー,グレープ,ミント,グレープ||ミント,Grape Chill(グレープチル)は単体で甘さとさっぱりさを兼ね備えているので、さっぱり系や甘さを活かしたMIXがおすすめです。,evaluation:positive|experience:coolness,おすすめ|さっぱり,,,False,False,,False,,True,False,False,,,,True,False,
R0127,DOZAJ – Grapefruit(グレープフルーツ)レビュー,https://cloud-jp.net/dozaj-grapefruit/,DOZAJ – Grapefruit(グレープフルーツ)レビュー,グレープフルーツ,レモン,グレープフルーツ||レモン,Grapefruitとしての完成度はかなり高いので、単品でもオススメできますがミックスをするなら、グアバやレモンがはずれないですね。,,,,,True,False,,False,,False,False,False,,,,False,False,
R0127,DOZAJ – Grapefruit(グレープフルーツ)レビュー,https://cloud-jp.net/dozaj-grapefruit/,DOZAJ – Grapefruit(グレープフルーツ)レビュー,グレープフルーツ,レモン,グレープフルーツ||レモン,またDozajのPink Lemonadeが単体だと若干味が薄めなのですが、Grapefruitを加えるとレモネードとしての味わいがワンランク引き上げられて美味しいです。,evaluation:positive,美味しい,,,True,False,,False,,True,False,True,action,加える,,False,False,
R0186,Shiazo Woodruff(ウッドラフ)レビュー,https://cloud-jp.net/shiazo-woodruff/,Shiazo Woodruff(ウッドラフ)レビュー,グレープフルーツ,レモン,グレープフルーツ||レモン,Shiazo Woodruffを使ったおすすめのミックスは、このフレーバーのさっぱり、爽やかとしたフローラルな香りを活かすことができる、ライムやレモン、グレープフルーツなどの柑橘系フレーバーがおすすめです。,evaluation:positive|experience:aroma|experience:coolness,おすすめ|さっぱり|爽やか|香り,,,True,False,,True,おすすめのミックス,True,False,False,,,,False,False,
R0195,Al Fakher Grenadine(グレナデン)レビュー,https://cloud-jp.net/alfakher-grenadine-review/,Al Fakher Grenadine(グレナデン)レビュー,グレープフルーツ,レモン,グレープフルーツ||レモン,グアバやレモン、グレープフルーツ、オレンジ、ベリー系などとミックスすれば間違いなしです。,,,,,True,False,,False,,False,False,False,,,,False,False,
R0201,Social Smoke TangerineRush(タンジェリンラッシュ)レビュー,https://cloud-jp.net/socialsmoke-tangerinerush-review/,Social Smoke TangerineRush(タンジェリンラッシュ)レビュー,グレープフルーツ,レモン,グレープフルーツ||レモン,Social Smoke のタンジェリンラッシュは、レモンやグレープフルーツなどの柑橘系はもちろんミントやマウンテンフォグなどもおすすめです。,evaluation:positive,おすすめ,,,True,False,,False,,True,False,False,,,,False,False,
R0215,TRIFECTA Twice the Ice Xレビュー,https://cloud-jp.net/trifecta-twicetheicex-review/,TRIFECTA Twice the Ice Xレビュー,グレープフルーツ,レモン,グレープフルーツ||レモン,TRIFECTA Twice the Ice Xを使ったMIXにはレモンやグレープフルーツ、オレンジなどの柑橘系はバッチリです。,,,,,True,False,,False,,False,False,False,,,,False,False,
R0217,TRIFECTA MountainFog(マウンテンフォグ)レビュー,https://cloud-jp.net/trifecta-mountainfog-review/,TRIFECTA MountainFog(マウンテンフォグ)レビュー,グレープフルーツ,レモン,グレープフルーツ||レモン,それ以外にも、レモンやグレープフルーツ、ペアチルなどの柑橘系でさっぱりと仕上げたり、カルダモンやミント系もよくあいます。,experience:coolness,さっぱり,,,True,False,,False,,False,False,False,,,,False,False,
R0051,MALAKI – Cool Breeze(クールブリーズ),https://cloud-jp.net/malaki-coolbreeze/,MALAKI – Cool Breeze(クールブリーズ),ミント,レモン,ミント||レモン,・クールブリーズ×ミント×レモン – レモンの酸味とミントの清涼感、そしてクールブリーズの特徴ある後味が調和されたミックスです。,experience:balance|experience:coolness|taste:acidity,クール|清涼感|調和|酸味,,,True,True,ミント×レモン,False,,False,False,False,,,,False,False,
R0061,MALAKI – Mojito(モヒート),https://cloud-jp.net/malaki-mojito/,MALAKI – Mojito(モヒート),ミント,レモン,ミント||レモン,ミントの部分に関しては、ミントはマラキのミントミックスフレーバー同様、清涼感も感じられつつミントの香りもしっかりと立っている印象を受けます。,experience:aroma|experience:coolness,清涼感|香り,,,False,False,,False,,False,False,False,,,,False,False,
