flavor_a,flavor_b,pair_key,pair_count,document_cooccurrence_count,same_sentence_cooccurrence_count,same_sentence_evidence_document_count,explicit_mix_count,document_level_positive_count,document_level_negative_count,document_level_role_count,same_sentence_positive_count,same_sentence_negative_count,same_sentence_role_count,document_level_positive_ratio,document_level_negative_ratio,document_level_role_ratio,same_sentence_positive_ratio,same_sentence_negative_ratio,same_sentence_role_ratio,template_evidence_count,positive_evidence_count,negative_evidence_count,role_evidence_count,is_product_name_derived,has_explicit_mix_expression,excluded_as_product_name_pair,is_parent_child_pair,parent_child_reason,evidence_rows_before_dedup,evidence_rows_after_dedup,evidence_duplicates_removed
グレープ,ミント,グレープ||ミント,7,7,4,4,2,2,0,0,0,0,0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,8,0,0,0,True,True,False,False,,567,509,58
グレープフルーツ,レモン,グレープフルーツ||レモン,6,6,6,5,0,2,0,1,2,0,1,0.3333333333333333,0.0,0.16666666666666666,0.4,0.0,0.2,1,2,0,1,False,False,False,False,,567,509,58
ミント,レモン,ミント||レモン,6,6,3,3,2,2,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,567,509,58
アールグレイ,コニャック,アールグレイ||コニャック,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,567,509,58
コニャック,バニラ,コニャック||バニラ,5,5,5,5,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,567,509,58
アールグレイ,バニラ,アールグレイ||バニラ,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,567,509,58
オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,5,5,4,4,2,1,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,567,509,58
ライム,レモン,ライム||レモン,5,5,5,4,0,2,0,0,2,0,0,0.4,0.0,0.0,0.5,0.0,0.0,1,2,0,0,False,False,False,False,,567,509,58
グアバ,グレープフルーツ,グアバ||グレープフルーツ,4,4,3,3,0,0,1,0,0,1,0,0.0,0.25,0.0,0.0,0.3333333333333333,0.0,0,0,1,0,False,False,False,False,,567,509,58
オレンジ,レモン,オレンジ||レモン,4,4,2,2,1,1,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,567,509,58
ミント,ライチ,ミント||ライチ,4,4,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,False,False,False,False,,567,509,58
ミント,ライム,ミント||ライム,4,4,2,2,1,2,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,567,509,58
ダブルアップル,リコリス,ダブルアップル||リコリス,3,3,1,1,0,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1,0,0,0,False,False,False,False,,567,509,58
キャラメル,ココナッツ,キャラメル||ココナッツ,3,3,2,2,2,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1,0,0,0,False,True,False,False,,567,509,58
ミルク,メロン,ミルク||メロン,3,3,2,2,0,1,0,1,0,0,1,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.5,4,0,0,1,True,True,False,False,,567,509,58
グレープ,ベリー,グレープ||ベリー,3,3,2,2,1,2,0,0,1,0,0,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,3,1,0,0,False,True,False,False,,567,509,58
バナナ,ミルク,バナナ||ミルク,3,3,1,1,1,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,9,0,0,0,True,True,False,False,,567,509,58
グレープフルーツ,ライム,グレープフルーツ||ライム,3,3,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,False,False,False,False,,567,509,58
アイス,ミント,アイス||ミント,3,3,2,2,1,1,0,0,1,0,0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,5,1,0,0,False,True,False,False,,567,509,58
オレンジ,グアバ,オレンジ||グアバ,3,3,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,567,509,58
ライチ,レモン,ライチ||レモン,3,3,2,2,1,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,567,509,58
バニラ,ミルク,バニラ||ミルク,3,3,2,2,0,1,0,1,1,0,0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.0,0.0,0,1,0,0,False,False,False,False,,567,509,58
ベリー,レモン,ベリー||レモン,3,3,2,2,0,1,0,0,1,0,0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0,1,0,0,False,False,False,False,,567,509,58
グアバ,レモン,グアバ||レモン,3,3,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,567,509,58
ベリー,ミント,ベリー||ミント,3,3,1,1,0,2,0,0,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,567,509,58
オレンジ,ミント,オレンジ||ミント,3,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,True,True,False,False,,567,509,58
グアバ,ミント,グアバ||ミント,3,3,1,1,0,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,567,509,58
ガムシナモン,バブルガム,ガムシナモン||バブルガム,2,2,1,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,5,0,0,0,False,False,False,False,,567,509,58
ツーアップル,リコリス,ツーアップル||リコリス,2,2,1,1,0,1,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,False,False,False,False,,567,509,58
ダブルアップル,ツーアップル,ダブルアップル||ツーアップル,2,2,1,1,0,0,1,1,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,5,0,0,0,False,False,False,False,,567,509,58
グレープ,グレープミント,グレープ||グレープミント,2,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,True,False,True,True,グレープ is contained in グレープミント,567,509,58
カルダモン,チェリー,カルダモン||チェリー,2,2,1,1,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,567,509,58
キウイ,ピーチ,キウイ||ピーチ,2,2,2,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,567,509,58
ゴールデンデリシャスアップル,ダブルアップル,ゴールデンデリシャスアップル||ダブルアップル,2,2,1,1,1,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,567,509,58
ジャスミン,ダブルアップル,ジャスミン||ダブルアップル,2,2,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,567,509,58
ビスケット,ミルク,ビスケット||ミルク,2,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,False,False,False,False,,567,509,58
