rank_overall,rank_support,rank_lift,rank_support_lift,flavor_a,flavor_b,pair_key,pair_count,document_cooccurrence_count,same_sentence_cooccurrence_count,same_sentence_evidence_document_count,explicit_mix_count,support,lift,normalized_lift,adjusted_lift,confidence_factor,centrality_mean,smoothed_positive_ratio,smoothed_negative_ratio,smoothed_role_ratio,overall_score_v2,document_level_positive_ratio,document_level_negative_ratio,document_level_role_ratio,same_sentence_positive_ratio,same_sentence_negative_ratio,same_sentence_role_ratio,template_evidence_count,positive_evidence_count,negative_evidence_count,role_evidence_count,is_product_name_derived,has_explicit_mix_expression,excluded_as_product_name_pair,is_parent_child_pair,parent_child_reason,context_score_eligible,normalized_support,normalized_pair_count,normalized_centrality_mean,normalized_smoothed_positive_ratio,normalized_smoothed_negative_ratio,normalized_smoothed_role_ratio,support_log1p,pair_count_log1p,lift_clipped,evidence_rows_before_dedup,evidence_rows_after_dedup,evidence_duplicates_removed,frequency_a,frequency_b,centrality_a,centrality_b,centrality_max,centrality_geometric_mean,document_level_positive_count,document_level_negative_count,document_level_role_count,same_sentence_positive_count,same_sentence_negative_count,same_sentence_role_count,smoothed_positive_ratio_for_score,smoothed_negative_ratio_for_score,smoothed_role_ratio_for_score,support_lift_score,ranking_tier,excluded_reason
8,4,7,2,アールグレイ,コニャック,アールグレイ||コニャック,5,5,0,0,0,0.0641025641025641,9.285714285714286,0.30016106203328535,0.30016106203328535,1.0,0.032865150722293575,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.27453932595258423,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.6072445818166957,0.7066950526114238,0.1155045726616948,0.0,0.0,0.0,0.06213178110700618,1.791759469228055,9.285714285714286,567,509,58,7,6,0.055518291232576934,0.010212010212010212,0.055518291232576934,0.023810782368927582,0,0,0,0,0,0,0.0,0.0,0.0,0.45370282192499056,Excluded,no_same_sentence_context
7,6,24,6,アールグレイ,バニラ,アールグレイ||バニラ,5,5,0,0,0,0.0641025641025641,4.285714285714286,0.12933769339645626,0.12933769339645626,1.0,0.1260863068555376,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.28122758547271254,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.6072445818166957,0.7066950526114238,0.4447985838572653,0.0,0.0,0.0,0.06213178110700618,1.791759469228055,4.285714285714286,567,509,58,7,13,0.055518291232576934,0.19665432247849826,0.19665432247849826,0.1044888125471161,0,0,0,0,0,0,0.0,0.0,0.0,0.368291137606576,Excluded,no_same_sentence_context
22,26,67,28,オレンジ,ミント,オレンジ||ミント,3,3,1,0,0,0.038461538461538464,0.975,0.016228220020498757,0.009736932012299254,0.6,0.1788381287007661,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.1585777142716057,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,True,True,False,False,,False,0.2049088246054759,0.2933049473885764,0.631138892579254,0.0,0.0,0.0,0.03774032798284703,1.3862943611198906,0.975,567,509,58,10,24,0.025707625707625713,0.3319686316939065,0.3319686316939065,0.09238032977998943,0,0,0,0,0,0,0.0,0.0,0.0,0.10732287830888758,Excluded,no_same_sentence_context
54,31,5,31,グレープ,グレープミント,グレープ||グレープミント,2,2,1,1,0,0.02564102564102564,11.142857142857142,0.36360974181267897,0.1454438967250716,0.4,0.00036075036075036075,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.0364638994639399,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,True,False,True,True,グレープ is contained in グレープミント,False,0.0,0.0,0.0006861685511466661,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,11.142857142857142,567,509,58,7,2,0.0007215007215007215,0.0,0.0007215007215007215,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0727219483625358,Excluded,product_name_derived
53,36,12,36,ビスケット,ミルク,ビスケット||ミルク,2,2,1,0,0,0.02564102564102564,7.090909090909091,0.2251762586576383,0.09007050346305533,0.4,0.03273016665873808,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.039771789196140876,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,False,False,False,False,,False,0.0,0.0,0.11502775553584697,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,7.090909090909091,567,509,58,2,11,0.0,0.06546033331747617,0.06546033331747617,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.04503525173152766,Excluded,no_same_sentence_context
62,39,15,39,ブルーベリー,ベリー,ブルーベリー||ベリー,2,2,1,0,0,0.02564102564102564,5.777777777777778,0.18031355578331953,0.07212542231332782,0.4,0.018083503797789512,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.02752484756944156,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,True,False,True,True,ベリー is contained in ブルーベリー,False,0.0,0.0,0.0632899466073974,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,5.777777777777778,567,509,58,3,9,0.0,0.036167007595579025,0.036167007595579025,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.03606271115666391,Excluded,product_name_derived
67,40,17,40,コニャック,シガー,コニャック||シガー,2,2,0,0,0,0.02564102564102564,5.2,0.1605739665186193,0.06422958660744772,0.4,0.005439005439005439,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.018851082895816215,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.018624574959695224,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,5.2,567,509,58,6,5,0.010212010212010212,0.000666000666000666,0.010212010212010212,0.0026079121155446177,1,0,0,0,0,0,0.0,0.0,0.0,0.03211479330372386,Excluded,no_same_sentence_context
56,42,20,42,アールグレイ,キャラメル,アールグレイ||キャラメル,2,2,0,0,0,0.02564102564102564,4.457142857142857,0.13519449460686184,0.05407779784274474,0.4,0.04010847211396661,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.03468307696200573,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.14109085000879698,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,4.457142857142857,567,509,58,7,5,0.055518291232576934,0.024698652995356295,0.055518291232576934,0.037030082501238765,0,0,0,0,0,0,0.0,0.0,0.0,0.02703889892137237,Excluded,no_same_sentence_context
65,45,23,45,プラム,ベリー,プラム||ベリー,2,2,0,0,0,0.02564102564102564,4.333333333333333,0.13096458262156893,0.052385833048627574,0.4,0.019304505018790732,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.023236909172919075,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.06760300607174786,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,4.333333333333333,567,509,58,4,9,0.002442002442002442,0.036167007595579025,0.036167007595579025,0.009397867889490938,0,0,0,0,0,0,0.0,0.0,0.0,0.026192916524313787,Excluded,no_same_sentence_context
32,49,32,49,グレープミント,ミント,グレープミント||ミント,2,2,1,0,0,0.02564102564102564,3.25,0.09395285275025597,0.03758114110010239,0.4,0.16598431584695325,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.09725540617138939,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,True,False,True,True,ミント is contained in グレープミント,False,0.0,0.0,0.5857341393090919,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,3.25,567,509,58,2,24,0.0,0.3319686316939065,0.3319686316939065,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.018790570550051195,Excluded,product_name_derived
33,50,33,50,ザクロ,ミント,ザクロ||ミント,2,2,0,0,0,0.02564102564102564,3.25,0.09395285275025597,0.03758114110010239,0.4,0.16598431584695325,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.09725540617138939,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.5857341393090919,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,3.25,567,509,58,2,24,0.0,0.3319686316939065,0.3319686316939065,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.018790570550051195,Excluded,no_same_sentence_context
57,52,36,52,チョコレート,ミルク,チョコレート||ミルク,2,2,0,0,0,0.02564102564102564,2.8363636363636364,0.07982110134484557,0.03192844053793823,0.4,0.04222900115757258,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.030269319787522397,0.5,0.0,0.5,0.0,0.0,0.0,5,0,0,0,False,False,False,False,,False,0.0,0.0,0.14858139768691894,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,2.8363636363636364,567,509,58,5,11,0.018997668997668995,0.06546033331747617,0.06546033331747617,0.035264624552694385,1,0,1,0,0,0,0.0,0.0,0.0,0.015964220268969116,Excluded,no_same_sentence_context
43,58,45,58,ココナッツ,バニラ,ココナッツ||バニラ,2,2,0,0,0,0.02564102564102564,2.0,0.05124701059104871,0.020498804236419487,0.4,0.11084010616977648,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.06376614657315677,0.5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,False,False,False,False,,False,0.0,0.0,0.3909429700936793,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,2.0,567,509,58,6,13,0.025025889861054695,0.19665432247849826,0.19665432247849826,0.07015304280676092,1,0,0,0,0,0,0.0,0.0,0.0,0.010249402118209744,Excluded,no_same_sentence_context
61,61,51,61,グレープフルーツ,パッションフルーツ,グレープフルーツ||パッションフルーツ,2,2,0,0,0,0.02564102564102564,1.8571428571428572,0.04636634291571074,0.018546537166284297,0.4,0.043609168609168615,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.027655138580573342,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.15345669526001512,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,1.8571428571428572,567,509,58,12,7,0.07167647167647169,0.015541865541865546,0.07167647167647169,0.03337643008638067,0,0,0,0,0,0,0.0,0.0,0.0,0.009273268583142149,Excluded,no_same_sentence_context
37,64,59,64,パイナップル,ミント,パイナップル||ミント,2,2,0,0,0,0.02564102564102564,1.625,0.03843525794328653,0.015374103177314614,0.4,0.17130029616293357,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.0945203685931495,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.6045122853254723,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,1.625,567,509,58,4,24,0.010631960631960632,0.3319686316939065,0.3319686316939065,0.059409405174731825,0,0,0,0,0,0,0.0,0.0,0.0,0.007687051588657307,Excluded,no_same_sentence_context
40,66,61,66,アールグレイ,レモン,アールグレイ||レモン,2,2,0,0,0,0.02564102564102564,1.3928571428571428,0.030504172970862328,0.012201669188344932,0.4,0.1450353218210361,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.07981051772688409,0.5,0.0,0.0,0.0,0.0,0.0,11,0,0,0,False,False,False,False,,False,0.0,0.0,0.5117340028653191,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,1.3928571428571428,567,509,58,7,16,0.055518291232576934,0.23455235240949526,0.23455235240949526,0.11411374067287591,1,0,0,0,0,0,0.0,0.0,0.0,0.006100834594172466,Excluded,no_same_sentence_context
36,67,62,67,チョコレート,ミント,チョコレート||ミント,2,2,0,0,0,0.02564102564102564,1.3,0.02733173898189265,0.01093269559275706,0.4,0.17548315034578774,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.09562634111721384,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,False,False,False,False,,False,0.0,0.0,0.6192877814601638,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,1.3,567,509,58,5,24,0.018997668997668995,0.3319686316939065,0.3319686316939065,0.07941429457301705,0,0,0,0,0,0,0.0,0.0,0.0,0.00546634779637853,Excluded,no_same_sentence_context
38,69,68,69,パッションフルーツ,ミント,パッションフルーツ||ミント,2,2,0,0,0,0.02564102564102564,0.9285714285714286,0.014642003026013919,0.005856801210405568,0.4,0.17375524861788602,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.09344182262623883,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,False,False,False,False,,False,0.0,0.0,0.6131841488242497,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,0.9285714285714286,567,509,58,7,24,0.015541865541865546,0.3319686316939065,0.3319686316939065,0.07182904592087926,0,0,0,0,0,0,0.0,0.0,0.0,0.002928400605202784,Excluded,no_same_sentence_context
26,70,70,70,バニラ,レモン,バニラ||レモン,2,2,0,0,0,0.02564102564102564,0.75,0.008541168431841452,0.0034164673727365806,0.4,0.21560333744399676,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.11500534052838678,0.5,0.0,0.0,0.0,0.0,0.0,9,0,0,0,False,False,False,False,,False,0.0,0.0,0.7610081579013509,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,0.75,567,509,58,13,16,0.19665432247849826,0.23455235240949526,0.23455235240949526,0.21476902464933637,1,0,0,0,0,0,0.0,0.0,0.0,0.0017082336863682903,Excluded,no_same_sentence_context
29,71,71,71,グレープフルーツ,ミント,グレープフルーツ||ミント,2,2,0,0,0,0.02564102564102564,0.5416666666666666,0.001423528071973574,0.0005694112287894297,0.4,0.2018225516851891,0.1111111111111111,0.011111111111111112,0.022222222222222223,0.10699169823615146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.7123289695263606,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,0.5416666666666666,567,509,58,12,24,0.07167647167647169,0.3319686316939065,0.3319686316939065,0.15425414168535428,0,0,0,0,0,0,0.0,0.0,0.0,0.00028470561439471485,Excluded,no_same_sentence_context
