pair_key,before_rank,after_rank,status
グレープ||ミント,1.0,2.0,common
バニラ||ミルク,2.0,8.0,common
ミント||レモン,6.0,3.0,common
ミルク||メロン,7.0,12.0,common
コニャック||バニラ,8.0,5.0,common
グレープフルーツ||レモン,,1.0,new
ライム||レモン,,4.0,new
アイス||ミント,,6.0,new
ベリー||レモン,,7.0,new
ミント||ライム,,9.0,new
オレンジ||グレープフルーツ,,10.0,new
オレンジ||レモン,,11.0,new
グレープ||ベリー,,13.0,new
グアバ||レモン,,14.0,new
グアバ||グレープフルーツ,,15.0,new
ライチ||レモン,,16.0,new
キャラメル||ココナッツ,,17.0,new
ハニー||ミルク,3.0,,removed
アールグレイ||コニャック,4.0,,removed
アールグレイ||バニラ,5.0,,removed
ココナッツ||ミルク,9.0,,removed
ミルク||ミント,10.0,,removed
バナナ||ミルク,11.0,,removed
グレープミント||ミント,12.0,,removed
グレープ||グレープミント,13.0,,removed
ハニー||メロン,14.0,,removed
ストロベリー||ミルク,15.0,,removed
ミント||メロン,16.0,,removed
ストロベリー||ミント,17.0,,removed
グアバ||パッションフルーツ,18.0,,removed
バナナ||バニラ,19.0,,removed
カルダモンミルク||モヒート,20.0,,removed
