setting,common_candidate_count,spearman_rank_correlation,kendall_rank_correlation
baseline,52,0.9999999999999999,1.0
drop_normalized_support,52,0.9236745496456927,0.8159879336349924
half_normalized_support,52,0.9934261077435328,0.951734539969834
double_normalized_support,52,0.9927431059506531,0.9592760180995475
drop_adjusted_lift,52,0.9214547938188337,0.8250377073906485
half_adjusted_lift,52,0.9872790916076155,0.9321266968325792
double_adjusted_lift,52,0.9801929480064885,0.9019607843137255
drop_normalized_centrality_mean,52,0.8009903525996755,0.6229260935143288
half_normalized_centrality_mean,52,0.9831810808503373,0.9034690799396682
double_normalized_centrality_mean,52,0.9752411850081106,0.8672699849170438
drop_normalized_smoothed_positive_ratio,52,0.9726799282848116,0.9170437405731523
half_normalized_smoothed_positive_ratio,52,0.9935968581917527,0.9607843137254902
double_normalized_smoothed_positive_ratio,52,0.9965849910356014,0.975867269984917
drop_normalized_smoothed_role_ratio,52,0.9951336122257319,0.9819004524886877
half_normalized_smoothed_role_ratio,52,0.9989754973106805,0.9909502262443439
double_normalized_smoothed_role_ratio,52,0.997609493724921,0.9894419306184012
drop_normalized_smoothed_negative_ratio,52,0.9994877486553402,0.995475113122172
half_normalized_smoothed_negative_ratio,52,0.9999146247758901,0.9984917043740573
double_normalized_smoothed_negative_ratio,52,0.9987193716383506,0.9924585218702866
statistics_centered,52,0.9817297020404677,0.9155354449472096
context_centered,52,0.9773755656108597,0.8823529411764706
