setting,pair_key,baseline_rank,setting_rank,baseline_tier,setting_tier,rank_shift,tier_changed
baseline,グレープフルーツ||レモン,1,1,Tier1,Tier1,0,False
baseline,グレープ||ミント,2,2,Tier1,Tier1,0,False
baseline,ミント||レモン,3,3,Tier1,Tier1,0,False
baseline,ライム||レモン,4,4,Tier1,Tier1,0,False
baseline,コニャック||バニラ,5,5,Tier1,Tier1,0,False
baseline,アイス||ミント,6,6,Tier1,Tier1,0,False
baseline,ベリー||レモン,7,7,Tier1,Tier1,0,False
baseline,バニラ||ミルク,8,8,Tier1,Tier1,0,False
baseline,ミント||ライム,9,9,Tier1,Tier1,0,False
baseline,オレンジ||グレープフルーツ,10,10,Tier1,Tier1,0,False
baseline,オレンジ||レモン,11,11,Tier1,Tier1,0,False
baseline,ミルク||メロン,12,12,Tier1,Tier1,0,False
baseline,ミント||ライチ,13,13,Tier2,Tier2,0,False
baseline,グレープ||ベリー,14,14,Tier1,Tier1,0,False
baseline,グアバ||レモン,15,15,Tier1,Tier1,0,False
baseline,グアバ||ミント,16,16,Tier2,Tier2,0,False
baseline,グアバ||グレープフルーツ,17,17,Tier1,Tier1,0,False
baseline,ライチ||レモン,18,18,Tier1,Tier1,0,False
baseline,ベリー||ミント,19,19,Tier2,Tier2,0,False
baseline,キャラメル||ココナッツ,20,20,Tier1,Tier1,0,False
baseline,ダブルアップル||リコリス,21,21,Tier2,Tier2,0,False
baseline,バニラ||ミント,22,22,Tier2,Tier2,0,False
baseline,オレンジ||グアバ,23,23,Tier2,Tier2,0,False
baseline,ダブルアップル||ミント,24,24,Tier2,Tier2,0,False
baseline,ガムシナモン||バブルガム,25,25,Tier2,Tier2,0,False
baseline,ジャスミン||ミント,26,26,Tier2,Tier2,0,False
baseline,グレープフルーツ||ライム,27,27,Tier2,Tier2,0,False
baseline,バナナ||ミルク,28,28,Tier2,Tier2,0,False
baseline,ツーアップル||リコリス,29,29,Tier2,Tier2,0,False
baseline,カルダモン||レモン,30,30,Tier2,Tier2,0,False
baseline,キャラメル||バニラ,31,31,Tier2,Tier2,0,False
baseline,グアバ||ダブルアップル,32,32,Tier2,Tier2,0,False
baseline,ダブルアップル||ツーアップル,33,33,Tier2,Tier2,0,False
baseline,グアバ||リコリス,34,34,Tier2,Tier2,0,False
baseline,グアバ||ブルーベリー,35,35,Tier2,Tier2,0,False
baseline,グアバ||ベリー,36,36,Tier2,Tier2,0,False
baseline,グアバ||パイナップル,37,37,Tier2,Tier2,0,False
baseline,ジャスミン||ダブルアップル,38,38,Tier2,Tier2,0,False
baseline,グアバ||パッションフルーツ,39,39,Tier2,Tier2,0,False
baseline,ゴールデンデリシャスアップル||ダブルアップル,40,40,Tier2,Tier2,0,False
baseline,カルダモン||チェリー,41,41,Tier2,Tier2,0,False
baseline,キウイ||ピーチ,42,42,Tier2,Tier2,0,False
baseline,ハニー||ミルク,43,43,Tier2,Tier2,0,False
baseline,ココナッツ||ハニー,44,44,Tier2,Tier2,0,False
baseline,グレープフルーツ||ライチ,45,45,Tier2,Tier2,0,False
baseline,シガー||チョコレート,46,46,Tier2,Tier2,0,False
baseline,オレンジ||ベリー,47,47,Tier2,Tier2,0,False
baseline,ピーチ||マンゴー,48,48,Tier2,Tier2,0,False
baseline,アイス||ライチ,49,49,Tier2,Tier2,0,False
baseline,アイス||オレンジ,50,50,Tier2,Tier2,0,False
baseline,オレンジ||ライチ,51,51,Tier2,Tier2,0,False
baseline,グレープ||ライム,52,52,Tier2,Tier2,0,False
drop_normalized_support,グレープフルーツ||レモン,1,1,Tier1,Tier1,0,False
drop_normalized_support,ライム||レモン,4,2,Tier1,Tier1,-2,False
drop_normalized_support,アイス||ミント,6,3,Tier1,Tier1,-3,False
drop_normalized_support,ベリー||レモン,7,4,Tier1,Tier1,-3,False
drop_normalized_support,バニラ||ミルク,8,5,Tier1,Tier1,-3,False
drop_normalized_support,ミント||レモン,3,6,Tier1,Tier1,3,False
drop_normalized_support,ミルク||メロン,12,7,Tier1,Tier1,-5,False
drop_normalized_support,グレープ||ベリー,14,8,Tier1,Tier1,-6,False
drop_normalized_support,バニラ||ミント,22,9,Tier2,Tier2,-13,False
drop_normalized_support,グアバ||レモン,15,10,Tier1,Tier1,-5,False
drop_normalized_support,ミント||ライム,9,11,Tier1,Tier1,2,False
drop_normalized_support,グレープ||ミント,2,12,Tier1,Tier1,10,False
drop_normalized_support,グアバ||ミント,16,13,Tier2,Tier2,-3,False
drop_normalized_support,コニャック||バニラ,5,14,Tier1,Tier1,9,False
drop_normalized_support,オレンジ||レモン,11,15,Tier1,Tier1,4,False
drop_normalized_support,ライチ||レモン,18,16,Tier1,Tier1,-2,False
drop_normalized_support,ダブルアップル||ミント,24,17,Tier2,Tier2,-7,False
drop_normalized_support,ベリー||ミント,19,18,Tier2,Tier2,-1,False
drop_normalized_support,ガムシナモン||バブルガム,25,19,Tier2,Tier2,-6,False
drop_normalized_support,ミント||ライチ,13,20,Tier2,Tier2,7,False
drop_normalized_support,ジャスミン||ミント,26,21,Tier2,Tier2,-5,False
drop_normalized_support,ツーアップル||リコリス,29,22,Tier2,Tier2,-7,False
drop_normalized_support,キャラメル||ココナッツ,20,23,Tier1,Tier1,3,False
drop_normalized_support,ダブルアップル||リコリス,21,24,Tier2,Tier2,3,False
drop_normalized_support,オレンジ||グレープフルーツ,10,25,Tier1,Tier1,15,False
drop_normalized_support,カルダモン||レモン,30,26,Tier2,Tier2,-4,False
