setting,k,common_pair_count,jaccard,baseline_only,variant_only
baseline,10,10,1.0,,
baseline,20,20,1.0,,
baseline,50,50,1.0,,
drop_normalized_support,10,6,0.42857142857142855,オレンジ||グレープフルーツ | グレープ||ミント | コニャック||バニラ | ミント||ライム,グアバ||レモン | グレープ||ベリー | バニラ||ミント | ミルク||メロン
drop_normalized_support,20,17,0.7391304347826086,オレンジ||グレープフルーツ | キャラメル||ココナッツ | グアバ||グレープフルーツ,ガムシナモン||バブルガム | ダブルアップル||ミント | バニラ||ミント
drop_normalized_support,50,50,1.0,,
half_normalized_support,10,9,0.8181818181818182,オレンジ||グレープフルーツ,ミルク||メロン
half_normalized_support,20,19,0.9047619047619048,グアバ||グレープフルーツ,バニラ||ミント
half_normalized_support,50,50,1.0,,
double_normalized_support,10,8,0.6666666666666666,バニラ||ミルク | ベリー||レモン,オレンジ||レモン | ミント||ライチ
double_normalized_support,20,20,1.0,,
double_normalized_support,50,50,1.0,,
drop_adjusted_lift,10,10,1.0,,
drop_adjusted_lift,20,19,0.9047619047619048,キャラメル||ココナッツ,バニラ||ミント
drop_adjusted_lift,50,48,0.9230769230769231,ガムシナモン||バブルガム | ツーアップル||リコリス,オレンジ||ライチ | グレープ||ライム
half_adjusted_lift,10,10,1.0,,
half_adjusted_lift,20,19,0.9047619047619048,キャラメル||ココナッツ,バニラ||ミント
half_adjusted_lift,50,48,0.9230769230769231,アイス||ライチ | ピーチ||マンゴー,オレンジ||ライチ | グレープ||ライム
double_adjusted_lift,10,10,1.0,,
double_adjusted_lift,20,18,0.8181818181818182,ベリー||ミント | ライチ||レモン,ガムシナモン||バブルガム | ダブルアップル||リコリス
double_adjusted_lift,50,50,1.0,,
drop_normalized_centrality_mean,10,8,0.6666666666666666,ベリー||レモン | ミント||ライム,グレープ||ベリー | ミルク||メロン
drop_normalized_centrality_mean,20,18,0.8181818181818182,グアバ||ミント | ベリー||ミント,ガムシナモン||バブルガム | ダブルアップル||リコリス
drop_normalized_centrality_mean,50,48,0.9230769230769231,ダブルアップル||ミント | バニラ||ミント,オレンジ||ライチ | グレープ||ライム
half_normalized_centrality_mean,10,9,0.8181818181818182,ミント||ライム,ミルク||メロン
half_normalized_centrality_mean,20,19,0.9047619047619048,ベリー||ミント,ダブルアップル||リコリス
half_normalized_centrality_mean,50,50,1.0,,
double_normalized_centrality_mean,10,9,0.8181818181818182,オレンジ||グレープフルーツ,グアバ||ミント
double_normalized_centrality_mean,20,19,0.9047619047619048,キャラメル||ココナッツ,バニラ||ミント
double_normalized_centrality_mean,50,48,0.9230769230769231,アイス||ライチ | ピーチ||マンゴー,オレンジ||ライチ | グレープ||ライム
drop_normalized_smoothed_positive_ratio,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | ミルク||メロン | ミント||ライチ
drop_normalized_smoothed_positive_ratio,20,18,0.8181818181818182,キャラメル||ココナッツ | グレープ||ベリー,ダブルアップル||リコリス | バニラ||ミント
drop_normalized_smoothed_positive_ratio,50,50,1.0,,
half_normalized_smoothed_positive_ratio,10,8,0.6666666666666666,バニラ||ミルク | ベリー||レモン,オレンジ||レモン | ミント||ライチ
half_normalized_smoothed_positive_ratio,20,19,0.9047619047619048,キャラメル||ココナッツ,ダブルアップル||リコリス
half_normalized_smoothed_positive_ratio,50,50,1.0,,
double_normalized_smoothed_positive_ratio,10,9,0.8181818181818182,オレンジ||グレープフルーツ,グレープ||ベリー
double_normalized_smoothed_positive_ratio,20,20,1.0,,
double_normalized_smoothed_positive_ratio,50,50,1.0,,
drop_normalized_smoothed_role_ratio,10,10,1.0,,
drop_normalized_smoothed_role_ratio,20,19,0.9047619047619048,ミルク||メロン,ダブルアップル||リコリス
drop_normalized_smoothed_role_ratio,50,50,1.0,,
half_normalized_smoothed_role_ratio,10,10,1.0,,
half_normalized_smoothed_role_ratio,20,19,0.9047619047619048,キャラメル||ココナッツ,ダブルアップル||リコリス
half_normalized_smoothed_role_ratio,50,50,1.0,,
double_normalized_smoothed_role_ratio,10,9,0.8181818181818182,オレンジ||グレープフルーツ,ミルク||メロン
double_normalized_smoothed_role_ratio,20,20,1.0,,
double_normalized_smoothed_role_ratio,50,50,1.0,,
drop_normalized_smoothed_negative_ratio,10,10,1.0,,
drop_normalized_smoothed_negative_ratio,20,20,1.0,,
drop_normalized_smoothed_negative_ratio,50,50,1.0,,
half_normalized_smoothed_negative_ratio,10,10,1.0,,
half_normalized_smoothed_negative_ratio,20,20,1.0,,
half_normalized_smoothed_negative_ratio,50,50,1.0,,
double_normalized_smoothed_negative_ratio,10,10,1.0,,
double_normalized_smoothed_negative_ratio,20,19,0.9047619047619048,グアバ||グレープフルーツ,ダブルアップル||リコリス
double_normalized_smoothed_negative_ratio,50,50,1.0,,
statistics_centered,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | グアバ||ミント | ミント||ライチ
statistics_centered,20,18,0.8181818181818182,キャラメル||ココナッツ | グレープ||ベリー,ダブルアップル||リコリス | バニラ||ミント
statistics_centered,50,49,0.9607843137254902,アイス||ライチ,オレンジ||ライチ
context_centered,10,8,0.6666666666666666,オレンジ||グレープフルーツ | コニャック||バニラ,グレープ||ベリー | ミルク||メロン
context_centered,20,19,0.9047619047619048,グアバ||グレープフルーツ,バニラ||ミント
context_centered,50,49,0.9607843137254902,アイス||ライチ,オレンジ||ライチ
