setting,context_mode,tier1_pair_min,tier1_doc_min,retained_candidate_count,tier1_count,tier2_count,spearman_rank_correlation,kendall_rank_correlation,lagos_common_pair_count,same_sentence_evidence_sum,evidence_rows_after_dedup_sum,low_review_dependency_pair_count,template_suspected_pair_count,product_or_parent_child_exclusion_count,manual_valid_retained_any_rank,manual_valid_retained_tier1,manual_invalid_retained_any_rank,manual_invalid_retained_tier1
same_sentence_required_pair2_doc1,same_sentence_required,2,1,52,52,0,0.9608981473576368,0.8974358974358975,17,89,26468,28,19,3,8,8,0,0
same_sentence_required_pair2_doc2,same_sentence_required,2,2,52,23,29,0.9503116195680013,0.9004524886877828,17,89,26468,28,19,3,8,8,0,0
same_sentence_required_pair2_doc3,same_sentence_required,2,3,52,7,45,0.962947152736276,0.9034690799396682,17,89,26468,28,19,3,8,6,0,0
same_sentence_required_pair3_doc1,same_sentence_required,3,1,52,24,28,0.9942798599846323,0.9638009049773756,17,89,26468,28,19,3,8,8,0,0
same_sentence_required_pair3_doc2,same_sentence_required,3,2,52,17,35,0.9999999999999999,1.0,17,89,26468,28,19,3,8,8,0,0
same_sentence_required_pair3_doc3,same_sentence_required,3,3,52,7,45,0.962947152736276,0.9034690799396682,17,89,26468,28,19,3,8,6,0,0
same_sentence_required_pair4_doc1,same_sentence_required,4,1,52,10,42,0.962434901391616,0.9019607843137255,17,89,26468,28,19,3,8,6,0,0
same_sentence_required_pair4_doc2,same_sentence_required,4,2,52,9,43,0.9632032784086058,0.9064856711915535,17,89,26468,28,19,3,8,6,0,0
same_sentence_required_pair4_doc3,same_sentence_required,4,3,52,7,45,0.962947152736276,0.9034690799396682,17,89,26468,28,19,3,8,6,0,0
same_sentence_required_pair5_doc1,same_sentence_required,5,1,52,6,46,0.962605651839836,0.9004524886877828,17,89,26468,28,19,3,8,6,0,0
same_sentence_required_pair5_doc2,same_sentence_required,5,2,52,6,46,0.962605651839836,0.9004524886877828,17,89,26468,28,19,3,8,6,0,0
same_sentence_required_pair5_doc3,same_sentence_required,5,3,52,6,46,0.962605651839836,0.9004524886877828,17,89,26468,28,19,3,8,6,0,0
same_sentence_preferred_fallback_pair2_doc1,same_sentence_preferred_fallback,2,1,58,58,0,0.9608981473576368,0.8974358974358975,18,89,29522,34,23,3,8,8,0,0
same_sentence_preferred_fallback_pair2_doc2,same_sentence_preferred_fallback,2,2,58,29,29,0.9503116195680013,0.9004524886877828,18,89,29522,34,23,3,8,8,0,0
same_sentence_preferred_fallback_pair2_doc3,same_sentence_preferred_fallback,2,3,58,7,51,0.962947152736276,0.9034690799396682,18,89,29522,34,23,3,8,6,0,0
same_sentence_preferred_fallback_pair3_doc1,same_sentence_preferred_fallback,3,1,58,24,34,0.9942798599846323,0.9638009049773756,18,89,29522,34,23,3,8,8,0,0
same_sentence_preferred_fallback_pair3_doc2,same_sentence_preferred_fallback,3,2,58,17,41,0.9999999999999999,1.0,18,89,29522,34,23,3,8,8,0,0
same_sentence_preferred_fallback_pair3_doc3,same_sentence_preferred_fallback,3,3,58,7,51,0.962947152736276,0.9034690799396682,18,89,29522,34,23,3,8,6,0,0
same_sentence_preferred_fallback_pair4_doc1,same_sentence_preferred_fallback,4,1,58,10,48,0.962434901391616,0.9019607843137255,18,89,29522,34,23,3,8,6,0,0
same_sentence_preferred_fallback_pair4_doc2,same_sentence_preferred_fallback,4,2,58,9,49,0.9632032784086058,0.9064856711915535,18,89,29522,34,23,3,8,6,0,0
same_sentence_preferred_fallback_pair4_doc3,same_sentence_preferred_fallback,4,3,58,7,51,0.962947152736276,0.9034690799396682,18,89,29522,34,23,3,8,6,0,0
same_sentence_preferred_fallback_pair5_doc1,same_sentence_preferred_fallback,5,1,58,6,52,0.962605651839836,0.9004524886877828,18,89,29522,34,23,3,8,6,0,0
same_sentence_preferred_fallback_pair5_doc2,same_sentence_preferred_fallback,5,2,58,6,52,0.962605651839836,0.9004524886877828,18,89,29522,34,23,3,8,6,0,0
same_sentence_preferred_fallback_pair5_doc3,same_sentence_preferred_fallback,5,3,58,6,52,0.962605651839836,0.9004524886877828,18,89,29522,34,23,3,8,6,0,0
