setting,context_mode,tier1_pair_min,tier1_doc_min,lagos_common_pair_count,lagos_common_rate
same_sentence_required_pair2_doc1,same_sentence_required,2,1,17,0.3269230769230769
same_sentence_required_pair2_doc2,same_sentence_required,2,2,17,0.3269230769230769
same_sentence_required_pair2_doc3,same_sentence_required,2,3,17,0.3269230769230769
same_sentence_required_pair3_doc1,same_sentence_required,3,1,17,0.3269230769230769
same_sentence_required_pair3_doc2,same_sentence_required,3,2,17,0.3269230769230769
same_sentence_required_pair3_doc3,same_sentence_required,3,3,17,0.3269230769230769
same_sentence_required_pair4_doc1,same_sentence_required,4,1,17,0.3269230769230769
same_sentence_required_pair4_doc2,same_sentence_required,4,2,17,0.3269230769230769
same_sentence_required_pair4_doc3,same_sentence_required,4,3,17,0.3269230769230769
same_sentence_required_pair5_doc1,same_sentence_required,5,1,17,0.3269230769230769
same_sentence_required_pair5_doc2,same_sentence_required,5,2,17,0.3269230769230769
same_sentence_required_pair5_doc3,same_sentence_required,5,3,17,0.3269230769230769
same_sentence_preferred_fallback_pair2_doc1,same_sentence_preferred_fallback,2,1,18,0.3103448275862069
same_sentence_preferred_fallback_pair2_doc2,same_sentence_preferred_fallback,2,2,18,0.3103448275862069
same_sentence_preferred_fallback_pair2_doc3,same_sentence_preferred_fallback,2,3,18,0.3103448275862069
same_sentence_preferred_fallback_pair3_doc1,same_sentence_preferred_fallback,3,1,18,0.3103448275862069
same_sentence_preferred_fallback_pair3_doc2,same_sentence_preferred_fallback,3,2,18,0.3103448275862069
same_sentence_preferred_fallback_pair3_doc3,same_sentence_preferred_fallback,3,3,18,0.3103448275862069
same_sentence_preferred_fallback_pair4_doc1,same_sentence_preferred_fallback,4,1,18,0.3103448275862069
same_sentence_preferred_fallback_pair4_doc2,same_sentence_preferred_fallback,4,2,18,0.3103448275862069
same_sentence_preferred_fallback_pair4_doc3,same_sentence_preferred_fallback,4,3,18,0.3103448275862069
same_sentence_preferred_fallback_pair5_doc1,same_sentence_preferred_fallback,5,1,18,0.3103448275862069
same_sentence_preferred_fallback_pair5_doc2,same_sentence_preferred_fallback,5,2,18,0.3103448275862069
same_sentence_preferred_fallback_pair5_doc3,same_sentence_preferred_fallback,5,3,18,0.3103448275862069
document_only_pair2_doc1,document_only,2,1,24,0.34782608695652173
document_only_pair2_doc2,document_only,2,2,24,0.34782608695652173
document_only_pair2_doc3,document_only,2,3,24,0.34782608695652173
document_only_pair3_doc1,document_only,3,1,24,0.34782608695652173
document_only_pair3_doc2,document_only,3,2,24,0.34782608695652173
document_only_pair3_doc3,document_only,3,3,24,0.34782608695652173
document_only_pair4_doc1,document_only,4,1,24,0.34782608695652173
document_only_pair4_doc2,document_only,4,2,24,0.34782608695652173
document_only_pair4_doc3,document_only,4,3,24,0.34782608695652173
document_only_pair5_doc1,document_only,5,1,24,0.34782608695652173
document_only_pair5_doc2,document_only,5,2,24,0.34782608695652173
document_only_pair5_doc3,document_only,5,3,24,0.34782608695652173
