setting,context_mode,tier1_pair_min,tier1_doc_min,k,common_pair_count,jaccard,baseline_only,variant_only
same_sentence_required_pair2_doc1,same_sentence_required,2,1,10,9,0.8181818181818182,オレンジ||グレープフルーツ,ミント||ライチ
same_sentence_required_pair2_doc1,same_sentence_required,2,1,20,17,0.7391304347826086,キャラメル||ココナッツ | グアバ||グレープフルーツ | ライチ||レモン,キャラメル||バニラ | ダブルアップル||リコリス | バニラ||ミント
same_sentence_required_pair2_doc1,same_sentence_required,2,1,50,49,0.9607843137254902,アイス||オレンジ,オレンジ||ライチ
same_sentence_required_pair2_doc2,same_sentence_required,2,2,10,10,1.0,,
same_sentence_required_pair2_doc2,same_sentence_required,2,2,20,20,1.0,,
same_sentence_required_pair2_doc2,same_sentence_required,2,2,50,50,1.0,,
same_sentence_required_pair2_doc3,same_sentence_required,2,3,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | グアバ||ミント | ミント||ライチ
same_sentence_required_pair2_doc3,same_sentence_required,2,3,20,17,0.7391304347826086,キャラメル||ココナッツ | グレープ||ベリー | ミルク||メロン,オレンジ||グアバ | ダブルアップル||リコリス | バニラ||ミント
same_sentence_required_pair2_doc3,same_sentence_required,2,3,50,50,1.0,,
same_sentence_required_pair3_doc1,same_sentence_required,3,1,10,9,0.8181818181818182,オレンジ||グレープフルーツ,ミント||ライチ
same_sentence_required_pair3_doc1,same_sentence_required,3,1,20,19,0.9047619047619048,キャラメル||ココナッツ,ダブルアップル||リコリス
same_sentence_required_pair3_doc1,same_sentence_required,3,1,50,50,1.0,,
same_sentence_required_pair3_doc2,same_sentence_required,3,2,10,10,1.0,,
same_sentence_required_pair3_doc2,same_sentence_required,3,2,20,20,1.0,,
same_sentence_required_pair3_doc2,same_sentence_required,3,2,50,50,1.0,,
same_sentence_required_pair3_doc3,same_sentence_required,3,3,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | グアバ||ミント | ミント||ライチ
same_sentence_required_pair3_doc3,same_sentence_required,3,3,20,17,0.7391304347826086,キャラメル||ココナッツ | グレープ||ベリー | ミルク||メロン,オレンジ||グアバ | ダブルアップル||リコリス | バニラ||ミント
same_sentence_required_pair3_doc3,same_sentence_required,3,3,50,50,1.0,,
same_sentence_required_pair4_doc1,same_sentence_required,4,1,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | グアバ||ミント | ミント||ライチ
same_sentence_required_pair4_doc1,same_sentence_required,4,1,20,17,0.7391304347826086,キャラメル||ココナッツ | グレープ||ベリー | ミルク||メロン,オレンジ||グアバ | ダブルアップル||リコリス | バニラ||ミント
same_sentence_required_pair4_doc1,same_sentence_required,4,1,50,50,1.0,,
same_sentence_required_pair4_doc2,same_sentence_required,4,2,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | グアバ||ミント | ミント||ライチ
same_sentence_required_pair4_doc2,same_sentence_required,4,2,20,17,0.7391304347826086,キャラメル||ココナッツ | グレープ||ベリー | ミルク||メロン,オレンジ||グアバ | ダブルアップル||リコリス | バニラ||ミント
same_sentence_required_pair4_doc2,same_sentence_required,4,2,50,50,1.0,,
same_sentence_required_pair4_doc3,same_sentence_required,4,3,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | グアバ||ミント | ミント||ライチ
same_sentence_required_pair4_doc3,same_sentence_required,4,3,20,17,0.7391304347826086,キャラメル||ココナッツ | グレープ||ベリー | ミルク||メロン,オレンジ||グアバ | ダブルアップル||リコリス | バニラ||ミント
same_sentence_required_pair4_doc3,same_sentence_required,4,3,50,50,1.0,,
same_sentence_required_pair5_doc1,same_sentence_required,5,1,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | グアバ||グレープフルーツ | ミント||ライチ
same_sentence_required_pair5_doc1,same_sentence_required,5,1,20,17,0.7391304347826086,キャラメル||ココナッツ | グレープ||ベリー | ミルク||メロン,オレンジ||グアバ | ダブルアップル||リコリス | バニラ||ミント
same_sentence_required_pair5_doc1,same_sentence_required,5,1,50,50,1.0,,
same_sentence_required_pair5_doc2,same_sentence_required,5,2,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | グアバ||グレープフルーツ | ミント||ライチ
same_sentence_required_pair5_doc2,same_sentence_required,5,2,20,17,0.7391304347826086,キャラメル||ココナッツ | グレープ||ベリー | ミルク||メロン,オレンジ||グアバ | ダブルアップル||リコリス | バニラ||ミント
same_sentence_required_pair5_doc2,same_sentence_required,5,2,50,50,1.0,,
same_sentence_required_pair5_doc3,same_sentence_required,5,3,10,7,0.5384615384615384,アイス||ミント | バニラ||ミルク | ベリー||レモン,オレンジ||レモン | グアバ||グレープフルーツ | ミント||ライチ
same_sentence_required_pair5_doc3,same_sentence_required,5,3,20,17,0.7391304347826086,キャラメル||ココナッツ | グレープ||ベリー | ミルク||メロン,オレンジ||グアバ | ダブルアップル||リコリス | バニラ||ミント
