feature,tier1_mean,tier2_mean,tier1_median,tier2_median,mean_difference,median_difference
pair_count,4.117647058823529,2.2285714285714286,4.0,2.0,1.8890756302521003,2.0
document_cooccurrence_count,4.117647058823529,2.2285714285714286,4.0,2.0,1.8890756302521003,2.0
support,0.05279034690799392,0.028571428571428522,0.0512820512820512,0.0256410256410256,0.024218918336565396,0.0256410256410256
lift,2.8844410491469317,5.736448876520305,2.1666666666666665,3.12,-2.8520078273733738,-0.9533333333333336
adjusted_lift,0.06280448167091768,0.07226711098349518,0.0455528983031544,0.0375811411001023,-0.009462629312577506,0.007971757203052099
centrality_mean,0.12532146323355112,0.07136953734677436,0.1301521890807605,0.0401542190003728,0.05395192588677676,0.08999797008038771
smoothed_positive_ratio,0.13762838468720814,0.09333333333333332,0.0666666666666666,0.0833333333333333,0.04429505135387482,-0.016666666666666705
smoothed_negative_ratio,0.015709617180205353,0.008047619047619008,0.0066666666666666,0.0083333333333333,0.007661998132586344,-0.0016666666666667
smoothed_role_ratio,0.030929038281979432,0.016095238095238034,0.0133333333333333,0.0166666666666666,0.014833800186741398,-0.003333333333333301
overall_score_v2,0.282576673597217,0.06982371295408513,0.2588751746011315,0.0522155952193889,0.21275296064313187,0.20665957938174262
same_sentence_evidence_document_count,2.823529411764706,1.1714285714285715,2.0,1.0,1.6521008403361346,1.0
distinct_source_count,4.117647058823529,2.2285714285714286,4.0,2.0,1.8890756302521003,2.0
evidence_duplication_rate,0.10229276895943562,0.1022927689594356,0.10229276895943562,0.10229276895943562,1.3877787807814457e-17,0.0
