article_id,article_url,article_title,main_text_length,outlier_reason
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,1695,top_5
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,Al Fakherココナッツのフレーバーレビュー|特徴やおすすめミックスなど,1410,bottom_5
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,Al Fakherマンゴーのフレーバーレビュー|特徴やおすすめミックスをご紹介,1734,top_5
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,Al Fakherグレープフルーツのフレーバーレビュー|特徴やおすすめミックスなど,1634,top_5
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,Al Fakherメロンのフレーバーレビュー|特徴やおすすめミックスなど,1322,bottom_5
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,Al Fakherグレナデンのフレーバーレビュー|特徴やおすすめミックスなど,1969,top_5
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,Al Fakherキウイのフレーバーレビュー|特徴やおすすめミックスなどをご紹介,1495,bottom_5
lagos_af-peach-review,https://shisha-lagos.com/af-peach-review/,Al Fakherピーチのフレーバーレビュー|特徴やおすすめミックスなどをご紹介,1782,top_5
lagos_af-blueberry-review,https://shisha-lagos.com/af-blueberry-review/,Al Fakherブルーベリーのフレーバーレビュー|特徴やおすすめミックスなど,1235,bottom_5
lagos_af-strawberry-review,https://shisha-lagos.com/af-strawberry-review/,Al Fakherストロベリーのフレーバーレビュー|特徴やおすすめミックスなど,1188,bottom_5
