existing_rank,flavor_a,flavor_b,pair_count,support,lift,adjusted_lift,centrality_mean,pos_ratio,neg_ratio,role_ratio,overall_score_v2,tier,LAGOS出現記事数,LAGOS出現行数,LAGOS記事URL,target_flavor,recommended_flavor,source_text,directed_pair,mix_pair_key
1,グレープフルーツ,レモン,6,0.0769230769230769,2.4375,0.0661940553467712,0.1531144120429834,0.2916666666666667,0.0041666666666666,0.1333333333333333,0.5315670884194031,Tier1,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,レモン,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ,グレープフルーツ -> レモン,グレープフルーツ||レモン
3,ミント,レモン,6,0.0769230769230769,1.21875,0.0245558592415441,0.2832604920517009,0.0555555555555555,0.0055555555555555,0.0111111111111111,0.4261717649546133,Tier1,1,1,https://shisha-lagos.com/af-mint-review/,ミント,レモン,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,ミント -> レモン,ミント||レモン
8,バニラ,ミルク,3,0.0384615384615384,1.6363636363636365,0.0232940957232039,0.1310573278979872,0.2666666666666666,0.0066666666666666,0.0133333333333333,0.2609644170242811,Tier1,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,ミルク,ミルク/コーヒー キャラメル ミルクティ,バニラ -> ミルク,バニラ||ミルク
9,ミント,ライム,4,0.0512820512820512,1.625,0.0307482063546292,0.1788603287229661,0.0666666666666666,0.0066666666666666,0.0133333333333333,0.2588751746011315,Tier1,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ライム,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,ミント -> ライム,ミント||ライム
10,オレンジ,グレープフルーツ,5,0.0641025641025641,3.25,0.0939528527502559,0.0486920486920487,0.0476190476190476,0.0047619047619047,0.0095238095238095,0.25588367224842,Tier1,2,2,https://shisha-lagos.com/af-grapefruit-review/ | https://shisha-lagos.com/af-orange-review/,オレンジ | グレープフルーツ,オレンジ | グレープフルーツ,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,オレンジ -> グレープフルーツ | グレープフルーツ -> オレンジ,オレンジ||グレープフルーツ
11,オレンジ,レモン,4,0.0512820512820512,1.95,0.0396310215237443,0.1301299890585605,0.0666666666666666,0.0066666666666666,0.0133333333333333,0.2352756520403728,Tier1,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,レモン,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,オレンジ -> レモン,オレンジ||レモン
12,ミルク,メロン,3,0.0384615384615384,5.318181818181818,0.0987669658663848,0.0341870431156145,0.0666666666666666,0.0066666666666666,0.2133333333333333,0.2322550079276882,Tier1,1,1,https://shisha-lagos.com/af-melon-review/,メロン,ミルク,バニラ/ミルク キャラメル,メロン -> ミルク,ミルク||メロン
13,ミント,ライチ,4,0.0512820512820512,1.625,0.0307482063546292,0.1738514487140861,0.0833333333333333,0.0083333333333333,0.0166666666666666,0.2219066565403427,Tier2,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ライチ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,ミント -> ライチ,ミント||ライチ
16,グアバ,ミント,3,0.0384615384615384,0.8125,0.006405876323881,0.2399801002822981,0.0833333333333333,0.0083333333333333,0.0166666666666666,0.1901415959870705,Tier2,1,1,https://shisha-lagos.com/af-mint-review/,ミント,グアバ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,ミント -> グアバ,グアバ||ミント
17,グアバ,グレープフルーツ,4,0.0512820512820512,2.1666666666666665,0.0455528983031544,0.1098340202735806,0.0555555555555555,0.1722222222222222,0.0111111111111111,0.1718959295060499,Tier1,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,グアバ,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ,グレープフルーツ -> グアバ,グアバ||グレープフルーツ
20,キャラメル,ココナッツ,3,0.0384615384615384,7.8,0.1496412709258622,0.0248622714282054,0.0666666666666666,0.0066666666666666,0.0133333333333333,0.1462827666789222,Tier1,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,キャラメル,バニラ/ミルク キャラメル/コーヒー チョコレート,ココナッツ -> キャラメル,キャラメル||ココナッツ
22,バニラ,ミント,2,0.0256410256410256,0.5,0.0,0.2643114770862024,0.0833333333333333,0.0083333333333333,0.0166666666666666,0.1399596871487919,Tier2,1,1,https://shisha-lagos.com/af-mint-review/,ミント,バニラ,バニラ/ミルク チョコレート,ミント -> バニラ,バニラ||ミント
23,オレンジ,グアバ,3,0.0384615384615384,1.95,0.0297232661428082,0.0868495972891577,0.0833333333333333,0.0083333333333333,0.0166666666666666,0.1148333138651012,Tier2,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,グアバ,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,オレンジ -> グアバ,オレンジ||グアバ
26,ジャスミン,ミント,2,0.0256410256410256,2.1666666666666665,0.0227764491515772,0.1734601733228107,0.0833333333333333,0.0083333333333333,0.0166666666666666,0.097515386205949,Tier2,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ジャスミン,シナモン アールグレイ カルダモン ローズ ジャスミン,ミント -> ジャスミン,ジャスミン||ミント
31,キャラメル,バニラ,2,0.0256410256410256,2.4,0.025965152032798,0.1106764877369272,0.3333333333333333,0.0083333333333333,0.0166666666666666,0.0650460387649238,Tier2,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,キャラメル,ミルク/コーヒー キャラメル ミルクティ,バニラ -> キャラメル,キャラメル||バニラ
35,グアバ,ブルーベリー,2,0.0256410256410256,4.333333333333333,0.0523858330486275,0.0739957844353448,0.0833333333333333,0.0083333333333333,0.0166666666666666,0.0522155952193889,Tier2,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,グアバ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ,ブルーベリー -> グアバ,グアバ||ブルーベリー
