raw表記,正規化候補,target側出現行数,recommended側出現行数,合計出現行数,出現記事数,出現記事URL,source_text,既存辞書に類似表記があるか,類似表記,完全な新規語か,一般的なフレーバー名か,ブランド名・カテゴリ名・説明語の可能性,辞書追加候補,要人手確認,判断理由
すいか,デクラウド スイカ,0,1,1,1,https://shisha-lagos.com/af-vanilla-review/,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ,no,,yes,yes,low: ひらがな表記ゆれ,保守的候補,yes,カタカナの「スイカ」と同義の表記ゆれとして扱える可能性が高い。
ゆず,デクラウド ゆず,0,2,2,2,https://shisha-lagos.com/af-mango-review/ | https://shisha-lagos.com/af-mint-review/,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ || レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,yes,ゆず | デクラウド ゆず,no,yes,low: 2文字語のため既存抽出条件で漏れている可能性,保守的候補,yes,既存マスタ内に近い表記があり、短語フィルタの影響で未解決になっている可能性が高い。
りんご,,0,1,1,1,https://shisha-lagos.com/af-orange-review/,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,no,,yes,yes,medium: アップル系候補が複数あり単純対応不可,見送り,yes,既存マスタではレッドアップル、グリーンアップル、ツーアップルなど複数候補に分岐する。
グレナデン,,17,5,22,6,https://shisha-lagos.com/af-grapefruit-review/ | https://shisha-lagos.com/af-grenadine-review/ | https://shisha-lagos.com/af-kiwi-review/ | https://shisha-lagos.com/af-orange-review/ | https://shisha-lagos.com/af-peach-review/ | https://shisha-lagos.com/af-strawberry-review/,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン || レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ || ブルーベリー/ラズベリー キウイ/チェリー ストロベリー/レモン パッションフルーツ ライチ/グレープフルーツ オレンジ/ピーチ || ミルク/ハニー || カルダモン/アールグレイ シナモン/ローズ || レモン/ライム グレナデン/グレープ パッションフルーツ グアバ || マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ || ブルーベリー/ラズベリー ココナッツ/グレナデン ライチ(Afzal),no,,yes,yes,high: ザクロ系の意味対応か独立語か要確認,見送り,yes,既存マスタに同表記がなく、ザクロ系への意味対応を仮定する必要があるため保留。
コーヒー,デクラウド コーヒー,0,2,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-vanilla-review/,バニラ/ミルク キャラメル/コーヒー チョコレート || ミルク/コーヒー キャラメル ミルクティ,yes,カルダモンコーヒー | コーヒーミルク - Debaj (デバジ)50g シーシャフレーバー | デクラウド コーヒー,no,yes,medium: コーヒーミルク等との区別が必要,保守的候補,yes,既存マスタに近い単体コーヒー表記があるが、ミルク入り候補との混同余地がある。
スイカ,デクラウド スイカ,10,1,11,2,https://shisha-lagos.com/af-melon-review/ | https://shisha-lagos.com/af-watermelon-review/,レモン/オレンジ ライム/グアバ メロン/マンゴー || バニラ チョコレート || カルダモン シナモン || スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー,yes,Watermelon(ウォーターメロン/スイカ) | デクラウド スイカ,no,yes,low: 一般的な味名,保守的候補,yes,既存マスタに近いスイカ表記が存在し、記事タイトル由来ターゲット語としても自然。
チャイ,スパイスドチャイ,0,1,1,1,https://shisha-lagos.com/af-vanilla-review/,チャイ/シナモン カルダモン アールグレイ ローズ,yes,スパイスドチャイ | チャイニーズメロン,no,yes,medium: 修飾語付き商品の省略形の可能性,拡張候補,yes,チャイ系味名として自然だが、既存マスタでは修飾付きの別商品名が近い。
パイン,デクラウド パイナップル,0,4,4,4,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-mango-review/ | https://shisha-lagos.com/af-mint-review/ | https://shisha-lagos.com/af-orange-review/,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン || ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ || レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,no,,yes,yes,medium: 省略形からパイナップルへ寄せる判断が必要,拡張候補,yes,一般にはパイナップルの省略形と解釈できるが、正式正規化には人手確認が必要。
ミルクティ,デクラウド ミルクティー,0,1,1,1,https://shisha-lagos.com/af-vanilla-review/,ミルク/コーヒー キャラメル ミルクティ,yes,デクラウド ミルクティー | ホンコンミルクティー | ミルク,no,yes,low: 長音有無の表記ゆれ,保守的候補,yes,長音欠落の表記ゆれとして扱える可能性が高い。
ミルクティー,デクラウド ミルクティー,0,1,1,1,https://shisha-lagos.com/af-peach-review/,バニラ/ミルク ハニー/ミルクティー,yes,デクラウド ミルクティー | ホンコンミルクティー | ミルク,no,yes,low: 一般的な味名,保守的候補,yes,既存マスタに近い同名表記があり、比較的保守的に追加候補とみなせる。
