K,existing_rank,flavor_a,flavor_b,mix_pair_key,present_in_lagos,lagos_article_count,lagos_row_count,lagos_article_urls,lagos_source_text,dictionary_status,comparison_status
10,1,グレープフルーツ,レモン,グレープフルーツ||レモン,True,1,1,https://shisha-lagos.com/af-grapefruit-review/,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ,matched_valid_lagos_pair,common_pair
10,2,グレープ,ミント,グレープ||ミント,False,0,0,,,not_present_in_lagos_baseline,ranking_only
10,3,ミント,レモン,ミント||レモン,True,1,1,https://shisha-lagos.com/af-mint-review/,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,matched_valid_lagos_pair,common_pair
10,4,ライム,レモン,ライム||レモン,False,0,0,,,not_present_in_lagos_baseline,ranking_only
10,5,コニャック,バニラ,コニャック||バニラ,False,0,0,,,not_present_in_lagos_baseline,ranking_only
10,6,アイス,ミント,アイス||ミント,False,0,0,,,not_present_in_lagos_baseline,ranking_only
10,7,ベリー,レモン,ベリー||レモン,False,0,0,,,not_present_in_lagos_baseline,ranking_only
10,8,バニラ,ミルク,バニラ||ミルク,True,1,1,https://shisha-lagos.com/af-vanilla-review/,ミルク/コーヒー キャラメル ミルクティ,matched_valid_lagos_pair,common_pair
10,9,ミント,ライム,ミント||ライム,True,1,1,https://shisha-lagos.com/af-mint-review/,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,matched_valid_lagos_pair,common_pair
10,10,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,True,2,2,https://shisha-lagos.com/af-grapefruit-review/ | https://shisha-lagos.com/af-orange-review/,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,matched_valid_lagos_pair,common_pair
20,1,グレープフルーツ,レモン,グレープフルーツ||レモン,True,1,1,https://shisha-lagos.com/af-grapefruit-review/,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ,matched_valid_lagos_pair,common_pair
20,2,グレープ,ミント,グレープ||ミント,False,0,0,,,not_present_in_lagos_baseline,ranking_only
20,3,ミント,レモン,ミント||レモン,True,1,1,https://shisha-lagos.com/af-mint-review/,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,matched_valid_lagos_pair,common_pair
20,4,ライム,レモン,ライム||レモン,False,0,0,,,not_present_in_lagos_baseline,ranking_only
20,5,コニャック,バニラ,コニャック||バニラ,False,0,0,,,not_present_in_lagos_baseline,ranking_only
20,6,アイス,ミント,アイス||ミント,False,0,0,,,not_present_in_lagos_baseline,ranking_only
20,7,ベリー,レモン,ベリー||レモン,False,0,0,,,not_present_in_lagos_baseline,ranking_only
20,8,バニラ,ミルク,バニラ||ミルク,True,1,1,https://shisha-lagos.com/af-vanilla-review/,ミルク/コーヒー キャラメル ミルクティ,matched_valid_lagos_pair,common_pair
20,9,ミント,ライム,ミント||ライム,True,1,1,https://shisha-lagos.com/af-mint-review/,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,matched_valid_lagos_pair,common_pair
20,10,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,True,2,2,https://shisha-lagos.com/af-grapefruit-review/ | https://shisha-lagos.com/af-orange-review/,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,matched_valid_lagos_pair,common_pair
20,11,オレンジ,レモン,オレンジ||レモン,True,1,1,https://shisha-lagos.com/af-orange-review/,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,matched_valid_lagos_pair,common_pair
20,12,ミルク,メロン,ミルク||メロン,True,1,1,https://shisha-lagos.com/af-melon-review/,バニラ/ミルク キャラメル,matched_valid_lagos_pair,common_pair
20,13,ミント,ライチ,ミント||ライチ,True,1,1,https://shisha-lagos.com/af-mint-review/,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,matched_valid_lagos_pair,common_pair
20,14,グレープ,ベリー,グレープ||ベリー,False,0,0,,,not_present_in_lagos_baseline,ranking_only
20,15,グアバ,レモン,グアバ||レモン,False,0,0,,,not_present_in_lagos_baseline,ranking_only
20,16,グアバ,ミント,グアバ||ミント,True,1,1,https://shisha-lagos.com/af-mint-review/,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,matched_valid_lagos_pair,common_pair
20,17,グアバ,グレープフルーツ,グアバ||グレープフルーツ,True,1,1,https://shisha-lagos.com/af-grapefruit-review/,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ,matched_valid_lagos_pair,common_pair
20,18,ライチ,レモン,ライチ||レモン,False,0,0,,,not_present_in_lagos_baseline,ranking_only
20,19,ベリー,ミント,ベリー||ミント,False,0,0,,,not_present_in_lagos_baseline,ranking_only
20,20,キャラメル,ココナッツ,キャラメル||ココナッツ,True,1,1,https://shisha-lagos.com/af-coconut-review/,バニラ/ミルク キャラメル/コーヒー チョコレート,matched_valid_lagos_pair,common_pair
50,1,グレープフルーツ,レモン,グレープフルーツ||レモン,True,1,1,https://shisha-lagos.com/af-grapefruit-review/,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ,matched_valid_lagos_pair,common_pair
50,2,グレープ,ミント,グレープ||ミント,False,0,0,,,not_present_in_lagos_baseline,ranking_only
50,3,ミント,レモン,ミント||レモン,True,1,1,https://shisha-lagos.com/af-mint-review/,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,matched_valid_lagos_pair,common_pair
