article_id,article_title,brand,target_flavor,brand_extraction_status,target_flavor_extraction_status,matched_brand_dictionary_value,extraction_note
lagos_af-watermelon-review,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,スイカ,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-coconut-review,Al Fakherココナッツのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,ココナッツ,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-orange-review,Al Fakherオレンジのフレーバーレビュー|特徴やおすすめミックスをご紹介,Al Fakher,オレンジ,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-mango-review,Al Fakherマンゴーのフレーバーレビュー|特徴やおすすめミックスをご紹介,Al Fakher,マンゴー,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-grapefruit-review,Al Fakherグレープフルーツのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,グレープフルーツ,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-mint-review,Al Fakherミントのフレーバーレビュー|特徴やおすすめミックスなどをご紹介,Al Fakher,ミント,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-vanilla-review,Al Fakherバニラのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,バニラ,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-melon-review,Al Fakherメロンのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,メロン,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-grenadine-review,Al Fakherグレナデンのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,グレナデン,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-kiwi-review,Al Fakherキウイのフレーバーレビュー|特徴やおすすめミックスなどをご紹介,Al Fakher,キウイ,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-peach-review,Al Fakherピーチのフレーバーレビュー|特徴やおすすめミックスなどをご紹介,Al Fakher,ピーチ,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-blueberry-review,Al Fakherブルーベリーのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,ブルーベリー,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
lagos_af-strawberry-review,Al Fakherストロベリーのフレーバーレビュー|特徴やおすすめミックスなど,Al Fakher,ストロベリー,success,success,AL FAKHER(アルファーヘル)   シーシャフレーバー 50g,
