normalized_heading,original_heading_example,article_count,occurrence_count
alfakherのキウイは怖がらずに温度を上げよう,Al Fakherのキウイは怖がらずに温度を上げよう,1,1
alfakherのスイカは吸いごたえ充分,Al Fakherのスイカは吸いごたえ充分,1,1
alfakherオレンジのおすすめミックス,Al Fakherオレンジのおすすめミックス,1,1
alfakherオレンジの特徴,Al Fakherオレンジの特徴,1,1
alfakherオレンジの重さは,Al Fakherオレンジの重さは?,1,1
alfakherキウイのおすすめミックス,Al Fakherキウイのおすすめミックス,1,1
alfakherキウイの特徴,Al Fakherキウイの特徴,1,1
alfakherキウイの重さは,Al Fakherキウイの重さは?,1,1
alfakherグレナデンのおすすめミックス,Al Fakherグレナデンのおすすめミックス,1,1
alfakherグレナデンの特徴,Al Fakherグレナデンの特徴,1,1
alfakherグレナデンの重さは,Al Fakherグレナデンの重さは?,1,1
alfakherグレプフルツのおすすめミックス,Al Fakherグレープフルーツのおすすめミックス,1,1
alfakherグレプフルツの特徴,Al Fakherグレープフルーツの特徴,1,1
alfakherグレプフルツの重さは,Al Fakherグレープフルーツの重さは?,1,1
alfakherココナッツのおすすめミックス,Al Fakherココナッツのおすすめミックス,1,1
alfakherココナッツの特徴,Al Fakherココナッツの特徴,1,1
alfakherココナッツの重さは,Al Fakherココナッツの重さは?,1,1
alfakherスイカのおすすめミックス,Al Fakherスイカのおすすめミックス,1,1
alfakherスイカの特徴,Al Fakherスイカの特徴,1,1
alfakherスイカの重さは,Al Fakherスイカの重さは?,1,1
alfakherストロベリのおすすめミックス,Al Fakherストロベリーのおすすめミックス,1,1
alfakherストロベリの特徴,Al Fakherストロベリーの特徴,1,1
alfakherストロベリの重さは,Al Fakherストロベリーの重さは?,1,1
alfakherバニラのおすすめミックス,Al Fakherバニラのおすすめミックス,1,1
alfakherバニラの特徴,Al Fakherバニラの特徴,1,1
alfakherバニラの重さは,Al Fakherバニラの重さは?,1,1
alfakherピチのおすすめミックス,Al Fakherピーチのおすすめミックス,1,1
alfakherピチの特徴,Al Fakherピーチの特徴,1,1
alfakherピチの重さは,Al Fakherピーチの重さは?,1,1
alfakherブルベリのおすすめミックス,Al Fakherブルーベリーのおすすめミックス,1,1
alfakherブルベリの特徴,Al Fakherブルーベリーの特徴,1,1
alfakherブルベリの重さは,Al Fakherブルーベリーの重さは?,1,1
alfakherマンゴのおすすめミックス,Al Fakherマンゴーのおすすめミックス,1,1
alfakherマンゴの特徴,Al Fakherマンゴーの特徴,1,1
alfakherマンゴの重さは,Al Fakherマンゴーの重さは?,1,1
alfakherマンゴは若いマンゴの味,Al Fakherマンゴーは若いマンゴーの味,1,1
alfakherミントのおすすめミックス,Al Fakherミントのおすすめミックス,1,1
alfakherミントの特徴,Al Fakherミントの特徴,1,1
alfakherミントの重さは,Al Fakherミントの重さは?,1,1
alfakherメロンのおすすめミックス,Al Fakherメロンのおすすめミックス,1,1
alfakherメロンの特徴,Al Fakherメロンの特徴,1,1
alfakherメロンの重さは,Al Fakherメロンの重さは?,1,1
オレンジは幅広いミックスを楽しめる,オレンジは幅広いミックスを楽しめる,1,1
グレナデンは加工されたシロップの甘さ,グレナデンは加工されたシロップの甘さ,1,1
グレプフルツは上級者向けのフレバ,グレープフルーツは上級者向けのフレーバー,1,1
ココナッツは縁の下の力持ちなフレバ,ココナッツは縁の下の力持ちなフレーバー,1,1
ストロベリはベリ系かバニラ系ミックスがおすすめ,ストロベリーはベリー系かバニラ系ミックスがおすすめ,1,1
バニラは甘いもの好きには欠かせない一品,バニラは甘いもの好きには欠かせない一品,1,1
ブルベリは汎用性の高いフレバ,ブルーベリーは汎用性の高いフレーバー,1,1
ミントは単品でも吸える優秀なフレバ,ミントは単品でも吸える優秀なフレーバー,1,1
爽やかな甘さを活かしてピチを使おう,爽やかな甘さを活かしてピーチを使おう,1,1
甘すぎないメロンがalfakherの特徴,甘すぎないメロンがAl Fakherの特徴,1,1
