article_id,article_url,inconsistency_type,article_value,reference_value,note
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,updated_before_published,2025.01.09,2025.12.10,updated date is earlier than published date in visible metadata
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,updated_before_published,2025.01.09,2025.11.10,updated date is earlier than published date in visible metadata
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,updated_before_published,2025.01.09,2025.10.10,updated date is earlier than published date in visible metadata
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,updated_before_published,2025.01.09,2025.09.10,updated date is earlier than published date in visible metadata
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,updated_before_published,2025.01.09,2025.08.10,updated date is earlier than published date in visible metadata
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,updated_before_published,2025.01.09,2025.07.10,updated date is earlier than published date in visible metadata
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,updated_before_published,2025.01.09,2025.06.10,updated date is earlier than published date in visible metadata
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,updated_before_published,2025.01.09,2025.05.10,updated date is earlier than published date in visible metadata
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,updated_before_published,2024.12.28,2025.04.10,updated date is earlier than published date in visible metadata
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,updated_before_published,2024.12.28,2025.03.10,updated date is earlier than published date in visible metadata
lagos_af-peach-review,https://shisha-lagos.com/af-peach-review/,updated_before_published,2025.01.09,2025.02.10,updated date is earlier than published date in visible metadata
lagos_af-blueberry-review,https://shisha-lagos.com/af-blueberry-review/,updated_before_published,2025.01.09,2025.01.10,updated date is earlier than published date in visible metadata
