flavor_a,flavor_b,LAGOS出現記事数,LAGOS出現行数,記事URL,target_flavor,recommended_flavor,source_text,辞書登録状況,既存ランキングに存在しない理由の候補,directed_pair,mix_pair_key
オレンジ,バニラ,2,2,https://shisha-lagos.com/af-orange-review/ | https://shisha-lagos.com/af-vanilla-review/,オレンジ | バニラ,オレンジ | バニラ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク チョコレート,registered,共起なし,オレンジ -> バニラ | バニラ -> オレンジ,オレンジ||バニラ
オレンジ,ピーチ,2,2,https://shisha-lagos.com/af-orange-review/ | https://shisha-lagos.com/af-peach-review/,オレンジ | ピーチ,オレンジ | ピーチ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,registered,共起なし,オレンジ -> ピーチ | ピーチ -> オレンジ,オレンジ||ピーチ
オレンジ,マンゴー,2,2,https://shisha-lagos.com/af-mango-review/ | https://shisha-lagos.com/af-orange-review/,オレンジ | マンゴー,オレンジ | マンゴー,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,registered,共起なし,オレンジ -> マンゴー | マンゴー -> オレンジ,オレンジ||マンゴー
オレンジ,メロン,2,2,https://shisha-lagos.com/af-melon-review/ | https://shisha-lagos.com/af-orange-review/,オレンジ | メロン,オレンジ | メロン,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン,registered,共起なし,オレンジ -> メロン | メロン -> オレンジ,オレンジ||メロン
ココナッツ,ストロベリー,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-strawberry-review/,ココナッツ | ストロベリー,ココナッツ | ストロベリー,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム || ブルーベリー/ラズベリー ココナッツ/グレナデン ライチ(Afzal),片方または両方が既存コーパス未出現,既存コーパスで出現なし:ストロベリー,ココナッツ -> ストロベリー | ストロベリー -> ココナッツ,ココナッツ||ストロベリー
ココナッツ,バニラ,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-vanilla-review/,ココナッツ | バニラ,ココナッツ | バニラ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク キャラメル/コーヒー チョコレート,registered,ランキング対象外:no_same_sentence_context,ココナッツ -> バニラ | バニラ -> ココナッツ,ココナッツ||バニラ
ココナッツ,ピーチ,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-peach-review/,ココナッツ | ピーチ,ココナッツ | ピーチ,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム || マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ,registered,共起なし,ココナッツ -> ピーチ | ピーチ -> ココナッツ,ココナッツ||ピーチ
ココナッツ,ブルーベリー,2,2,https://shisha-lagos.com/af-blueberry-review/ | https://shisha-lagos.com/af-coconut-review/,ココナッツ | ブルーベリー,ココナッツ | ブルーベリー,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ || ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,registered,共起なし,ココナッツ -> ブルーベリー | ブルーベリー -> ココナッツ,ココナッツ||ブルーベリー
ココナッツ,マンゴー,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-mango-review/,ココナッツ | マンゴー,ココナッツ | マンゴー,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ || ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,registered,共起なし,ココナッツ -> マンゴー | マンゴー -> ココナッツ,ココナッツ||マンゴー
ココナッツ,メロン,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-melon-review/,ココナッツ | メロン,ココナッツ | メロン,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー || ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム,registered,共起なし,ココナッツ -> メロン | メロン -> ココナッツ,ココナッツ||メロン
ストロベリー,バニラ,2,2,https://shisha-lagos.com/af-strawberry-review/ | https://shisha-lagos.com/af-vanilla-review/,ストロベリー | バニラ,ストロベリー | バニラ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク チョコレート,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ストロベリー,ストロベリー -> バニラ | バニラ -> ストロベリー,ストロベリー||バニラ
ストロベリー,ブルーベリー,2,2,https://shisha-lagos.com/af-blueberry-review/ | https://shisha-lagos.com/af-strawberry-review/,ストロベリー | ブルーベリー,ストロベリー | ブルーベリー,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ || ブルーベリー/ラズベリー ココナッツ/グレナデン ライチ(Afzal),片方または両方が既存コーパス未出現,既存コーパスで出現なし:ストロベリー,ストロベリー -> ブルーベリー | ブルーベリー -> ストロベリー,ストロベリー||ブルーベリー
バニラ,ピーチ,2,2,https://shisha-lagos.com/af-peach-review/ | https://shisha-lagos.com/af-vanilla-review/,バニラ | ピーチ,バニラ | ピーチ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク ハニー/ミルクティー,registered,共起なし,バニラ -> ピーチ | ピーチ -> バニラ,バニラ||ピーチ
バニラ,ブルーベリー,2,2,https://shisha-lagos.com/af-blueberry-review/ | https://shisha-lagos.com/af-vanilla-review/,バニラ | ブルーベリー,バニラ | ブルーベリー,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク キャラメル,registered,共起なし,バニラ -> ブルーベリー | ブルーベリー -> バニラ,バニラ||ブルーベリー
バニラ,マンゴー,2,2,https://shisha-lagos.com/af-mango-review/ | https://shisha-lagos.com/af-vanilla-review/,バニラ | マンゴー,バニラ | マンゴー,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク,registered,共起なし,バニラ -> マンゴー | マンゴー -> バニラ,バニラ||マンゴー
