mix_pair_key,flavor_a,flavor_b,valid_row_count,unique_directed_pair_count,directed_pair_values,article_count,article_ids,article_urls,same_article_repeat_count,max_rows_in_single_article,row_index_values,table_row_keys,is_multi_article_pair,is_repeated_mix_pair
オレンジ||グレープフルーツ,オレンジ,グレープフルーツ,2,2,オレンジ -> グレープフルーツ | グレープフルーツ -> オレンジ,2,lagos_af-grapefruit-review | lagos_af-orange-review,https://shisha-lagos.com/af-grapefruit-review/ | https://shisha-lagos.com/af-orange-review/,0,1,3:2,lagos_af-grapefruit-review::3::2 | lagos_af-orange-review::3::2,True,True
オレンジ||バニラ,オレンジ,バニラ,2,2,オレンジ -> バニラ | バニラ -> オレンジ,2,lagos_af-orange-review | lagos_af-vanilla-review,https://shisha-lagos.com/af-orange-review/ | https://shisha-lagos.com/af-vanilla-review/,0,1,3:2,lagos_af-orange-review::3::2 | lagos_af-vanilla-review::3::2,True,True
オレンジ||ピーチ,オレンジ,ピーチ,2,2,オレンジ -> ピーチ | ピーチ -> オレンジ,2,lagos_af-orange-review | lagos_af-peach-review,https://shisha-lagos.com/af-orange-review/ | https://shisha-lagos.com/af-peach-review/,0,1,3:2,lagos_af-orange-review::3::2 | lagos_af-peach-review::3::2,True,True
オレンジ||マンゴー,オレンジ,マンゴー,2,2,オレンジ -> マンゴー | マンゴー -> オレンジ,2,lagos_af-mango-review | lagos_af-orange-review,https://shisha-lagos.com/af-mango-review/ | https://shisha-lagos.com/af-orange-review/,0,1,3:2,lagos_af-mango-review::3::2 | lagos_af-orange-review::3::2,True,True
オレンジ||メロン,オレンジ,メロン,2,2,オレンジ -> メロン | メロン -> オレンジ,2,lagos_af-melon-review | lagos_af-orange-review,https://shisha-lagos.com/af-melon-review/ | https://shisha-lagos.com/af-orange-review/,0,1,3:2,lagos_af-melon-review::3::2 | lagos_af-orange-review::3::2,True,True
ココナッツ||ストロベリー,ココナッツ,ストロベリー,2,2,ココナッツ -> ストロベリー | ストロベリー -> ココナッツ,2,lagos_af-coconut-review | lagos_af-strawberry-review,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-strawberry-review/,0,1,3:2,lagos_af-coconut-review::3::2 | lagos_af-strawberry-review::3::2,True,True
ココナッツ||バニラ,ココナッツ,バニラ,2,2,ココナッツ -> バニラ | バニラ -> ココナッツ,2,lagos_af-coconut-review | lagos_af-vanilla-review,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-vanilla-review/,0,1,3:2,lagos_af-coconut-review::3::2 | lagos_af-vanilla-review::3::2,True,True
ココナッツ||ピーチ,ココナッツ,ピーチ,2,2,ココナッツ -> ピーチ | ピーチ -> ココナッツ,2,lagos_af-coconut-review | lagos_af-peach-review,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-peach-review/,0,1,3:2,lagos_af-coconut-review::3::2 | lagos_af-peach-review::3::2,True,True
ココナッツ||ブルーベリー,ココナッツ,ブルーベリー,2,2,ココナッツ -> ブルーベリー | ブルーベリー -> ココナッツ,2,lagos_af-blueberry-review | lagos_af-coconut-review,https://shisha-lagos.com/af-blueberry-review/ | https://shisha-lagos.com/af-coconut-review/,0,1,3:2,lagos_af-blueberry-review::3::2 | lagos_af-coconut-review::3::2,True,True
ココナッツ||マンゴー,ココナッツ,マンゴー,2,2,ココナッツ -> マンゴー | マンゴー -> ココナッツ,2,lagos_af-coconut-review | lagos_af-mango-review,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-mango-review/,0,1,3:2,lagos_af-coconut-review::3::2 | lagos_af-mango-review::3::2,True,True
