row_type,existing_rank,mix_pair_key,ranking_tier,lagos_article_count,lagos_row_count
pair,1.0,グレープフルーツ||レモン,Tier1,1.0,1
pair,3.0,ミント||レモン,Tier1,1.0,1
pair,8.0,バニラ||ミルク,Tier1,1.0,1
pair,9.0,ミント||ライム,Tier1,1.0,1
pair,10.0,オレンジ||グレープフルーツ,Tier1,2.0,2
pair,11.0,オレンジ||レモン,Tier1,1.0,1
pair,12.0,ミルク||メロン,Tier1,1.0,1
pair,13.0,ミント||ライチ,Tier2,1.0,1
pair,16.0,グアバ||ミント,Tier2,1.0,1
pair,17.0,グアバ||グレープフルーツ,Tier1,1.0,1
pair,20.0,キャラメル||ココナッツ,Tier1,1.0,1
pair,22.0,バニラ||ミント,Tier2,1.0,1
pair,23.0,オレンジ||グアバ,Tier2,1.0,1
pair,26.0,ジャスミン||ミント,Tier2,1.0,1
pair,31.0,キャラメル||バニラ,Tier2,1.0,1
pair,35.0,グアバ||ブルーベリー,Tier2,1.0,1
pair,48.0,ピーチ||マンゴー,Tier2,2.0,2
summary,,lagos_multiple_article_pairs,,18.0,2
summary,,rank_vs_lagos_article_count_spearman,,0.14907119849998599,17
