mix_pair_key,flavor_a,flavor_b,lagos_article_count,lagos_row_count,lagos_article_urls,target_flavor,recommended_flavor,directed_pair,source_text
オレンジ||グレープフルーツ,オレンジ,グレープフルーツ,2,2,https://shisha-lagos.com/af-grapefruit-review/ | https://shisha-lagos.com/af-orange-review/,オレンジ | グレープフルーツ,オレンジ | グレープフルーツ,オレンジ -> グレープフルーツ | グレープフルーツ -> オレンジ,レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン
オレンジ||バニラ,オレンジ,バニラ,2,2,https://shisha-lagos.com/af-orange-review/ | https://shisha-lagos.com/af-vanilla-review/,オレンジ | バニラ,オレンジ | バニラ,オレンジ -> バニラ | バニラ -> オレンジ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク チョコレート
オレンジ||ピーチ,オレンジ,ピーチ,2,2,https://shisha-lagos.com/af-orange-review/ | https://shisha-lagos.com/af-peach-review/,オレンジ | ピーチ,オレンジ | ピーチ,オレンジ -> ピーチ | ピーチ -> オレンジ,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン
オレンジ||マンゴー,オレンジ,マンゴー,2,2,https://shisha-lagos.com/af-mango-review/ | https://shisha-lagos.com/af-orange-review/,オレンジ | マンゴー,オレンジ | マンゴー,オレンジ -> マンゴー | マンゴー -> オレンジ,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン
オレンジ||メロン,オレンジ,メロン,2,2,https://shisha-lagos.com/af-melon-review/ | https://shisha-lagos.com/af-orange-review/,オレンジ | メロン,オレンジ | メロン,オレンジ -> メロン | メロン -> オレンジ,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー || レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン
ココナッツ||ストロベリー,ココナッツ,ストロベリー,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-strawberry-review/,ココナッツ | ストロベリー,ココナッツ | ストロベリー,ココナッツ -> ストロベリー | ストロベリー -> ココナッツ,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム || ブルーベリー/ラズベリー ココナッツ/グレナデン ライチ(Afzal)
ココナッツ||バニラ,ココナッツ,バニラ,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-vanilla-review/,ココナッツ | バニラ,ココナッツ | バニラ,ココナッツ -> バニラ | バニラ -> ココナッツ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク キャラメル/コーヒー チョコレート
ココナッツ||ピーチ,ココナッツ,ピーチ,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-peach-review/,ココナッツ | ピーチ,ココナッツ | ピーチ,ココナッツ -> ピーチ | ピーチ -> ココナッツ,ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム || マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ
ココナッツ||ブルーベリー,ココナッツ,ブルーベリー,2,2,https://shisha-lagos.com/af-blueberry-review/ | https://shisha-lagos.com/af-coconut-review/,ココナッツ | ブルーベリー,ココナッツ | ブルーベリー,ココナッツ -> ブルーベリー | ブルーベリー -> ココナッツ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ || ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム
ココナッツ||マンゴー,ココナッツ,マンゴー,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-mango-review/,ココナッツ | マンゴー,ココナッツ | マンゴー,ココナッツ -> マンゴー | マンゴー -> ココナッツ,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ || ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム
ココナッツ||メロン,ココナッツ,メロン,2,2,https://shisha-lagos.com/af-coconut-review/ | https://shisha-lagos.com/af-melon-review/,ココナッツ | メロン,ココナッツ | メロン,ココナッツ -> メロン | メロン -> ココナッツ,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー || ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム
ストロベリー||バニラ,ストロベリー,バニラ,2,2,https://shisha-lagos.com/af-strawberry-review/ | https://shisha-lagos.com/af-vanilla-review/,ストロベリー | バニラ,ストロベリー | バニラ,ストロベリー -> バニラ | バニラ -> ストロベリー,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク チョコレート
ストロベリー||ブルーベリー,ストロベリー,ブルーベリー,2,2,https://shisha-lagos.com/af-blueberry-review/ | https://shisha-lagos.com/af-strawberry-review/,ストロベリー | ブルーベリー,ストロベリー | ブルーベリー,ストロベリー -> ブルーベリー | ブルーベリー -> ストロベリー,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ || ブルーベリー/ラズベリー ココナッツ/グレナデン ライチ(Afzal)
バニラ||ピーチ,バニラ,ピーチ,2,2,https://shisha-lagos.com/af-peach-review/ | https://shisha-lagos.com/af-vanilla-review/,バニラ | ピーチ,バニラ | ピーチ,バニラ -> ピーチ | ピーチ -> バニラ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク ハニー/ミルクティー
バニラ||ブルーベリー,バニラ,ブルーベリー,2,2,https://shisha-lagos.com/af-blueberry-review/ | https://shisha-lagos.com/af-vanilla-review/,バニラ | ブルーベリー,バニラ | ブルーベリー,バニラ -> ブルーベリー | ブルーベリー -> バニラ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク キャラメル
バニラ||マンゴー,バニラ,マンゴー,2,2,https://shisha-lagos.com/af-mango-review/ | https://shisha-lagos.com/af-vanilla-review/,バニラ | マンゴー,バニラ | マンゴー,バニラ -> マンゴー | マンゴー -> バニラ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク
バニラ||メロン,バニラ,メロン,2,2,https://shisha-lagos.com/af-melon-review/ | https://shisha-lagos.com/af-vanilla-review/,バニラ | メロン,バニラ | メロン,バニラ -> メロン | メロン -> バニラ,ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ || バニラ/ミルク キャラメル
ピーチ||マンゴー,ピーチ,マンゴー,2,2,https://shisha-lagos.com/af-mango-review/ | https://shisha-lagos.com/af-peach-review/,ピーチ | マンゴー,ピーチ | マンゴー,ピーチ -> マンゴー | マンゴー -> ピーチ,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ || マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ
アールグレイ||オレンジ,アールグレイ,オレンジ,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,アールグレイ,オレンジ -> アールグレイ,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン
アールグレイ||ココナッツ,アールグレイ,ココナッツ,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,アールグレイ,ココナッツ -> アールグレイ,カルダモン ジンジャーエール アールグレイ シナモン
アールグレイ||バニラ,アールグレイ,バニラ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,アールグレイ,バニラ -> アールグレイ,チャイ/シナモン カルダモン アールグレイ ローズ
アールグレイ||ピーチ,アールグレイ,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,アールグレイ,ピーチ -> アールグレイ,カルダモン/ジャスミン アールグレイ/ローズ
アールグレイ||マンゴー,アールグレイ,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,アールグレイ,マンゴー -> アールグレイ,ジンジャーエール カルダモン アールグレイ
アールグレイ||ミント,アールグレイ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,アールグレイ,ミント -> アールグレイ,シナモン アールグレイ カルダモン ローズ ジャスミン
オレンジ||カルダモン,オレンジ,カルダモン,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,カルダモン,オレンジ -> カルダモン,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン
オレンジ||グアバ,オレンジ,グアバ,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,グアバ,オレンジ -> グアバ,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン
オレンジ||シナモン,オレンジ,シナモン,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,シナモン,オレンジ -> シナモン,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン
オレンジ||ジャスミン,オレンジ,ジャスミン,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,ジャスミン,オレンジ -> ジャスミン,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン
オレンジ||ジンジャーエール,オレンジ,ジンジャーエール,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,ジンジャーエール,オレンジ -> ジンジャーエール,カルダモン シナモン ジンジャーエール アールグレイ ジャスミン
オレンジ||チョコレート,オレンジ,チョコレート,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,チョコレート,オレンジ -> チョコレート,バニラ/ミルク チョコレート
オレンジ||パッションフルーツ,オレンジ,パッションフルーツ,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,パッションフルーツ,オレンジ -> パッションフルーツ,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン
オレンジ||ミルク,オレンジ,ミルク,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,ミルク,オレンジ -> ミルク,バニラ/ミルク チョコレート
オレンジ||ミント,オレンジ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,オレンジ,ミント -> オレンジ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
オレンジ||ライム,オレンジ,ライム,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,ライム,オレンジ -> ライム,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン
オレンジ||レモン,オレンジ,レモン,1,1,https://shisha-lagos.com/af-orange-review/,オレンジ,レモン,オレンジ -> レモン,レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン
カルダモン||キウイ,カルダモン,キウイ,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,カルダモン,キウイ -> カルダモン,ジンジャーエール レモングラス カルダモン
カルダモン||グレープフルーツ,カルダモン,グレープフルーツ,1,1,https://shisha-lagos.com/af-grapefruit-review/,グレープフルーツ,カルダモン,グレープフルーツ -> カルダモン,ジャスミン カルダモン ツーアップル
カルダモン||ココナッツ,カルダモン,ココナッツ,1,1,https://shisha-lagos.com/af-coconut-review/,ココナッツ,カルダモン,ココナッツ -> カルダモン,カルダモン ジンジャーエール アールグレイ シナモン
カルダモン||バニラ,カルダモン,バニラ,1,1,https://shisha-lagos.com/af-vanilla-review/,バニラ,カルダモン,バニラ -> カルダモン,チャイ/シナモン カルダモン アールグレイ ローズ
カルダモン||ピーチ,カルダモン,ピーチ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,カルダモン,ピーチ -> カルダモン,カルダモン/ジャスミン アールグレイ/ローズ
カルダモン||ブルーベリー,カルダモン,ブルーベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,カルダモン,ブルーベリー -> カルダモン,シナモン/カルダモン ジャスミン/ローズ
カルダモン||マンゴー,カルダモン,マンゴー,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,カルダモン,マンゴー -> カルダモン,ジンジャーエール カルダモン アールグレイ
カルダモン||ミント,カルダモン,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,カルダモン,ミント -> カルダモン,シナモン アールグレイ カルダモン ローズ ジャスミン
カルダモン||メロン,カルダモン,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,カルダモン,メロン -> カルダモン,カルダモン シナモン ローズ
キウイ||グアバ,キウイ,グアバ,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,グアバ,キウイ -> グアバ,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ
キウイ||グレープ,キウイ,グレープ,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,グレープ,キウイ -> グレープ,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ
キウイ||ジンジャーエール,キウイ,ジンジャーエール,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,ジンジャーエール,キウイ -> ジンジャーエール,ジンジャーエール レモングラス カルダモン
キウイ||パッションフルーツ,キウイ,パッションフルーツ,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,パッションフルーツ,キウイ -> パッションフルーツ,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ
キウイ||ミント,キウイ,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,キウイ,ミント -> キウイ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
キウイ||ライム,キウイ,ライム,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,ライム,キウイ -> ライム,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ
キウイ||レモン,キウイ,レモン,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,レモン,キウイ -> レモン,レモン/ライム グレナデン/グレープ パッションフルーツ グアバ
キウイ||レモングラス,キウイ,レモングラス,1,1,https://shisha-lagos.com/af-kiwi-review/,キウイ,レモングラス,キウイ -> レモングラス,ジンジャーエール レモングラス カルダモン
