ranking_type,condition_left,condition_right,top_k,min_pair_count,recommended_for_poster,pair_key,flavor_a,flavor_b,membership,rank_left,rank_right,rank_diff_right_minus_left,score_left,score_right,common_pair_count,jaccard_top_k,spearman_top_k
cooccurrence,all_multi,limited_2_5,10,,,アールグレイ||コニャック,アールグレイ,コニャック,only_right,,6,,,5.0,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,アールグレイ||バニラ,アールグレイ,バニラ,only_right,,2,,,6.0,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,オレンジ||グレープフルーツ,オレンジ,グレープフルーツ,only_right,,10,,,4.0,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,オレンジ||ブルーベリー,オレンジ,ブルーベリー,only_left,4,,,17.0,,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,オレンジ||ミント,オレンジ,ミント,only_left,2,,,20.0,,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,オレンジ||レモン,オレンジ,レモン,only_left,7,,,11.0,,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,グレープ||ミント,グレープ,ミント,common,8,1,-7,11.0,7.0,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,コニャック||バニラ,コニャック,バニラ,only_right,,7,,,5.0,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,ハニー||ミルク,ハニー,ミルク,only_right,,3,,,6.0,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,バナナ||ミルク,バナナ,ミルク,only_right,,8,,,5.0,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,バニラ||ミルク,バニラ,ミルク,common,9,4,-5,11.0,6.0,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,バニラ||ミント,バニラ,ミント,only_left,6,,,14.0,,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,ブルーベリー||ベリー,ブルーベリー,ベリー,only_left,5,,,15.0,,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,ブルーベリー||ミント,ブルーベリー,ミント,only_left,1,,,21.0,,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,ベリー||ミント,ベリー,ミント,only_left,10,,,11.0,,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,ミルク||メロン,ミルク,メロン,only_right,,9,,,5.0,3,0.17647058823529413,-0.5
cooccurrence,all_multi,limited_2_5,10,,,ミント||レモン,ミント,レモン,common,3,5,2,18.0,6.0,3,0.17647058823529413,-0.5
