condition,rank,flavor_a,flavor_b,pair_key,cooccurrence_count,frequency_a,frequency_b,support,representative_review_count
all_multi,1,ブルーベリー,ミント,ブルーベリー||ミント,21,33,51,0.12,21
all_multi,2,オレンジ,ミント,オレンジ||ミント,20,30,51,0.11428571428571428,20
all_multi,3,ミント,レモン,ミント||レモン,18,51,38,0.10285714285714286,18
all_multi,4,オレンジ,ブルーベリー,オレンジ||ブルーベリー,17,30,33,0.09714285714285714,17
all_multi,5,ブルーベリー,ベリー,ブルーベリー||ベリー,15,33,30,0.08571428571428572,15
all_multi,6,バニラ,ミント,バニラ||ミント,14,36,51,0.08,14
all_multi,7,オレンジ,レモン,オレンジ||レモン,11,30,38,0.06285714285714286,11
all_multi,8,グレープ,ミント,グレープ||ミント,11,19,51,0.06285714285714286,11
all_multi,9,バニラ,ミルク,バニラ||ミルク,11,36,38,0.06285714285714286,11
all_multi,10,ベリー,ミント,ベリー||ミント,11,30,51,0.06285714285714286,11
all_multi,11,アールグレイ,バニラ,アールグレイ||バニラ,10,18,36,0.05714285714285714,10
all_multi,12,バニラ,ブルーベリー,バニラ||ブルーベリー,10,36,33,0.05714285714285714,10
all_multi,13,ブルーベリー,レモン,ブルーベリー||レモン,8,33,38,0.045714285714285714,8
all_multi,14,オレンジ,バニラ,オレンジ||バニラ,7,30,36,0.04,7
all_multi,15,オレンジ,ベリー,オレンジ||ベリー,7,30,30,0.04,7
all_multi,16,グレープ,ベリー,グレープ||ベリー,7,19,30,0.04,7
all_multi,17,バナナ,ミルク,バナナ||ミルク,7,15,38,0.04,7
all_multi,18,ベリー,ラズベリー,ベリー||ラズベリー,7,30,11,0.04,7
all_multi,19,ミルク,レモン,ミルク||レモン,7,38,38,0.04,7
all_multi,20,ミント,ライム,ミント||ライム,7,51,13,0.04,7
limited_2_5,1,グレープ,ミント,グレープ||ミント,7,13,21,0.05785123966942149,7
limited_2_5,2,アールグレイ,バニラ,アールグレイ||バニラ,6,11,17,0.049586776859504134,6
limited_2_5,3,ハニー,ミルク,ハニー||ミルク,6,15,26,0.049586776859504134,6
limited_2_5,4,バニラ,ミルク,バニラ||ミルク,6,17,26,0.049586776859504134,6
limited_2_5,5,ミント,レモン,ミント||レモン,6,21,18,0.049586776859504134,6
limited_2_5,6,アールグレイ,コニャック,アールグレイ||コニャック,5,11,5,0.04132231404958678,5
limited_2_5,7,コニャック,バニラ,コニャック||バニラ,5,5,17,0.04132231404958678,5
limited_2_5,8,バナナ,ミルク,バナナ||ミルク,5,11,26,0.04132231404958678,5
limited_2_5,9,ミルク,メロン,ミルク||メロン,5,26,10,0.04132231404958678,5
limited_2_5,10,オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,4,11,8,0.03305785123966942,4
limited_2_5,11,カルダモンミルク,ミルク,カルダモンミルク||ミルク,4,4,26,0.03305785123966942,4
limited_2_5,12,ココナッツ,ミルク,ココナッツ||ミルク,4,7,26,0.03305785123966942,4
limited_2_5,13,ハニー,メロン,ハニー||メロン,4,15,10,0.03305785123966942,4
