raw_flavor,canonical_flavor,normalization_rule
BTS,BTS,identity
CORN,CORN,identity
WAFFLE,WAFFLE,identity
アイス,アイス,identity
アイスクリームレモン,アイスクリームレモン,identity
アイスコーラ,アイスコーラ,identity
アイススパイシーコーラ,アイススパイシーコーラ,identity
アサイー,アサイー,identity
アップルジュース,アップルジュース,identity
アプリコット,アプリコット,identity
アマゾン,アマゾン,identity
アーモンド,アーモンド,identity
EARL GREY,アールグレイ,verified_cross_language_alias
アールグレイ,アールグレイ,component_canonical
ウォーターメロン,ウォーターメロン,identity
ウォーターメロン/スイカ,ウォーターメロン/スイカ,identity
ウォーターメロンミント,ウォーターメロンミント,identity
エターナル,エターナル,identity
オレンジ,オレンジ,identity
オレンジミント,オレンジミント,identity
カクタス,カクタス,identity
カシミール,カシミール,identity
カプチーノ,カプチーノ,identity
カルダモン,カルダモン,identity
カルダモンミルク,カルダモンミルク,identity
ガムシナモン,ガムシナモン,identity
ガムミント,ガムミント,identity
KIWI,キウイ,verified_cross_language_alias
キウイ,キウイ,component_canonical
キャラメル,キャラメル,identity
クインス,クインス,identity
クリーム,クリーム,identity
クールブリーズ,クールブリーズ,identity
グアバ,グアバ,identity
グラニーズキス,グラニーズキス,identity
グリーンティー,グリーンティー,identity
グリーンミックス,グリーンミックス,identity
GRAPE,グレープ,verified_cross_language_alias
グレープ,グレープ,component_canonical
GRAPEFRUIT,グレープフルーツ,verified_cross_language_alias
グレープフルーツ,グレープフルーツ,component_canonical
グレープミント,グレープミント,identity
ココナッツ,ココナッツ,identity
コットンキャンディー,コットンキャンディー,identity
コニャック,コニャック,identity
コパカバーナ,コパカバーナ,identity
COLA,コーラ,verified_cross_language_alias
コーラ,コーラ,component_canonical
ゴールデンデリシャスアップル,ゴールデンデリシャスアップル,identity
サワーアジア,サワーアジア,identity
ザクロ,ザクロ,identity
シガー,シガー,identity
シナモン,シナモン,identity
ジャスミン,ジャスミン,identity
ジャパニーズユズ,ジャパニーズユズ,identity
ジンジャー,ジンジャー,identity
ジンジャーエール,ジンジャーエール,identity
ジンジャーココナッツ,ジンジャーココナッツ,identity
ストロベリー,ストロベリー,identity
ストロベリーミルフィーユ,ストロベリーミルフィーユ,identity
ストロベリーヨーグルト,ストロベリーヨーグルト,identity
スパイスドチャイ,スパイスドチャイ,identity
スペクトラ,スペクトラ,identity
スペシャルパン,スペシャルパン,identity
スーパーノヴァ,スーパーノヴァ,identity
タンジェリン,タンジェリン,identity
ダブルアップル,ダブルアップル,identity
ダブルアップルストロング,ダブルアップルストロング,identity
ダークスープラ,ダークスープラ,identity
チェリー,チェリー,identity
CHOCOLATE,チョコレート,verified_cross_language_alias
チョコレート,チョコレート,component_canonical
チョコレートミント,チョコレートミント,identity
ツイスト,ツイスト,identity
ツーアップル,ツーアップル,identity
テキーラ,テキーラ,identity
デッドシー,デッドシー,identity
ドラゴンフルーツ,ドラゴンフルーツ,identity
ニードルス,ニードルス,identity
ネクタリン,ネクタリン,identity
ネスクイックリー,ネスクイックリー,identity
ハニー,ハニー,identity
バター,バター,identity
バナナ,バナナ,identity
バニラ,バニラ,identity
パイナップル,パイナップル,identity
パッションフルーツ,パッションフルーツ,identity
パパイヤ,パパイヤ,identity
パンラズナ,パンラズナ,identity
ビスケット,ビスケット,identity
ビタースイート,ビタースイート,identity
ピスタチオ,ピスタチオ,identity
ピスタチオブリーズ,ピスタチオブリーズ,identity
ピーチ,ピーチ,identity
ピーナッツ,ピーナッツ,identity
ピーナッツバター,ピーナッツバター,identity
フィグ,フィグ,identity
フリーキューバ,フリーキューバ,identity
ブラウンシュガー,ブラウンシュガー,identity
ブラックカラント,ブラックカラント,identity
ブラックティー,ブラックティー,identity
ブルークラウド,ブルークラウド,identity
ブルーヘブン,ブルーヘブン,identity
ブルーベリー,ブルーベリー,identity
ブルーベリークランブル,ブルーベリークランブル,identity
プラム,プラム,identity
ヘーゼルナッツ,ヘーゼルナッツ,identity
ベリー,ベリー,identity
ベリーグレープ,ベリーグレープ,identity
ベリーポップコーン,ベリーポップコーン,identity
ベルガモットティー,ベルガモットティー,identity
ベルガモンスター,ベルガモンスター,identity
ベルギアンワッフル,ベルギアンワッフル,identity
ベルベット,ベルベット,identity
ペア,ペア,identity
ペアチル,ペアチル,identity
ホワイトピーチ,ホワイトピーチ,identity
ポメグラネート,ポメグラネート,identity
ポメロ,ポメロ,identity
マカロンピンク,マカロンピンク,identity
マジックスモーク,マジックスモーク,identity
MANGO,マンゴー,verified_cross_language_alias
マンゴー,マンゴー,component_canonical
ミルク,ミルク,identity
ミント,ミント,identity
ミントクリーム,ミントクリーム,identity
ムーンライト,ムーンライト,identity
メロン,メロン,identity
モヒート,モヒート,identity
ヨーグルト,ヨーグルト,identity
LYCHEE,ライチ,verified_cross_language_alias
ライチ,ライチ,component_canonical
ライム,ライム,identity
ラズベリー,ラズベリー,identity
リンデンティー,リンデンティー,identity
レッドチェリー,レッドチェリー,identity
レモン,レモン,identity
レモングラス,レモングラス,identity
レモンフィズ,レモンフィズ,identity
レモンミント,レモンミント,identity
ロマンス,ロマンス,identity
ローズ,ローズ,identity
ワイルドストロベリー,ワイルドストロベリー,identity
ワイルドベリー,ワイルドベリー,identity
