ranking_type,condition_left,condition_right,top_k,min_pair_count,recommended_for_poster,pair_key,flavor_a,flavor_b,membership,rank_left,rank_right,rank_diff_right_minus_left,score_left,score_right,common_pair_count,jaccard_top_k,spearman_top_k
lift,all_multi,limited_2_5,10,1,False,アサイー||スペシャルパン,アサイー,スペシャルパン,only_right,,4,,,60.5,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アサイー||ラズベリー,アサイー,ラズベリー,only_right,,5,,,60.5,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アップルジュース||ストロベリーミルフィーユ,アップルジュース,ストロベリーミルフィーユ,only_left,1,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アップルジュース||ネクタリン,アップルジュース,ネクタリン,only_left,2,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アップルジュース||パパイヤ,アップルジュース,パパイヤ,only_left,3,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アップルジュース||フリーキューバ,アップルジュース,フリーキューバ,only_left,4,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アップルジュース||ブルーベリークランブル,アップルジュース,ブルーベリークランブル,only_left,5,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アップルジュース||ベリーポップコーン,アップルジュース,ベリーポップコーン,only_left,6,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アップルジュース||ベルギアンワッフル,アップルジュース,ベルギアンワッフル,only_left,7,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アプリコット||カシミール,アプリコット,カシミール,only_right,,6,,,60.5,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アプリコット||パンラズナ,アプリコット,パンラズナ,only_right,,7,,,60.5,0,0.0,
lift,all_multi,limited_2_5,10,1,False,アプリコット||ホワイトピーチ,アプリコット,ホワイトピーチ,only_right,,8,,,60.5,0,0.0,
lift,all_multi,limited_2_5,10,1,False,カシミール||パンラズナ,カシミール,パンラズナ,only_right,,1,,,121.0,0,0.0,
lift,all_multi,limited_2_5,10,1,False,クインス||リンデンティー,クインス,リンデンティー,only_right,,9,,,60.5,0,0.0,
lift,all_multi,limited_2_5,10,1,False,コパカバーナ||ワイルドベリー,コパカバーナ,ワイルドベリー,only_left,8,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,ストロベリーミルフィーユ||ネクタリン,ストロベリーミルフィーユ,ネクタリン,only_left,9,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,ストロベリーミルフィーユ||パパイヤ,ストロベリーミルフィーユ,パパイヤ,only_left,10,,,175.0,,0,0.0,
lift,all_multi,limited_2_5,10,1,False,スーパーノヴァ||バター,スーパーノヴァ,バター,only_right,,2,,,121.0,0,0.0,
lift,all_multi,limited_2_5,10,1,False,ニードルス||ワイルドストロベリー,ニードルス,ワイルドストロベリー,only_right,,3,,,121.0,0,0.0,
lift,all_multi,limited_2_5,10,1,False,ネスクイックリー||ピーナッツバター,ネスクイックリー,ピーナッツバター,only_right,,10,,,60.5,0,0.0,
