condition,min_pair_count,rank,flavor_a,flavor_b,pair_key,cooccurrence_count,frequency_a,frequency_b,support,lift
all_multi,1,1,アップルジュース,ストロベリーミルフィーユ,アップルジュース||ストロベリーミルフィーユ,1,1,1,0.005714285714285714,175.0
all_multi,1,2,アップルジュース,ネクタリン,アップルジュース||ネクタリン,1,1,1,0.005714285714285714,175.0
all_multi,1,3,アップルジュース,パパイヤ,アップルジュース||パパイヤ,1,1,1,0.005714285714285714,175.0
all_multi,1,4,アップルジュース,フリーキューバ,アップルジュース||フリーキューバ,1,1,1,0.005714285714285714,175.0
all_multi,1,5,アップルジュース,ブルーベリークランブル,アップルジュース||ブルーベリークランブル,1,1,1,0.005714285714285714,175.0
all_multi,1,6,アップルジュース,ベリーポップコーン,アップルジュース||ベリーポップコーン,1,1,1,0.005714285714285714,175.0
all_multi,1,7,アップルジュース,ベルギアンワッフル,アップルジュース||ベルギアンワッフル,1,1,1,0.005714285714285714,175.0
all_multi,1,8,コパカバーナ,ワイルドベリー,コパカバーナ||ワイルドベリー,1,1,1,0.005714285714285714,175.0
all_multi,1,9,ストロベリーミルフィーユ,ネクタリン,ストロベリーミルフィーユ||ネクタリン,1,1,1,0.005714285714285714,175.0
all_multi,1,10,ストロベリーミルフィーユ,パパイヤ,ストロベリーミルフィーユ||パパイヤ,1,1,1,0.005714285714285714,175.0
all_multi,1,11,ストロベリーミルフィーユ,フリーキューバ,ストロベリーミルフィーユ||フリーキューバ,1,1,1,0.005714285714285714,175.0
all_multi,1,12,ストロベリーミルフィーユ,ブルーベリークランブル,ストロベリーミルフィーユ||ブルーベリークランブル,1,1,1,0.005714285714285714,175.0
all_multi,1,13,ストロベリーミルフィーユ,ベリーポップコーン,ストロベリーミルフィーユ||ベリーポップコーン,1,1,1,0.005714285714285714,175.0
all_multi,1,14,ストロベリーミルフィーユ,ベルギアンワッフル,ストロベリーミルフィーユ||ベルギアンワッフル,1,1,1,0.005714285714285714,175.0
all_multi,1,15,ダークスープラ,ベルガモンスター,ダークスープラ||ベルガモンスター,1,1,1,0.005714285714285714,175.0
all_multi,1,16,ネクタリン,パパイヤ,ネクタリン||パパイヤ,1,1,1,0.005714285714285714,175.0
all_multi,1,17,ネクタリン,フリーキューバ,ネクタリン||フリーキューバ,1,1,1,0.005714285714285714,175.0
all_multi,1,18,ネクタリン,ブルーベリークランブル,ネクタリン||ブルーベリークランブル,1,1,1,0.005714285714285714,175.0
all_multi,1,19,ネクタリン,ベリーポップコーン,ネクタリン||ベリーポップコーン,1,1,1,0.005714285714285714,175.0
all_multi,1,20,ネクタリン,ベルギアンワッフル,ネクタリン||ベルギアンワッフル,1,1,1,0.005714285714285714,175.0
all_multi,2,1,アサイー,ストロベリーヨーグルト,アサイー||ストロベリーヨーグルト,2,6,2,0.011428571428571429,29.166666666666668
all_multi,2,2,カルダモンミルク,モヒート,カルダモンミルク||モヒート,4,5,6,0.022857142857142857,23.333333333333332
all_multi,2,3,ザクロ,ワイルドストロベリー,ザクロ||ワイルドストロベリー,2,6,3,0.011428571428571429,19.444444444444443
all_multi,2,4,ジンジャー,ジンジャーココナッツ,ジンジャー||ジンジャーココナッツ,2,7,3,0.011428571428571429,16.666666666666668
all_multi,2,5,WAFFLE,バター,WAFFLE||バター,2,3,8,0.011428571428571429,14.583333333333334
all_multi,2,6,クリーム,コーラ,クリーム||コーラ,2,3,8,0.011428571428571429,14.583333333333334
all_multi,2,7,スーパーノヴァ,バター,スーパーノヴァ||バター,2,3,8,0.011428571428571429,14.583333333333334
all_multi,2,8,バター,ピスタチオ,バター||ピスタチオ,2,8,3,0.011428571428571429,14.583333333333334
all_multi,2,9,WAFFLE,キャラメル,WAFFLE||キャラメル,3,3,14,0.017142857142857144,12.5
all_multi,2,10,ウォーターメロン,ピーチ,ウォーターメロン||ピーチ,2,3,10,0.011428571428571429,11.666666666666666
all_multi,2,11,カプチーノ,チョコレート,カプチーノ||チョコレート,2,4,8,0.011428571428571429,10.9375
all_multi,2,12,ラズベリー,ワイルドストロベリー,ラズベリー||ワイルドストロベリー,2,11,3,0.011428571428571429,10.606060606060606
all_multi,2,13,ウォーターメロン/スイカ,メロン,ウォーターメロン/スイカ||メロン,3,4,13,0.017142857142857144,10.096153846153847
all_multi,2,14,ミントクリーム,ローズ,ミントクリーム||ローズ,2,5,7,0.011428571428571429,10.0
all_multi,2,15,パッションフルーツ,ワイルドストロベリー,パッションフルーツ||ワイルドストロベリー,2,12,3,0.011428571428571429,9.722222222222221
all_multi,2,16,カルダモンミルク,バナナ,カルダモンミルク||バナナ,4,5,15,0.022857142857142857,9.333333333333334
all_multi,2,17,グレープ,グレープミント,グレープ||グレープミント,2,19,2,0.011428571428571429,9.210526315789474
all_multi,2,18,WAFFLE,ストロベリー,WAFFLE||ストロベリー,2,3,13,0.011428571428571429,8.974358974358974
all_multi,2,19,クリーム,ストロベリー,クリーム||ストロベリー,2,3,13,0.011428571428571429,8.974358974358974
all_multi,2,20,キウイ,ピーチ,キウイ||ピーチ,4,8,10,0.022857142857142857,8.75
all_multi,3,1,カルダモンミルク,モヒート,カルダモンミルク||モヒート,4,5,6,0.022857142857142857,23.333333333333332
all_multi,3,2,WAFFLE,キャラメル,WAFFLE||キャラメル,3,3,14,0.017142857142857144,12.5
all_multi,3,3,ウォーターメロン/スイカ,メロン,ウォーターメロン/スイカ||メロン,3,4,13,0.017142857142857144,10.096153846153847
all_multi,3,4,カルダモンミルク,バナナ,カルダモンミルク||バナナ,4,5,15,0.022857142857142857,9.333333333333334
all_multi,3,5,キウイ,ピーチ,キウイ||ピーチ,4,8,10,0.022857142857142857,8.75
all_multi,3,6,ザクロ,チェリー,ザクロ||チェリー,4,6,14,0.022857142857142857,8.333333333333334
all_multi,3,7,アールグレイ,コニャック,アールグレイ||コニャック,5,18,6,0.02857142857142857,8.101851851851851
all_multi,3,8,アサイー,ラズベリー,アサイー||ラズベリー,3,6,11,0.017142857142857144,7.954545454545454
all_multi,3,9,ザクロ,ラズベリー,ザクロ||ラズベリー,3,6,11,0.017142857142857144,7.954545454545454
all_multi,3,10,バナナ,モヒート,バナナ||モヒート,4,15,6,0.022857142857142857,7.777777777777778
all_multi,3,11,ザクロ,ライチ,ザクロ||ライチ,4,6,16,0.022857142857142857,7.291666666666667
all_multi,3,12,ザクロ,パッションフルーツ,ザクロ||パッションフルーツ,3,6,12,0.017142857142857144,7.291666666666667
all_multi,3,13,アサイー,ベリー,アサイー||ベリー,6,6,30,0.03428571428571429,5.833333333333333
all_multi,3,14,クリーム,ベリー,クリーム||ベリー,3,3,30,0.017142857142857144,5.833333333333333
all_multi,3,15,カルダモン,シナモン,カルダモン||シナモン,4,11,11,0.022857142857142857,5.785123966942149
all_multi,3,16,チェリー,ラズベリー,チェリー||ラズベリー,5,14,11,0.02857142857142857,5.681818181818182
all_multi,3,17,シガー,バター,シガー||バター,4,17,8,0.022857142857142857,5.147058823529412
all_multi,3,18,ザクロ,シガー,ザクロ||シガー,3,6,17,0.017142857142857144,5.147058823529412
all_multi,3,19,コーラ,ストロベリー,コーラ||ストロベリー,3,8,13,0.017142857142857144,5.048076923076923
all_multi,3,20,コニャック,バニラ,コニャック||バニラ,6,6,36,0.03428571428571429,4.861111111111111
limited_2_5,1,1,カシミール,パンラズナ,カシミール||パンラズナ,1,1,1,0.008264462809917356,121.0
limited_2_5,1,2,スーパーノヴァ,バター,スーパーノヴァ||バター,1,1,1,0.008264462809917356,121.0
limited_2_5,1,3,ニードルス,ワイルドストロベリー,ニードルス||ワイルドストロベリー,1,1,1,0.008264462809917356,121.0
limited_2_5,1,4,アサイー,スペシャルパン,アサイー||スペシャルパン,1,2,1,0.008264462809917356,60.5
limited_2_5,1,5,アサイー,ラズベリー,アサイー||ラズベリー,1,2,1,0.008264462809917356,60.5
limited_2_5,1,6,アプリコット,カシミール,アプリコット||カシミール,1,2,1,0.008264462809917356,60.5
limited_2_5,1,7,アプリコット,パンラズナ,アプリコット||パンラズナ,1,2,1,0.008264462809917356,60.5
limited_2_5,1,8,アプリコット,ホワイトピーチ,アプリコット||ホワイトピーチ,1,2,1,0.008264462809917356,60.5
limited_2_5,1,9,クインス,リンデンティー,クインス||リンデンティー,1,1,2,0.008264462809917356,60.5
limited_2_5,1,10,ネスクイックリー,ピーナッツバター,ネスクイックリー||ピーナッツバター,1,1,2,0.008264462809917356,60.5
limited_2_5,1,11,ブラウンシュガー,ベルガモットティー,ブラウンシュガー||ベルガモットティー,1,1,2,0.008264462809917356,60.5
limited_2_5,1,12,ブルークラウド,ブルーヘブン,ブルークラウド||ブルーヘブン,1,1,2,0.008264462809917356,60.5
limited_2_5,1,13,オレンジミント,チョコレート,オレンジミント||チョコレート,1,1,3,0.008264462809917356,40.333333333333336
limited_2_5,1,14,ジンジャー,ジンジャーココナッツ,ジンジャー||ジンジャーココナッツ,1,3,1,0.008264462809917356,40.333333333333336
limited_2_5,1,15,ブルークラウド,ミントクリーム,ブルークラウド||ミントクリーム,1,1,3,0.008264462809917356,40.333333333333336
limited_2_5,1,16,ホワイトピーチ,ミントクリーム,ホワイトピーチ||ミントクリーム,1,1,3,0.008264462809917356,40.333333333333336
limited_2_5,1,17,ホワイトピーチ,ローズ,ホワイトピーチ||ローズ,1,1,3,0.008264462809917356,40.333333333333336
