analysis_type,condition,pair_rank,flavor_a,flavor_b,pair_key,cooccurrence_count,lift,review_id,review_title,review_url,matched_context,extracted_flavors_in_review,flavor_count_in_review,has_mix_keyword,manual_label,manual_note,auto_label,auto_confidence,auto_reason,matched_rule,needs_manual_review,reviewer_label,reviewer_note
conditionB_cooccurrence_top10,limited_2_5,1,グレープ,ミント,グレープ||ミント,7,3.102564102564100,R0044,MALAKI – Berry(ベリー),https://cloud-jp.net/malaki-berry/,・ベリー×ブルーヘブン×ミント – ベリーの甘酸っぱさ、ブルーヘブンのすっきりとした酸味・甘み・清涼感、そしてミントの清涼感の調和を楽しむミックスです。 ・ベリー×グレープ×グレナデン – ベリーとグレナデンの酸味を生かしつつ、グレープの優しい甘さのバランスを楽しむミックスです。,グレープ|ブルーヘブン|ベリー|ミント,4,TRUE,,,co_mention_only,medium,対象2フレーバーは同一レビュー内に出現するが、同一文脈では結び付いていない,separate_context_mentions,FALSE,explicit_mix,対象2フレーバーが同一ミックス内に明記されている
conditionB_cooccurrence_top10,limited_2_5,1,グレープ,ミント,グレープ||ミント,7,3.102564102564100,R0047,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/,MALAKI – Grape Mint(グレープミント)の特徴,グレープ|グレープミント|ジャスミン|ミント|ライチ,5,TRUE,,,co_mention_only,high,ランキング・一覧・紹介文脈での列挙が中心で、同一ミックスの根拠が弱い,product_list_context,FALSE,co_mention_only,商品名・単一フレーバー名
conditionB_cooccurrence_top10,limited_2_5,1,グレープ,ミント,グレープ||ミント,7,3.102564102564100,R0070,DOZAJ – Grape(グレープ)レビュー,https://cloud-jp.net/dozaj-grape/,・グレープ×ライム×ミント – スッキリとグレープを楽しみたい方に向けたミックス。,グレープ|パッションフルーツ|ミント|ライム,4,TRUE,,,explicit_mix,high,本文中に明示的なミックス表現があり、対象2フレーバーが同一文脈に並記されている,explicit_keyword_with_both_flavors,FALSE,explicit_mix,対象2フレーバーが同一ミックス内に明記されている
conditionB_cooccurrence_top10,limited_2_5,2,アールグレイ,バニラ,アールグレイ||バニラ,6,3.882352941176470,R0035,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。 ・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,アールグレイ|コニャック|シガー|バニラ,4,TRUE,,,co_mention_only,high,ランキング・一覧・紹介文脈での列挙が中心で、同一ミックスの根拠が弱い,product_list_context,FALSE,co_mention_only,別々のミックス
conditionB_cooccurrence_top10,limited_2_5,2,アールグレイ,バニラ,アールグレイ||バニラ,6,3.882352941176470,R0037,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。 ・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,アールグレイ|コニャック|バニラ|ベルベット,4,TRUE,,,co_mention_only,high,ランキング・一覧・紹介文脈での列挙が中心で、同一ミックスの根拠が弱い,product_list_context,FALSE,co_mention_only,別々のミックス
conditionB_cooccurrence_top10,limited_2_5,2,アールグレイ,バニラ,アールグレイ||バニラ,6,3.882352941176470,R0038,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。 ・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,アールグレイ|コニャック|スペクトラ|バニラ,4,TRUE,,,co_mention_only,high,ランキング・一覧・紹介文脈での列挙が中心で、同一ミックスの根拠が弱い,product_list_context,FALSE,co_mention_only,別々のミックス
conditionB_cooccurrence_top10,limited_2_5,3,ハニー,ミルク,ハニー||ミルク,6,1.8615384615384600,R0158,TROY – HONEY MILK(ハニーミルク)レビュー,https://cloud-jp.net/troy-honeymilk/,こちらの記事では、TROY(トロイ)のHoney Milk(ハニーミルク)のフレーバーレビューをご紹介します。,ココナッツ|ハニー|ミルク,3,TRUE,,,co_mention_only,high,ランキング・一覧・紹介文脈での列挙が中心で、同一ミックスの根拠が弱い,product_list_context,FALSE,co_mention_only,商品名・単一フレーバー名
conditionB_cooccurrence_top10,limited_2_5,3,ハニー,ミルク,ハニー||ミルク,6,1.8615384615384600,R0161,TROY – BAKLAVA(バクラヴァ) レビュー,https://cloud-jp.net/troy-baklava/,"こちらの記事では、TROY(トロイ)のBaklava(バクラヴァ)のフレーバーレビューをご紹介します。TROYの概要、フレーバーレビュー、おすすめのミックスを紹介しておりますので是非ご覧ください！
目次
1
TROYとは？
2
Baklavaの特徴
3
Baklavaを使ったおすすめミックス
4
ご購入はこちらから
TROYとは？
TROY(トロイ)は、TickTockと同じくAl Amasi社から発売されているトルコ産のシーシャフレーバーブランドの一つです。
全体的に、香りに過度な誇張や変なクセがなく上品で再現度の高い香りと、シルキーできめ細かい煙が特徴です。じっくりと熱を加えることで奥深い",ハニー|ミルク,2,TRUE,,,unclear,low,対象2フレーバーの両方が文脈内で確認できない,missing_target_flavor,TRUE,unclear,文脈で確認できない
conditionB_cooccurrence_top10,limited_2_5,3,ハニー,ミルク,ハニー||ミルク,6,1.8615384615384600,R0169,旬-SHUN- MELON,https://cloud-jp.net/shun-melon/,"の点は気をつける必要があります。
ボウルに盛り付ける際に、きちんと大きさを調整して盛り合わせるようにしましょう。
MELON(メロン）を使ったおすすめミックス
ミルクと合わせて、まったりしたフルーツの甘みを生かした、”メロンジュース”の味を表現するのに、ミルクなどと合わせるのが個人的には非常におすすめです。
また、他のフレーバーとの組み合わせにおいては、メロンさを追加したい場合、メロンさを強調したい際には、大活躍すると思います。
他にもピーチやマンゴーなどのまったりとした甘味が特徴のフレーバーと合わせても非常にマッチした仕上がりになります。
・【Social Smoke】 honeydew
m",ハニー|ミルク|メロン,3,TRUE,,,unclear,low,対象2フレーバーの両方が文脈内で確認できない,missing_target_flavor,TRUE,unclear,文脈で確認できない
conditionB_cooccurrence_top10,limited_2_5,4,バニラ,ミルク,バニラ||ミルク,6,1.6425339366515800,R0140,DOZAJ – Cappuccino(カプチーノ)レビュー,https://cloud-jp.net/dozaj-cappccino/,また、バニラ、キャラメル、ミルク、チョコでもったり甘々にしてもいいですし、意外なところでいうとグレープやベリー系統のフレーバーとの相性もいいです。,カプチーノ|キャラメル|バニラ|ミルク,4,TRUE,,,co_mention_only,high,商品紹介・特徴説明・一覧文脈での同時言及に留まり、同一ミックスの根拠が弱い,product_list_context,FALSE,co_mention_only,別々のミックス
