flavor_a,flavor_b,pair_key,cooccurrence_count,support,same_community,community_a,community_b
ミント,グレープ,ミント||グレープ,7,0.05785123966942149,True,1,1
アールグレイ,バニラ,アールグレイ||バニラ,6,0.049586776859504134,True,2,2
ハニー,ミルク,ハニー||ミルク,6,0.049586776859504134,True,0,0
バニラ,ミルク,バニラ||ミルク,6,0.049586776859504134,False,2,0
ミント,レモン,ミント||レモン,6,0.049586776859504134,True,1,1
アールグレイ,コニャック,アールグレイ||コニャック,5,0.04132231404958678,True,2,2
バナナ,ミルク,バナナ||ミルク,5,0.04132231404958678,True,0,0
バニラ,コニャック,バニラ||コニャック,5,0.04132231404958678,True,2,2
メロン,ミルク,メロン||ミルク,5,0.04132231404958678,True,0,0
オレンジ,グレープフルーツ,オレンジ||グレープフルーツ,4,0.03305785123966942,True,3,3
ココナッツ,ミルク,ココナッツ||ミルク,4,0.03305785123966942,True,0,0
ミルク,カルダモンミルク,ミルク||カルダモンミルク,4,0.03305785123966942,True,0,0
メロン,ハニー,メロン||ハニー,4,0.03305785123966942,True,0,0
オレンジ,ミント,オレンジ||ミント,3,0.024793388429752067,False,3,1
グアバ,パッションフルーツ,グアバ||パッションフルーツ,3,0.024793388429752067,True,3,3
グレープ,ベリー,グレープ||ベリー,3,0.024793388429752067,True,1,1
ココナッツ,ハニー,ココナッツ||ハニー,3,0.024793388429752067,True,0,0
バナナ,カルダモンミルク,バナナ||カルダモンミルク,3,0.024793388429752067,True,0,0
バナナ,モヒート,バナナ||モヒート,3,0.024793388429752067,True,0,0
バニラ,ハニー,バニラ||ハニー,3,0.024793388429752067,False,2,0
ブルーベリー,ベリー,ブルーベリー||ベリー,3,0.024793388429752067,True,1,1
ミント,メロン,ミント||メロン,3,0.024793388429752067,False,1,0
ミント,ライム,ミント||ライム,3,0.024793388429752067,True,1,1
メロン,レモン,メロン||レモン,3,0.024793388429752067,False,0,1
モヒート,カルダモンミルク,モヒート||カルダモンミルク,3,0.024793388429752067,True,0,0
モヒート,ミルク,モヒート||ミルク,3,0.024793388429752067,True,0,0
アールグレイ,シガー,アールグレイ||シガー,2,0.01652892561983471,True,2,2
アールグレイ,ライチ,アールグレイ||ライチ,2,0.01652892561983471,False,2,1
オレンジ,グアバ,オレンジ||グアバ,2,0.01652892561983471,True,3,3
オレンジ,タンジェリン,オレンジ||タンジェリン,2,0.01652892561983471,True,3,3
オレンジ,マンゴー,オレンジ||マンゴー,2,0.01652892561983471,False,3,0
オレンジ,ライム,オレンジ||ライム,2,0.01652892561983471,False,3,1
オレンジ,レモン,オレンジ||レモン,2,0.01652892561983471,False,3,1
カルダモン,シナモン,カルダモン||シナモン,2,0.01652892561983471,True,4,4
カルダモン,チェリー,カルダモン||チェリー,2,0.01652892561983471,True,4,4
キャラメル,ミルク,キャラメル||ミルク,2,0.01652892561983471,True,0,0
グアバ,パイナップル,グアバ||パイナップル,2,0.01652892561983471,True,3,3
グレープ,グレープミント,グレープ||グレープミント,2,0.01652892561983471,True,1,1
グレープ,ピーチ,グレープ||ピーチ,2,0.01652892561983471,True,1,1
ココナッツ,キャラメル,ココナッツ||キャラメル,2,0.01652892561983471,True,0,0
シナモン,キャラメル,シナモン||キャラメル,2,0.01652892561983471,False,4,0
シナモン,ゴールデンデリシャスアップル,シナモン||ゴールデンデリシャスアップル,2,0.01652892561983471,True,4,4
シナモン,ミルク,シナモン||ミルク,2,0.01652892561983471,False,4,0
ハニー,キャラメル,ハニー||キャラメル,2,0.01652892561983471,True,0,0
バナナ,キャラメル,バナナ||キャラメル,2,0.01652892561983471,True,0,0
バナナ,ハニー,バナナ||ハニー,2,0.01652892561983471,True,0,0
バナナ,ピーチ,バナナ||ピーチ,2,0.01652892561983471,False,0,1
バナナ,マンゴー,バナナ||マンゴー,2,0.01652892561983471,True,0,0
バニラ,カプチーノ,バニラ||カプチーノ,2,0.01652892561983471,True,2,2
バニラ,キャラメル,バニラ||キャラメル,2,0.01652892561983471,False,2,0
バニラ,ココナッツ,バニラ||ココナッツ,2,0.01652892561983471,False,2,0
バニラ,バナナ,バニラ||バナナ,2,0.01652892561983471,False,2,0
バニラ,ブルーベリー,バニラ||ブルーベリー,2,0.01652892561983471,False,2,1
バニラ,メロン,バニラ||メロン,2,0.01652892561983471,False,2,0
ブルーベリー,グレープ,ブルーベリー||グレープ,2,0.01652892561983471,True,1,1
ブルーベリー,ミントクリーム,ブルーベリー||ミントクリーム,2,0.01652892561983471,True,1,1
ベリー,アサイー,ベリー||アサイー,2,0.01652892561983471,True,1,1
ベリー,ミルク,ベリー||ミルク,2,0.01652892561983471,False,1,0
ベリー,レモン,ベリー||レモン,2,0.01652892561983471,True,1,1
マンゴー,ハニー,マンゴー||ハニー,2,0.01652892561983471,True,0,0
ミルク,ストロベリー,ミルク||ストロベリー,2,0.01652892561983471,False,0,1
ミルク,ペア,ミルク||ペア,2,0.01652892561983471,False,0,1
ミント,グレープフルーツ,ミント||グレープフルーツ,2,0.01652892561983471,False,1,3
ミント,グレープミント,ミント||グレープミント,2,0.01652892561983471,True,1,1
ミント,ストロベリー,ミント||ストロベリー,2,0.01652892561983471,True,1,1
ミント,バニラ,ミント||バニラ,2,0.01652892561983471,False,1,2
ミント,ブルーベリー,ミント||ブルーベリー,2,0.01652892561983471,True,1,1
ミント,ベリー,ミント||ベリー,2,0.01652892561983471,True,1,1
ミント,ミルク,ミント||ミルク,2,0.01652892561983471,False,1,0
ミント,ライチ,ミント||ライチ,2,0.01652892561983471,True,1,1
メロン,ウォーターメロン/スイカ,メロン||ウォーターメロン/スイカ,2,0.01652892561983471,True,0,0
ライチ,レモン,ライチ||レモン,2,0.01652892561983471,True,1,1
レモン,ペア,レモン||ペア,2,0.01652892561983471,True,1,1
レモン,モヒート,レモン||モヒート,2,0.01652892561983471,False,1,0
レモン,ライム,レモン||ライム,2,0.01652892561983471,True,1,1
