flavor,review_frequency,degree,weighted_degree,betweenness_centrality,community_id
ミルク,26,13,45.0,0.44594594594594594,0
ミント,21,13,38.0,0.3993993993993994,1
バニラ,17,11,34.0,0.25713213213213215,2
ハニー,15,7,22.0,0.028153153153153154,0
レモン,18,8,21.0,0.03753753753753754,1
バナナ,11,8,21.0,0.03303303303303303,0
メロン,10,6,19.0,0.08408408408408408,0
オレンジ,11,7,17.0,0.21584084084084085,3
グレープ,13,5,16.0,0.05855855855855856,1
アールグレイ,11,4,15.0,0.07357357357357357,2
ベリー,14,6,14.0,0.05405405405405406,1
キャラメル,6,6,12.0,0.0,0
ブルーベリー,9,5,11.0,0.05405405405405406,1
ココナッツ,7,4,11.0,0.0,0
モヒート,5,4,11.0,0.0,0
カルダモンミルク,4,3,10.0,0.0,0
コニャック,5,2,10.0,0.0,2
シナモン,7,4,8.0,0.15615615615615616,4
グアバ,8,3,7.0,0.1066066066066066,3
ライム,7,3,7.0,0.0,1
マンゴー,10,3,6.0,0.0075075075075075074,0
ライチ,7,3,6.0,0.0,1
グレープフルーツ,8,2,6.0,0.0,3
ピーチ,5,2,4.0,0.0,1
ペア,5,2,4.0,0.0,1
カルダモン,4,2,4.0,0.05405405405405406,4
ストロベリー,4,2,4.0,0.0,1
グレープミント,2,2,4.0,0.0,1
パッションフルーツ,5,1,3.0,0.0,3
シガー,8,1,2.0,0.0,2
ゴールデンデリシャスアップル,5,1,2.0,0.0,4
チェリー,5,1,2.0,0.0,4
パイナップル,5,1,2.0,0.0,3
ウォーターメロン/スイカ,3,1,2.0,0.0,0
タンジェリン,3,1,2.0,0.0,3
ミントクリーム,3,1,2.0,0.0,1
アサイー,2,1,2.0,0.0,1
カプチーノ,2,1,2.0,0.0,2
